win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 5704, 97, 102, 102, 234066, 234453, 0.5, 50, 100, 1, 3, 5000, 5
1, 5596, 98, 103, 104, 250099, 252509, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 112, 131, 124, 320386, 300006, 0.5, 50, 100, 1, 5, 5000, 5
1, 5313, 110, 115, 115, 217846, 218178, 0.5, 50, 100, 1, 3, 5000, 5
1, 5603, 99, 104, 105, 321841, 325387, 0.5, 50, 100, 1, 3, 5000, 5
1, 5439, 97, 102, 103, 237608, 240008, 0.5, 50, 100, 1, 3, 5000, 5
1, 6410, 99, 104, 112, 326168, 348993, 0.5, 50, 100, 1, 5, 5000, 5
1, 5542, 108, 113, 114, 297617, 300730, 0.5, 50, 100, 1, 3, 5000, 5
1, 5507, 107, 112, 118, 236225, 250265, 0.5, 50, 100, 1, 3, 5000, 5
1, 5568, 104, 109, 110, 295506, 297948, 0.5, 50, 100, 1, 4, 5000, 5
1, 5492, 110, 115, 115, 230919, 231184, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 114, 132, 127, 301876, 288710, 0.5, 50, 100, 1, 5, 5000, 5
1, 5992, 99, 109, 110, 274945, 276578, 0.5, 50, 100, 1, 5, 5000, 5
1, 5459, 97, 102, 105, 271988, 280152, 0.5, 50, 100, 1, 3, 5000, 5
1, 6238, 95, 106, 107, 235545, 236752, 0.5, 50, 100, 1, 5, 5000, 5
0, 6750, 97, 118, 108, 338183, 307140, 0.5, 50, 100, 1, 5, 5000, 5
1, 5579, 100, 106, 106, 261161, 261250, 0.5, 50, 100, 1, 3, 5000, 5
1, 6001, 102, 107, 113, 261753, 276647, 0.5, 50, 100, 1, 4, 5000, 5
1, 6006, 101, 108, 109, 286436, 288506, 0.5, 50, 100, 1, 4, 5000, 5
1, 5812, 118, 123, 128, 230373, 242251, 0.5, 50, 100, 1, 4, 5000, 5
0, 6750, 83, 103, 96, 309025, 292515, 0.5, 50, 100, 1, 5, 5000, 5
1, 5443, 107, 112, 114, 255056, 260139, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 94, 116, 110, 338342, 322317, 0.5, 50, 100, 1, 5, 5000, 5
1, 5616, 91, 96, 97, 295881, 298816, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 94, 116, 110, 285426, 270159, 0.5, 50, 100, 1, 5, 5000, 5
1, 5729, 99, 108, 109, 281017, 282595, 0.5, 50, 100, 1, 4, 5000, 5
0, 6750, 111, 122, 122, 314208, 312667, 0.5, 50, 100, 1, 5, 5000, 5
1, 6127, 105, 119, 120, 271610, 272288, 0.5, 50, 100, 1, 4, 5000, 5
1, 5478, 108, 113, 113, 238159, 238224, 0.5, 50, 100, 1, 3, 5000, 5
1, 5722, 105, 110, 117, 249231, 266480, 0.5, 50, 100, 1, 3, 5000, 5
1, 5878, 101, 108, 109, 294294, 296441, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 103, 125, 119, 288788, 274407, 0.5, 50, 100, 1, 5, 5000, 5
1, 5420, 94, 99, 101, 264804, 270010, 0.5, 50, 100, 1, 3, 5000, 5
1, 5581, 102, 107, 107, 256893, 257099, 0.5, 50, 100, 1, 3, 5000, 5
1, 5681, 104, 109, 109, 239364, 239370, 0.5, 50, 100, 1, 4, 5000, 5
0, 6750, 101, 117, 115, 334654, 325612, 0.5, 50, 100, 1, 5, 5000, 5
1, 5472, 90, 95, 96, 307005, 309786, 0.5, 50, 100, 1, 3, 5000, 5
1, 5954, 101, 107, 108, 273000, 274976, 0.5, 50, 100, 1, 6, 5000, 5
1, 5522, 121, 126, 126, 249194, 249687, 0.5, 50, 100, 1, 4, 5000, 5
1, 5277, 97, 102, 102, 181747, 181971, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 97, 113, 107, 298318, 282928, 0.5, 50, 100, 1, 5, 5000, 5
1, 5905, 114, 119, 119, 275074, 275587, 0.5, 50, 100, 1, 4, 5000, 5
1, 6352, 104, 114, 115, 314988, 316049, 0.5, 50, 100, 1, 6, 5000, 5
1, 5832, 105, 113, 114, 273571, 275607, 0.5, 50, 100, 1, 4, 5000, 5
1, 6028, 100, 105, 109, 294547, 305004, 0.5, 50, 100, 1, 4, 5000, 5
1, 5624, 97, 102, 104, 289314, 295255, 0.5, 50, 100, 1, 3, 5000, 5
1, 5466, 96, 101, 102, 241589, 243863, 0.5, 50, 100, 1, 3, 5000, 5
1, 5524, 102, 107, 108, 253329, 255363, 0.5, 50, 100, 1, 3, 5000, 5
1, 5597, 85, 90, 92, 264109, 269327, 0.5, 50, 100, 1, 3, 5000, 5
1, 5445, 91, 96, 96, 291859, 291919, 0.5, 50, 100, 1, 3, 5000, 5
1, 5632, 91, 96, 99, 241288, 247996, 0.5, 50, 100, 1, 3, 5000, 5
1, 5789, 102, 109, 110, 251578, 253729, 0.5, 50, 100, 1, 4, 5000, 5
1, 5550, 111, 116, 118, 255814, 261121, 0.5, 50, 100, 1, 4, 5000, 5
0, 6750, 97, 122, 115, 308093, 290539, 0.5, 50, 100, 1, 5, 5000, 5
1, 5601, 113, 118, 119, 231594, 233499, 0.5, 50, 100, 1, 3, 5000, 5
1, 5621, 95, 100, 100, 310248, 310518, 0.5, 50, 100, 1, 3, 5000, 5
1, 5550, 102, 107, 109, 234565, 238699, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 99, 120, 112, 268393, 249709, 0.5, 50, 100, 1, 5, 5000, 5
0, 6750, 111, 126, 125, 289425, 284908, 0.5, 50, 100, 1, 5, 5000, 5
0, 6750, 99, 125, 117, 292134, 272485, 0.5, 50, 100, 1, 5, 5000, 5
1, 5559, 113, 121, 122, 252923, 255056, 0.5, 50, 100, 1, 4, 5000, 5
1, 5645, 100, 109, 110, 301989, 304381, 0.5, 50, 100, 1, 4, 5000, 5
1, 5537, 112, 117, 118, 245877, 247867, 0.5, 50, 100, 1, 3, 5000, 5
1, 5334, 98, 103, 104, 283853, 286679, 0.5, 50, 100, 1, 3, 5000, 5
1, 5693, 103, 108, 108, 211915, 212339, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 90, 119, 106, 279659, 251225, 0.5, 50, 100, 1, 5, 5000, 5
1, 6532, 77, 92, 93, 258025, 259167, 0.5, 50, 100, 1, 5, 5000, 5
1, 5500, 101, 107, 108, 250349, 252318, 0.5, 50, 100, 1, 4, 5000, 5
1, 6403, 96, 109, 110, 350153, 352491, 0.5, 50, 100, 1, 7, 5000, 5
1, 5668, 119, 124, 125, 251230, 253398, 0.5, 50, 100, 1, 3, 5000, 5
1, 5457, 92, 97, 98, 248580, 250785, 0.5, 50, 100, 1, 6, 5000, 5
0, 6750, 93, 117, 105, 302914, 273825, 0.5, 50, 100, 1, 6, 5000, 5
1, 5445, 106, 111, 111, 246614, 246867, 0.5, 50, 100, 1, 3, 5000, 5
1, 5975, 103, 108, 114, 236895, 250037, 0.5, 50, 100, 1, 4, 5000, 5
0, 6750, 106, 120, 116, 274917, 265226, 0.5, 50, 100, 1, 5, 5000, 5
0, 6750, 98, 128, 120, 300129, 279260, 0.5, 50, 100, 1, 7, 5000, 5
1, 6153, 114, 122, 123, 227300, 228490, 0.5, 50, 100, 1, 4, 5000, 5
1, 5470, 94, 100, 100, 226493, 226574, 0.5, 50, 100, 1, 3, 5000, 5
1, 5338, 108, 114, 114, 254299, 254362, 0.5, 50, 100, 1, 3, 5000, 5
1, 5920, 112, 117, 125, 257814, 278522, 0.5, 50, 100, 1, 4, 5000, 5
0, 6750, 104, 121, 119, 335531, 328193, 0.5, 50, 100, 1, 6, 5000, 5
1, 5701, 98, 103, 105, 235762, 239743, 0.5, 50, 100, 1, 4, 5000, 5
1, 5950, 114, 122, 123, 242375, 244022, 0.5, 50, 100, 1, 4, 5000, 5
1, 5448, 102, 107, 107, 254234, 254318, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 94, 119, 110, 283275, 261964, 0.5, 50, 100, 1, 5, 5000, 5
0, 6750, 109, 131, 126, 261441, 249634, 0.5, 50, 100, 1, 5, 5000, 5
0, 6750, 100, 124, 115, 278743, 258239, 0.5, 50, 100, 1, 6, 5000, 5
0, 6750, 110, 129, 126, 267167, 259890, 0.5, 50, 100, 1, 6, 5000, 5
1, 5273, 101, 106, 106, 240958, 241101, 0.5, 50, 100, 1, 3, 5000, 5
0, 6750, 83, 101, 94, 293791, 274947, 0.5, 50, 100, 1, 5, 5000, 5
0, 6750, 85, 109, 99, 325592, 297652, 0.5, 50, 100, 1, 8, 5000, 5
0, 6750, 111, 132, 125, 310031, 292362, 0.5, 50, 100, 1, 5, 5000, 5
0, 6750, 109, 127, 121, 324755, 305862, 0.5, 50, 100, 1, 5, 5000, 5
1, 5864, 91, 96, 99, 276801, 285192, 0.5, 50, 100, 1, 3, 5000, 5
1, 5554, 107, 112, 113, 258781, 261294, 0.5, 50, 100, 1, 3, 5000, 5
1, 6469, 81, 98, 99, 271537, 272973, 0.5, 50, 100, 1, 5, 5000, 5
1, 5617, 105, 110, 114, 309571, 321577, 0.5, 50, 100, 1, 3, 5000, 5
1, 5797, 105, 111, 112, 235715, 237358, 0.5, 50, 100, 1, 4, 5000, 5
0, 6750, 105, 123, 121, 266433, 260958, 0.5, 50, 100, 1, 6, 5000, 5
1, 5497, 91, 96, 97, 237534, 239543, 0.5, 50, 100, 1, 3, 5000, 5
1, 5694, 99, 104, 105, 495628, 510973, 0.5, 50, 100, 2, 8, 5000, 5
1, 5869, 110, 115, 115, 584682, 595656, 0.5, 50, 100, 2, 9, 5000, 5
1, 5436, 103, 108, 112, 502314, 508720, 0.5, 50, 100, 2, 8, 5000, 5
1, 5777, 89, 94, 95, 563048, 570602, 0.5, 50, 100, 2, 10, 5000, 5
1, 5889, 89, 101, 97, 567723, 569848, 0.5, 50, 100, 2, 11, 5000, 5
0, 6750, 104, 128, 122, 632929, 604296, 0.5, 50, 100, 2, 13, 5000, 5
1, 6036, 90, 102, 101, 514959, 521299, 0.5, 50, 100, 2, 11, 5000, 5
1, 5363, 95, 100, 99, 487272, 487619, 0.5, 50, 100, 2, 7, 5000, 5
0, 6750, 92, 118, 110, 611163, 568256, 0.5, 50, 100, 2, 11, 5000, 5
0, 6750, 100, 118, 114, 631955, 606209, 0.5, 50, 100, 2, 13, 5000, 5
1, 5476, 93, 98, 101, 502969, 510640, 0.5, 50, 100, 2, 7, 5000, 5
1, 5888, 123, 128, 136, 513314, 517689, 0.5, 50, 100, 2, 9, 5000, 5
0, 6750, 101, 119, 115, 518559, 509058, 0.5, 50, 100, 2, 12, 5000, 5
1, 5720, 101, 106, 116, 486728, 496796, 0.5, 50, 100, 2, 8, 5000, 5
1, 6188, 101, 106, 109, 562521, 588124, 0.5, 50, 100, 2, 9, 5000, 5
0, 6750, 111, 130, 127, 611286, 594380, 0.5, 50, 100, 2, 13, 5000, 5
1, 5639, 103, 109, 108, 551948, 562897, 0.5, 50, 100, 2, 9, 5000, 5
1, 5852, 111, 116, 119, 494024, 499318, 0.5, 50, 100, 2, 10, 5000, 5
0, 6750, 116, 137, 130, 607061, 577433, 0.5, 50, 100, 2, 10, 5000, 5
