win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 6554, 95, 111, 112, 1231771, 1234335, 0.495, 50, 100, 1, 10, 5000, 5
1, 5612, 86, 91, 94, 975627, 1003736, 0.495, 50, 100, 1, 8, 5000, 5
1, 5672, 116, 121, 122, 986397, 995229, 0.495, 50, 100, 1, 8, 5000, 5
1, 5818, 92, 97, 105, 860922, 928510, 0.495, 50, 100, 1, 8, 5000, 5
1, 5601, 93, 98, 102, 885940, 919285, 0.495, 50, 100, 1, 8, 5000, 5
1, 6334, 79, 92, 93, 1319021, 1325872, 0.495, 50, 100, 1, 9, 5000, 5
1, 5607, 106, 111, 114, 1140805, 1175404, 0.495, 50, 100, 1, 8, 5000, 5
1, 6008, 122, 127, 130, 1077093, 1112534, 0.495, 50, 100, 1, 9, 5000, 5
1, 5356, 87, 92, 93, 966774, 975717, 0.495, 50, 100, 1, 9, 5000, 5
1, 5696, 125, 130, 131, 1173679, 1186352, 0.495, 50, 100, 1, 8, 5000, 5
0, 6750, 101, 122, 113, 1238520, 1149455, 0.495, 50, 100, 1, 11, 5000, 5
0, 6750, 101, 118, 114, 1164027, 1121383, 0.495, 50, 100, 1, 10, 5000, 5
1, 5410, 110, 115, 117, 909186, 927187, 0.495, 50, 100, 1, 7, 5000, 5
1, 5834, 100, 105, 109, 954133, 991654, 0.495, 50, 100, 1, 8, 5000, 5
0, 6750, 105, 125, 123, 980157, 959737, 0.495, 50, 100, 1, 11, 5000, 5
0, 6750, 96, 122, 114, 1172258, 1093815, 0.495, 50, 100, 1, 11, 5000, 5
1, 5522, 95, 100, 103, 1199970, 1234111, 0.495, 50, 100, 1, 7, 5000, 5
1, 5911, 99, 108, 109, 1104980, 1108469, 0.495, 50, 100, 1, 9, 5000, 5
1, 5526, 95, 100, 103, 1100092, 1133816, 0.495, 50, 100, 1, 7, 5000, 5
1, 5248, 101, 106, 106, 1058896, 1058908, 0.495, 50, 100, 1, 7, 5000, 5
0, 6750, 103, 122, 119, 1377001, 1334881, 0.495, 50, 100, 1, 11, 5000, 5
1, 5330, 117, 122, 123, 1028918, 1038957, 0.495, 50, 100, 1, 8, 5000, 5
