win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 5358, 113, 118, 120, 280712, 286641, 0.4, 50, 100, 1, 2, 5000, 5
1, 5622, 97, 102, 102, 278162, 278525, 0.4, 50, 100, 1, 2, 5000, 5
0, 6750, 109, 129, 120, 261210, 239428, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 84, 108, 99, 298316, 278655, 0.4, 50, 100, 1, 3, 5000, 5
1, 5397, 109, 114, 115, 228185, 230398, 0.4, 50, 100, 1, 2, 5000, 5
0, 6750, 101, 133, 111, 331675, 274737, 0.4, 50, 100, 1, 3, 5000, 5
1, 5682, 100, 105, 106, 327222, 330947, 0.4, 50, 100, 1, 2, 5000, 5
0, 6750, 111, 133, 128, 290916, 274628, 0.4, 50, 100, 1, 3, 5000, 5
1, 5533, 97, 102, 103, 247101, 249278, 0.4, 50, 100, 1, 2, 5000, 5
1, 5984, 96, 105, 106, 266370, 267547, 0.4, 50, 100, 1, 2, 5000, 5
0, 6750, 90, 108, 102, 304010, 287491, 0.4, 50, 100, 1, 3, 5000, 5
1, 5910, 101, 106, 111, 250458, 261994, 0.4, 50, 100, 1, 2, 5000, 5
1, 5653, 98, 103, 103, 209536, 209638, 0.4, 50, 100, 1, 2, 5000, 5
0, 6750, 98, 124, 106, 301627, 257481, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 93, 114, 106, 298283, 276204, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 114, 137, 129, 298212, 277574, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 106, 129, 126, 267880, 259636, 0.4, 50, 100, 1, 3, 5000, 5
1, 5513, 89, 95, 96, 208730, 210600, 0.4, 50, 100, 1, 2, 5000, 5
0, 6750, 95, 123, 105, 326143, 280881, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 109, 131, 127, 258536, 248155, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 111, 139, 125, 348671, 308181, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 81, 108, 92, 308759, 269949, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 97, 121, 118, 282897, 272343, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 108, 135, 123, 284421, 254961, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 99, 118, 114, 288597, 275451, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 92, 116, 104, 287787, 260510, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 112, 136, 128, 346606, 322590, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 111, 140, 120, 301741, 252930, 0.4, 50, 100, 1, 4, 5000, 5
1, 5773, 105, 110, 112, 299223, 305226, 0.4, 50, 100, 1, 3, 5000, 5
1, 5562, 99, 106, 107, 252854, 254917, 0.4, 50, 100, 1, 2, 5000, 5
1, 5520, 101, 107, 107, 239121, 240994, 0.4, 50, 100, 1, 2, 5000, 5
1, 5485, 77, 82, 83, 286020, 288490, 0.4, 50, 100, 1, 2, 5000, 5
0, 6750, 86, 105, 103, 276354, 269869, 0.4, 50, 100, 1, 4, 5000, 5
0, 6750, 110, 128, 122, 339312, 318456, 0.4, 50, 100, 1, 4, 5000, 5
1, 6310, 92, 101, 102, 336663, 338686, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 98, 118, 115, 328870, 316933, 0.4, 50, 100, 1, 4, 5000, 5
1, 5298, 88, 93, 93, 233592, 233613, 0.4, 50, 100, 1, 2, 5000, 5
1, 5897, 105, 112, 112, 268548, 268619, 0.4, 50, 100, 1, 2, 5000, 5
1, 5378, 101, 106, 106, 266928, 266942, 0.4, 50, 100, 1, 2, 5000, 5
1, 5608, 97, 102, 103, 235089, 237056, 0.4, 50, 100, 1, 2, 5000, 5
0, 6750, 111, 133, 128, 323809, 309820, 0.4, 50, 100, 1, 3, 5000, 5
1, 6111, 113, 128, 129, 249394, 250479, 0.4, 50, 100, 1, 3, 5000, 5
