win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
0, 8500, 97, 138, 130, 354145, 328808, 0.48, 50, 100, 1, 8, 5000, 10
1, 6649, 92, 104, 112, 301190, 324626, 0.48, 50, 100, 1, 4, 5000, 10
1, 6416, 104, 116, 118, 270090, 276051, 0.48, 50, 100, 1, 5, 5000, 10
1, 6238, 98, 109, 112, 314238, 322770, 0.48, 50, 100, 1, 4, 5000, 10
0, 8500, 109, 150, 142, 306256, 283958, 0.48, 50, 100, 1, 8, 5000, 10
1, 6397, 103, 114, 116, 282753, 287960, 0.48, 50, 100, 1, 5, 5000, 10
0, 8500, 88, 137, 128, 309396, 290179, 0.48, 50, 100, 1, 11, 5000, 10
1, 6255, 90, 101, 101, 259097, 259118, 0.48, 50, 100, 1, 4, 5000, 10
1, 5898, 99, 110, 111, 238769, 240834, 0.48, 50, 100, 1, 4, 5000, 10
1, 6273, 108, 119, 122, 252716, 259951, 0.48, 50, 100, 1, 5, 5000, 10
0, 8500, 109, 155, 149, 363578, 343615, 0.48, 50, 100, 1, 9, 5000, 10
0, 8500, 110, 153, 155, 340591, 338550, 0.48, 50, 100, 1, 8, 5000, 10
0, 8500, 89, 132, 124, 335144, 313572, 0.48, 50, 100, 1, 7, 5000, 10
1, 6158, 111, 122, 125, 235402, 242411, 0.48, 50, 100, 1, 4, 5000, 10
1, 7379, 102, 133, 135, 328579, 329324, 0.48, 50, 100, 1, 6, 5000, 10
0, 8500, 102, 142, 131, 369194, 336622, 0.48, 50, 100, 1, 7, 5000, 10
0, 8500, 103, 143, 136, 348185, 330313, 0.48, 50, 100, 1, 9, 5000, 10
0, 8500, 103, 146, 138, 322753, 301912, 0.48, 50, 100, 1, 8, 5000, 10
1, 6332, 97, 108, 114, 270077, 283936, 0.48, 50, 100, 1, 5, 5000, 10
1, 6066, 95, 106, 107, 251823, 255015, 0.48, 50, 100, 1, 3, 5000, 10
1, 7560, 100, 127, 129, 309628, 310852, 0.48, 50, 100, 1, 6, 5000, 10
1, 5972, 91, 102, 103, 266931, 269388, 0.48, 50, 100, 1, 4, 5000, 10
0, 8500, 89, 155, 141, 322353, 287584, 0.48, 50, 100, 1, 8, 5000, 10
0, 8500, 80, 119, 114, 378572, 364594, 0.48, 50, 100, 1, 7, 5000, 10
1, 5907, 109, 119, 121, 296833, 302758, 0.48, 50, 100, 1, 4, 5000, 10
1, 5979, 109, 120, 124, 270816, 282298, 0.48, 50, 100, 1, 4, 5000, 10
1, 6511, 107, 119, 125, 257174, 271009, 0.48, 50, 100, 1, 6, 5000, 10
1, 6214, 95, 110, 111, 273970, 275558, 0.48, 50, 100, 1, 5, 5000, 10
0, 8500, 103, 154, 137, 325839, 288497, 0.48, 50, 100, 1, 8, 5000, 10
1, 6063, 107, 118, 120, 272607, 278730, 0.48, 50, 100, 1, 4, 5000, 10
0, 8500, 104, 142, 134, 379510, 357290, 0.48, 50, 100, 1, 8, 5000, 10
0, 8500, 101, 142, 133, 340328, 318518, 0.48, 50, 100, 1, 9, 5000, 10
1, 6193, 115, 126, 129, 272738, 278835, 0.48, 50, 100, 1, 4, 5000, 10
1, 6131, 91, 102, 104, 266600, 271742, 0.48, 50, 100, 1, 4, 5000, 10
0, 8500, 113, 157, 146, 329399, 297516, 0.48, 50, 100, 1, 8, 5000, 10
0, 8500, 99, 146, 141, 358165, 333418, 0.48, 50, 100, 1, 9, 5000, 10
0, 8500, 113, 160, 155, 312515, 298643, 0.48, 50, 100, 1, 8, 5000, 10
1, 5763, 106, 116, 119, 266626, 274604, 0.48, 50, 100, 1, 4, 5000, 10
1, 6223, 107, 118, 124, 324178, 342808, 0.48, 50, 100, 1, 5, 5000, 10
1, 5814, 102, 113, 120, 243097, 259259, 0.48, 50, 100, 1, 7, 5000, 10
1, 8201, 102, 144, 147, 310274, 310575, 0.48, 50, 100, 1, 8, 5000, 10
0, 8500, 95, 139, 133, 309862, 290913, 0.48, 50, 100, 1, 8, 5000, 10
1, 6424, 100, 111, 119, 287092, 305974, 0.48, 50, 100, 1, 7, 5000, 10
1, 6068, 105, 116, 119, 249992, 256792, 0.48, 50, 100, 1, 4, 5000, 10
1, 5793, 102, 113, 115, 303353, 310547, 0.48, 50, 100, 1, 4, 5000, 10
1, 5791, 100, 111, 112, 259001, 262028, 0.48, 50, 100, 1, 4, 5000, 10
1, 6214, 113, 128, 129, 248484, 248878, 0.48, 50, 100, 1, 5, 5000, 10
1, 5972, 95, 108, 109, 233678, 234616, 0.48, 50, 100, 1, 3, 5000, 10
1, 6202, 103, 114, 115, 295727, 296541, 0.48, 50, 100, 1, 4, 5000, 10
1, 6388, 98, 109, 118, 307045, 331596, 0.48, 50, 100, 1, 4, 5000, 10
1, 6552, 108, 119, 129, 260857, 283565, 0.48, 50, 100, 1, 6, 5000, 10
1, 6177, 99, 113, 114, 257655, 259266, 0.48, 50, 100, 1, 4, 5000, 10
1, 5894, 86, 97, 98, 296947, 299409, 0.48, 50, 100, 1, 4, 5000, 10
0, 8500, 106, 151, 144, 356569, 332679, 0.48, 50, 100, 1, 8, 5000, 10
1, 5873, 119, 130, 130, 267227, 267487, 0.48, 50, 100, 1, 4, 5000, 10
1, 6622, 102, 113, 118, 276444, 287156, 0.48, 50, 100, 1, 6, 5000, 10
0, 8500, 88, 130, 116, 351007, 319072, 0.48, 50, 100, 1, 8, 5000, 10
0, 8500, 108, 144, 138, 378223, 363952, 0.48, 50, 100, 1, 8, 5000, 10
1, 6720, 117, 128, 135, 251413, 268044, 0.48, 50, 100, 1, 5, 5000, 10
1, 6594, 96, 107, 110, 324968, 332886, 0.48, 50, 100, 1, 6, 5000, 10
