win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 6972, 102, 125, 125, 329727, 331383, 0.48, 50, 100, 1, 26, 5000, 20
1, 10781, 104, 174, 183, 389024, 390228, 0.48, 50, 100, 1, 43, 5000, 20
1, 7863, 114, 139, 147, 267216, 288434, 0.48, 50, 100, 1, 31, 5000, 20
1, 6901, 105, 128, 133, 366905, 382641, 0.48, 50, 100, 1, 27, 5000, 20
1, 7380, 78, 101, 106, 374035, 390164, 0.48, 50, 100, 1, 30, 5000, 20
1, 7603, 99, 122, 127, 316842, 327546, 0.48, 50, 100, 1, 31, 5000, 20
1, 7238, 104, 133, 135, 314737, 316184, 0.48, 50, 100, 1, 29, 5000, 20
0, 12000, 108, 220, 212, 428320, 399260, 0.48, 50, 100, 1, 51, 5000, 20
1, 7326, 104, 127, 130, 306174, 314106, 0.48, 50, 100, 1, 30, 5000, 20
1, 7144, 94, 121, 124, 323556, 324811, 0.48, 50, 100, 1, 30, 5000, 20
1, 7504, 104, 130, 131, 369156, 369660, 0.48, 50, 100, 1, 31, 5000, 20
1, 7641, 98, 118, 125, 341417, 349760, 0.48, 50, 100, 1, 33, 5000, 20
1, 10443, 99, 162, 169, 389862, 391087, 0.48, 50, 100, 1, 49, 5000, 20
1, 7978, 111, 142, 144, 293268, 294704, 0.48, 50, 100, 1, 38, 5000, 20
0, 12000, 96, 203, 186, 434313, 393058, 0.48, 50, 100, 1, 60, 5000, 20
1, 6640, 96, 117, 117, 239655, 243429, 0.48, 50, 100, 1, 31, 5000, 20
0, 12000, 95, 195, 191, 462136, 439621, 0.48, 50, 100, 1, 61, 5000, 20
0, 12000, 102, 208, 187, 453038, 411820, 0.48, 50, 100, 1, 61, 5000, 20
0, 12000, 114, 221, 216, 440453, 412759, 0.48, 50, 100, 1, 66, 5000, 20
0, 12000, 101, 193, 188, 469116, 448627, 0.48, 50, 100, 1, 60, 5000, 20
1, 7831, 103, 127, 134, 289407, 303593, 0.48, 50, 100, 1, 39, 5000, 20
1, 6727, 98, 122, 122, 272363, 273786, 0.48, 50, 100, 1, 30, 5000, 20
0, 12000, 94, 195, 197, 427653, 416307, 0.48, 50, 100, 1, 58, 5000, 20
0, 12000, 92, 208, 197, 402186, 356415, 0.48, 50, 100, 1, 66, 5000, 20
0, 12000, 103, 199, 186, 441405, 413547, 0.48, 50, 100, 1, 64, 5000, 20
1, 7259, 112, 136, 145, 276048, 295591, 0.48, 50, 100, 1, 37, 5000, 20
0, 12000, 101, 199, 194, 456670, 435421, 0.48, 50, 100, 1, 63, 5000, 20
0, 12000, 101, 203, 188, 410656, 366460, 0.48, 50, 100, 1, 60, 5000, 20
1, 7794, 101, 135, 137, 359806, 360176, 0.48, 50, 100, 1, 37, 5000, 20
0, 12000, 94, 207, 187, 459465, 418369, 0.48, 50, 100, 1, 65, 5000, 20
0, 12000, 103, 202, 189, 431609, 386316, 0.48, 50, 100, 1, 64, 5000, 20
1, 8201, 103, 127, 136, 323414, 351147, 0.48, 50, 100, 1, 39, 5000, 20
0, 12000, 94, 202, 189, 442235, 398335, 0.48, 50, 100, 1, 61, 5000, 20
1, 8020, 95, 128, 129, 311781, 311946, 0.48, 50, 100, 1, 37, 5000, 20
0, 12000, 92, 216, 211, 468831, 417447, 0.48, 50, 100, 1, 62, 5000, 20
1, 7927, 120, 146, 144, 324777, 327959, 0.48, 50, 100, 1, 37, 5000, 20
0, 12000, 113, 213, 210, 461793, 440559, 0.48, 50, 100, 1, 61, 5000, 20
0, 12000, 106, 210, 206, 403301, 390189, 0.48, 50, 100, 1, 61, 5000, 20
1, 6592, 89, 111, 112, 271123, 279234, 0.48, 50, 100, 1, 33, 5000, 20
0, 12000, 98, 197, 203, 405816, 388412, 0.48, 50, 100, 1, 66, 5000, 20
0, 12000, 107, 212, 197, 407964, 353700, 0.48, 50, 100, 1, 63, 5000, 20
1, 7291, 102, 127, 129, 311072, 312770, 0.48, 50, 100, 1, 38, 5000, 20
0, 12000, 97, 195, 187, 435251, 406252, 0.48, 50, 100, 1, 64, 5000, 20
0, 12000, 97, 193, 201, 464090, 447575, 0.48, 50, 100, 1, 62, 5000, 20
1, 8740, 89, 136, 139, 350213, 350795, 0.48, 50, 100, 1, 45, 5000, 20
0, 12000, 102, 207, 195, 421386, 369870, 0.48, 50, 100, 1, 64, 5000, 20
1, 6857, 112, 134, 133, 314241, 314654, 0.48, 50, 100, 1, 33, 5000, 20
0, 12000, 100, 189, 169, 458124, 415719, 0.48, 50, 100, 1, 68, 5000, 20
1, 7102, 98, 121, 126, 304394, 315607, 0.48, 50, 100, 1, 36, 5000, 20
0, 12000, 109, 191, 194, 404543, 400209, 0.48, 50, 100, 1, 63, 5000, 20
1, 7144, 81, 103, 104, 298864, 300404, 0.48, 50, 100, 1, 36, 5000, 20
0, 12000, 102, 215, 188, 473670, 417643, 0.48, 50, 100, 1, 62, 5000, 20
0, 12000, 96, 186, 170, 471905, 426901, 0.48, 50, 100, 1, 60, 5000, 20
1, 7430, 100, 126, 127, 313189, 313563, 0.48, 50, 100, 1, 39, 5000, 20
1, 9072, 92, 136, 141, 383450, 384073, 0.48, 50, 100, 1, 46, 5000, 20
0, 12000, 106, 200, 200, 409117, 399020, 0.48, 50, 100, 1, 64, 5000, 20
1, 7145, 96, 119, 128, 287325, 310599, 0.48, 50, 100, 1, 38, 5000, 20
0, 12000, 94, 201, 181, 437256, 390930, 0.48, 50, 100, 1, 64, 5000, 20
1, 7741, 91, 116, 119, 340330, 350242, 0.48, 50, 100, 1, 39, 5000, 20
1, 7606, 105, 133, 133, 325356, 326782, 0.48, 50, 100, 1, 39, 5000, 20
0, 12000, 97, 188, 178, 465387, 419322, 0.48, 50, 100, 1, 62, 5000, 20
1, 7040, 94, 117, 120, 301806, 303564, 0.48, 50, 100, 1, 34, 5000, 20
0, 12000, 83, 192, 180, 443890, 415155, 0.48, 50, 100, 1, 62, 5000, 20
1, 7717, 95, 126, 125, 314607, 314726, 0.48, 50, 100, 1, 39, 5000, 20
0, 12000, 97, 203, 184, 459743, 410808, 0.48, 50, 100, 1, 64, 5000, 20
0, 12000, 95, 194, 200, 400541, 390576, 0.48, 50, 100, 1, 63, 5000, 20
0, 12000, 98, 213, 182, 477322, 398473, 0.48, 50, 100, 1, 62, 5000, 20
0, 12000, 96, 213, 192, 403820, 353886, 0.48, 50, 100, 1, 68, 5000, 20
1, 7839, 96, 134, 136, 314907, 315193, 0.48, 50, 100, 1, 39, 5000, 20
1, 7324, 93, 115, 121, 329212, 344809, 0.48, 50, 100, 1, 35, 5000, 20
0, 12000, 108, 209, 195, 461780, 412945, 0.48, 50, 100, 1, 67, 5000, 20
1, 6634, 90, 112, 112, 310750, 312521, 0.48, 50, 100, 1, 33, 5000, 20
1, 7174, 102, 125, 129, 281698, 291461, 0.48, 50, 100, 1, 35, 5000, 20
0, 12000, 103, 200, 199, 426600, 412237, 0.48, 50, 100, 1, 68, 5000, 20
0, 12000, 109, 216, 205, 504536, 444392, 0.48, 50, 100, 1, 64, 5000, 20
1, 6723, 105, 127, 127, 264456, 266210, 0.48, 50, 100, 1, 32, 5000, 20
1, 7384, 103, 127, 126, 299113, 300106, 0.48, 50, 100, 1, 34, 5000, 20
1, 7023, 101, 123, 123, 280944, 282532, 0.48, 50, 100, 1, 33, 5000, 20
0, 12000, 112, 206, 195, 513097, 468646, 0.48, 50, 100, 1, 61, 5000, 20
1, 7332, 93, 116, 121, 337868, 354807, 0.48, 50, 100, 1, 36, 5000, 20
1, 6962, 102, 124, 130, 272704, 286159, 0.48, 50, 100, 1, 37, 5000, 20
0, 12000, 102, 203, 197, 460928, 445359, 0.48, 50, 100, 1, 65, 5000, 20
1, 8046, 94, 121, 121, 371396, 372973, 0.48, 50, 100, 1, 39, 5000, 20
0, 12000, 112, 210, 208, 459411, 433924, 0.48, 50, 100, 1, 68, 5000, 20
1, 9243, 101, 160, 165, 313705, 314918, 0.48, 50, 100, 1, 46, 5000, 20
0, 12000, 103, 198, 197, 396041, 385296, 0.48, 50, 100, 1, 62, 5000, 20
1, 7462, 83, 107, 122, 266132, 301429, 0.48, 50, 100, 1, 35, 5000, 20
1, 8320, 113, 141, 143, 342186, 343770, 0.48, 50, 100, 1, 43, 5000, 20
0, 12000, 93, 191, 178, 428838, 381772, 0.48, 50, 100, 1, 59, 5000, 20
1, 7144, 108, 131, 132, 290623, 292121, 0.48, 50, 100, 1, 38, 5000, 20
1, 7350, 91, 115, 118, 312510, 322371, 0.48, 50, 100, 1, 35, 5000, 20
