win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
0, 4000, 114, 189, 180, 3121032, 2900504, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 104, 176, 159, 3375170, 3063181, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 105, 175, 160, 3037686, 2763278, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 80, 139, 132, 2879009, 2758191, 0.4, 20, 100, 1, 24, 2000, 20
0, 4000, 104, 175, 149, 3305767, 2839164, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 98, 170, 156, 3027221, 2742213, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 98, 164, 149, 3297765, 2948925, 0.4, 20, 100, 1, 25, 2000, 20
0, 4000, 114, 187, 176, 2985916, 2651708, 0.4, 20, 100, 1, 27, 2000, 20
1, 3180, 92, 124, 126, 3066300, 3081822, 0.4, 20, 100, 1, 19, 2000, 20
0, 4000, 108, 181, 158, 3065694, 2574905, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 105, 174, 165, 3270313, 2928447, 0.4, 20, 100, 1, 26, 2000, 20
1, 2756, 92, 113, 112, 2069417, 2069452, 0.4, 20, 100, 1, 17, 2000, 20
0, 4000, 107, 191, 169, 3148630, 2615527, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 105, 167, 154, 2809488, 2600928, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 101, 162, 143, 3189794, 2854335, 0.4, 20, 100, 1, 25, 2000, 20
0, 4000, 107, 180, 158, 3155001, 2670359, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 116, 182, 167, 3430363, 2995542, 0.4, 20, 100, 1, 27, 2000, 20
1, 2734, 123, 144, 144, 2313119, 2320953, 0.4, 20, 100, 1, 18, 2000, 20
0, 4000, 106, 165, 160, 3432419, 3301144, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 115, 189, 166, 2986204, 2524551, 0.4, 20, 100, 1, 30, 2000, 20
0, 4000, 122, 193, 174, 3245180, 2912780, 0.4, 20, 100, 1, 30, 2000, 20
0, 4000, 107, 171, 161, 3269518, 3048029, 0.4, 20, 100, 1, 33, 2000, 20
0, 4000, 87, 145, 140, 3116716, 2972709, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 91, 157, 139, 2970138, 2651242, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 103, 173, 159, 3151327, 2885360, 0.4, 20, 100, 1, 28, 2000, 20
0, 4000, 96, 167, 149, 3406971, 2936014, 0.4, 20, 100, 1, 29, 2000, 20
0, 4000, 107, 179, 149, 3329174, 2774636, 0.4, 20, 100, 1, 31, 2000, 20
0, 4000, 104, 171, 155, 3274742, 2913891, 0.4, 20, 100, 1, 28, 2000, 20
0, 4000, 89, 151, 139, 3028479, 2706667, 0.4, 20, 100, 1, 28, 2000, 20
1, 3061, 103, 125, 124, 2346820, 2356562, 0.4, 20, 100, 1, 22, 2000, 20
0, 4000, 99, 181, 174, 2627555, 2481550, 0.4, 20, 100, 1, 31, 2000, 20
0, 4000, 101, 166, 148, 2913309, 2571877, 0.4, 20, 100, 1, 29, 2000, 20
0, 4000, 114, 187, 177, 3118309, 2900257, 0.4, 20, 100, 1, 31, 2000, 20
0, 4000, 91, 167, 143, 3055895, 2632551, 0.4, 20, 100, 1, 30, 2000, 20
0, 4000, 108, 184, 155, 3349313, 2814143, 0.4, 20, 100, 1, 28, 2000, 20
0, 4000, 114, 192, 169, 3160696, 2685171, 0.4, 20, 100, 1, 28, 2000, 20
1, 2953, 98, 119, 121, 2515570, 2562047, 0.4, 20, 100, 1, 19, 2000, 20
0, 4000, 95, 155, 137, 3235934, 2880262, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 102, 188, 164, 2755720, 2264503, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 102, 185, 158, 3001875, 2447111, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 101, 164, 154, 2798464, 2551339, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 104, 186, 152, 3148265, 2484051, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 96, 170, 159, 2838493, 2629648, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 101, 176, 154, 2965095, 2552267, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 105, 175, 162, 3466074, 3041991, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 97, 179, 161, 3314071, 2787214, 0.4, 20, 100, 1, 27, 2000, 20
1, 2637, 97, 118, 117, 2340527, 2348178, 0.4, 20, 100, 1, 16, 2000, 20
0, 4000, 103, 172, 146, 3400214, 2873090, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 90, 169, 145, 3025317, 2657825, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 99, 171, 140, 3632098, 2944753, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 91, 148, 137, 3402381, 3151463, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 110, 177, 158, 3520274, 3154196, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 103, 171, 149, 2981448, 2569876, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 92, 168, 144, 3555591, 3000111, 0.4, 20, 100, 1, 26, 2000, 20
1, 2759, 114, 135, 134, 2057243, 2061906, 0.4, 20, 100, 1, 17, 2000, 20
0, 4000, 129, 197, 180, 3127737, 2731187, 0.4, 20, 100, 1, 27, 2000, 20
1, 2659, 107, 128, 128, 2210666, 2214749, 0.4, 20, 100, 1, 16, 2000, 20
0, 4000, 113, 178, 161, 2944398, 2667968, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 99, 171, 161, 2907027, 2616788, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 112, 183, 178, 2906632, 2657466, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 109, 189, 169, 3224956, 2862339, 0.4, 20, 100, 1, 28, 2000, 20
0, 4000, 96, 171, 158, 3221323, 2895884, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 107, 182, 164, 3182303, 2857750, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 100, 177, 146, 3312257, 2618736, 0.4, 20, 100, 1, 27, 2000, 20
1, 2851, 107, 131, 132, 2395031, 2408747, 0.4, 20, 100, 1, 18, 2000, 20
0, 4000, 114, 176, 165, 2991229, 2748986, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 121, 210, 176, 3289852, 2568434, 0.4, 20, 100, 1, 28, 2000, 20
1, 2918, 115, 138, 139, 1991335, 2004795, 0.4, 20, 100, 1, 19, 2000, 20
0, 4000, 103, 188, 147, 3199517, 2480848, 0.4, 20, 100, 1, 29, 2000, 20
0, 4000, 119, 174, 165, 3085680, 2853453, 0.4, 20, 100, 1, 28, 2000, 20
1, 2675, 92, 113, 113, 2040760, 2047929, 0.4, 20, 100, 1, 16, 2000, 20
0, 4000, 110, 187, 163, 3116917, 2702356, 0.4, 20, 100, 1, 28, 2000, 20
0, 4000, 109, 180, 157, 3308174, 2760623, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 106, 178, 157, 2845303, 2545476, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 90, 168, 141, 3623306, 3030746, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 105, 178, 165, 2903643, 2599769, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 105, 183, 151, 3480272, 2708686, 0.4, 20, 100, 1, 27, 2000, 20
1, 2739, 110, 133, 135, 2149979, 2166438, 0.4, 20, 100, 1, 17, 2000, 20
0, 4000, 110, 185, 159, 3260341, 2740197, 0.4, 20, 100, 1, 26, 2000, 20
1, 3105, 111, 135, 138, 2709643, 2712672, 0.4, 20, 100, 1, 20, 2000, 20
0, 4000, 113, 189, 171, 3078889, 2709523, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 106, 174, 153, 3280031, 2786586, 0.4, 20, 100, 1, 26, 2000, 20
1, 2623, 108, 129, 128, 2283655, 2284859, 0.4, 20, 100, 1, 16, 2000, 20
0, 4000, 102, 169, 155, 3009888, 2695395, 0.4, 20, 100, 1, 25, 2000, 20
0, 4000, 102, 173, 142, 3302715, 2789747, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 113, 189, 172, 2902459, 2580612, 0.4, 20, 100, 1, 28, 2000, 20
0, 4000, 99, 169, 153, 2916613, 2580107, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 109, 174, 152, 3061375, 2693431, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 95, 170, 154, 3192238, 2931656, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 122, 203, 184, 3040012, 2542542, 0.4, 20, 100, 1, 29, 2000, 20
0, 4000, 116, 178, 153, 3270079, 2696582, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 113, 186, 161, 3169202, 2715367, 0.4, 20, 100, 1, 28, 2000, 20
0, 4000, 111, 181, 158, 3471037, 2961988, 0.4, 20, 100, 1, 27, 2000, 20
0, 4000, 102, 164, 155, 2976288, 2826302, 0.4, 20, 100, 1, 27, 2000, 20
1, 2679, 97, 118, 120, 1947885, 1992255, 0.4, 20, 100, 1, 17, 2000, 20
0, 4000, 80, 146, 122, 3124160, 2639091, 0.4, 20, 100, 1, 25, 2000, 20
0, 4000, 94, 165, 150, 3008588, 2629401, 0.4, 20, 100, 1, 26, 2000, 20
0, 4000, 111, 180, 160, 3239481, 2871627, 0.4, 20, 100, 1, 26, 2000, 20
1, 2848, 99, 120, 120, 2527346, 2548329, 0.4, 20, 100, 1, 18, 2000, 20
0, 4000, 125, 191, 166, 3558525, 2824071, 0.4, 20, 100, 1, 27, 2000, 20
1, 2814, 113, 134, 143, 4734833, 4935936, 0.4, 20, 100, 2, 41, 2000, 20
0, 4000, 111, 179, 171, 6190660, 5522514, 0.4, 20, 100, 2, 68, 2000, 20
0, 4000, 102, 183, 170, 6636141, 5884072, 0.4, 20, 100, 2, 70, 2000, 20
0, 4000, 112, 193, 175, 5736469, 5003106, 0.4, 20, 100, 2, 66, 2000, 20
0, 4000, 98, 171, 131, 6350294, 5319530, 0.4, 20, 100, 2, 62, 2000, 20
0, 4000, 95, 168, 142, 5946197, 4856924, 0.4, 20, 100, 2, 66, 2000, 20
0, 4000, 93, 179, 150, 6291532, 5240640, 0.4, 20, 100, 2, 69, 2000, 20
0, 4000, 117, 177, 186, 6151536, 5891317, 0.4, 20, 100, 2, 73, 2000, 20
0, 4000, 112, 182, 157, 6254957, 5536598, 0.4, 20, 100, 2, 70, 2000, 20
0, 4000, 108, 172, 160, 6155616, 5466101, 0.4, 20, 100, 2, 69, 2000, 20
0, 4000, 120, 187, 168, 6941611, 6322160, 0.4, 20, 100, 2, 69, 2000, 20
0, 4000, 87, 147, 129, 6571121, 5932391, 0.4, 20, 100, 2, 66, 2000, 20
0, 4000, 94, 158, 142, 6872172, 6276597, 0.4, 20, 100, 2, 68, 2000, 20
0, 4000, 102, 197, 161, 6614535, 5283258, 0.4, 20, 100, 2, 72, 2000, 20
0, 4000, 120, 191, 174, 6017548, 5167494, 0.4, 20, 100, 2, 74, 2000, 20
0, 4000, 96, 165, 144, 6330227, 5583905, 0.4, 20, 100, 2, 71, 2000, 20
0, 4000, 85, 167, 147, 6181909, 5481665, 0.4, 20, 100, 2, 71, 2000, 20
0, 4000, 103, 186, 147, 6817832, 5722132, 0.4, 20, 100, 2, 71, 2000, 20
0, 4000, 116, 188, 164, 5889683, 5049914, 0.4, 20, 100, 2, 73, 2000, 20
0, 4000, 110, 179, 167, 6271246, 5782646, 0.4, 20, 100, 2, 70, 2000, 20
0, 4000, 98, 178, 156, 6044824, 5390272, 0.4, 20, 100, 2, 72, 2000, 20
0, 4000, 127, 182, 167, 6132159, 5292121, 0.4, 20, 100, 2, 72, 2000, 20
0, 4000, 101, 168, 155, 6296583, 5416515, 0.4, 20, 100, 2, 69, 2000, 20
1, 2716, 98, 127, 124, 4632191, 4651683, 0.4, 20, 100, 2, 43, 2000, 20
0, 4000, 100, 171, 153, 6022898, 5136700, 0.4, 20, 100, 2, 72, 2000, 20
0, 4000, 95, 166, 137, 6908142, 5804714, 0.4, 20, 100, 2, 64, 2000, 20
0, 4000, 111, 183, 157, 6720546, 5432350, 0.4, 20, 100, 2, 70, 2000, 20
1, 2907, 117, 143, 140, 4940690, 4946724, 0.4, 20, 100, 2, 46, 2000, 20
0, 4000, 112, 180, 169, 5696830, 5092490, 0.4, 20, 100, 2, 70, 2000, 20
1, 2783, 106, 130, 131, 4826016, 4840797, 0.4, 20, 100, 2, 42, 2000, 20
0, 4000, 93, 175, 151, 6512604, 5770804, 0.4, 20, 100, 2, 67, 2000, 20
0, 4000, 112, 194, 163, 5593548, 5019494, 0.4, 20, 100, 2, 68, 2000, 20
0, 4000, 111, 176, 159, 6152250, 5544539, 0.4, 20, 100, 2, 67, 2000, 20
0, 4000, 109, 170, 156, 6714756, 5673131, 0.4, 20, 100, 2, 64, 2000, 20
0, 4000, 111, 191, 168, 5956202, 5113267, 0.4, 20, 100, 2, 67, 2000, 20
0, 4000, 97, 167, 155, 6407216, 5609719, 0.4, 20, 100, 2, 66, 2000, 20
0, 4000, 105, 175, 162, 5990995, 5503429, 0.4, 20, 100, 2, 61, 2000, 20
0, 4000, 73, 137, 118, 6304903, 5521646, 0.4, 20, 100, 2, 60, 2000, 20
0, 4000, 112, 184, 165, 6112710, 5323319, 0.4, 20, 100, 2, 64, 2000, 20
0, 4000, 109, 176, 159, 6282063, 5692059, 0.4, 20, 100, 2, 66, 2000, 20
