win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 6964, 114, 135, 138, 6215476, 6308929, 0.44, 50, 100, 1, 53, 5000, 20
1, 7061, 99, 122, 123, 5628879, 5635775, 0.44, 50, 100, 1, 56, 5000, 20
0, 10000, 111, 185, 173, 7693896, 7051173, 0.44, 50, 100, 1, 74, 5000, 20
1, 7151, 106, 127, 128, 5284512, 5385481, 0.44, 50, 100, 1, 58, 5000, 20
0, 10000, 108, 182, 169, 7616468, 6899332, 0.44, 50, 100, 1, 85, 5000, 20
0, 10000, 105, 161, 159, 7939144, 7664284, 0.44, 50, 100, 1, 92, 5000, 20
0, 10000, 105, 170, 165, 7667087, 7432146, 0.44, 50, 100, 1, 86, 5000, 20
0, 10000, 84, 153, 133, 8458344, 7514822, 0.44, 50, 100, 1, 76, 5000, 20
0, 10000, 110, 171, 142, 9225866, 7790165, 0.44, 50, 100, 1, 78, 5000, 20
1, 7212, 91, 112, 120, 6017353, 6399734, 0.44, 50, 100, 1, 63, 5000, 20
0, 10000, 116, 195, 183, 7447892, 6764383, 0.44, 50, 100, 1, 92, 5000, 20
0, 10000, 132, 200, 185, 7731028, 6793298, 0.44, 50, 100, 1, 91, 5000, 20
1, 7347, 111, 132, 135, 6418914, 6451109, 0.44, 50, 100, 1, 57, 5000, 20
0, 10000, 85, 154, 139, 7854553, 6931089, 0.44, 50, 100, 1, 84, 5000, 20
0, 10000, 87, 166, 133, 8958093, 7426881, 0.44, 50, 100, 1, 81, 5000, 20
0, 10000, 128, 200, 178, 8002781, 6852353, 0.44, 50, 100, 1, 75, 5000, 20
0, 10000, 96, 155, 138, 8338565, 7445740, 0.44, 50, 100, 1, 75, 5000, 20
1, 6956, 104, 125, 133, 5504831, 5857187, 0.44, 50, 100, 1, 51, 5000, 20
0, 10000, 113, 185, 170, 8615791, 7359443, 0.44, 50, 100, 1, 86, 5000, 20
0, 10000, 86, 154, 128, 8660580, 7230336, 0.44, 50, 100, 1, 76, 5000, 20
0, 10000, 86, 159, 141, 8088480, 7097757, 0.44, 50, 100, 1, 77, 5000, 20
0, 10000, 109, 172, 163, 7902491, 7206748, 0.44, 50, 100, 1, 78, 5000, 20
1, 7542, 102, 123, 123, 7304141, 7343474, 0.44, 50, 100, 1, 59, 5000, 20
0, 10000, 102, 159, 151, 8274347, 7622870, 0.44, 50, 100, 1, 73, 5000, 20
0, 10000, 97, 161, 158, 7316561, 6931762, 0.44, 50, 100, 1, 93, 5000, 20
1, 7116, 103, 124, 125, 5419038, 5479934, 0.44, 50, 100, 1, 52, 5000, 20
0, 10000, 108, 179, 162, 8246918, 7279536, 0.44, 50, 100, 1, 78, 5000, 20
0, 10000, 82, 142, 132, 7421327, 6960680, 0.44, 50, 100, 1, 71, 5000, 20
1, 8485, 120, 158, 161, 7122515, 7140903, 0.44, 50, 100, 1, 64, 5000, 20
1, 6994, 94, 115, 118, 5374329, 5513327, 0.44, 50, 100, 1, 55, 5000, 20
0, 10000, 107, 180, 162, 8407757, 7609935, 0.44, 50, 100, 1, 82, 5000, 20
0, 10000, 104, 168, 152, 9124941, 8058996, 0.44, 50, 100, 1, 78, 5000, 20
0, 10000, 75, 144, 132, 7848424, 7237837, 0.44, 50, 100, 1, 77, 5000, 20
0, 10000, 109, 176, 167, 7705077, 7099768, 0.44, 50, 100, 1, 81, 5000, 20
0, 10000, 120, 177, 174, 7669636, 7457132, 0.44, 50, 100, 1, 77, 5000, 20
1, 6875, 103, 124, 127, 5637965, 5831188, 0.44, 50, 100, 1, 49, 5000, 20
0, 10000, 102, 153, 148, 7585071, 7255044, 0.44, 50, 100, 1, 78, 5000, 20
0, 10000, 98, 166, 137, 7354691, 6107093, 0.44, 50, 100, 1, 81, 5000, 20
0, 10000, 112, 184, 161, 8840408, 7540481, 0.44, 50, 100, 1, 83, 5000, 20
0, 10000, 106, 189, 165, 7985819, 6545178, 0.44, 50, 100, 1, 79, 5000, 20
0, 10000, 111, 178, 179, 7140199, 6975017, 0.44, 50, 100, 1, 73, 5000, 20
1, 7458, 100, 122, 124, 7326362, 7374591, 0.44, 50, 100, 1, 55, 5000, 20
0, 10000, 96, 165, 156, 8241894, 7496119, 0.44, 50, 100, 1, 77, 5000, 20
1, 6888, 91, 112, 113, 5202238, 5226688, 0.44, 50, 100, 1, 59, 5000, 20
0, 10000, 123, 192, 181, 8639010, 7949675, 0.44, 50, 100, 1, 83, 5000, 20
0, 10000, 93, 165, 148, 7054712, 6357827, 0.44, 50, 100, 1, 85, 5000, 20
0, 10000, 103, 179, 163, 7311277, 6533054, 0.44, 50, 100, 1, 80, 5000, 20
0, 10000, 123, 178, 162, 8263961, 7371068, 0.44, 50, 100, 1, 82, 5000, 20
0, 10000, 115, 180, 172, 7478983, 6981324, 0.44, 50, 100, 1, 91, 5000, 20
0, 10000, 106, 182, 166, 7738314, 6772858, 0.44, 50, 100, 1, 80, 5000, 20
0, 10000, 106, 193, 166, 6789901, 5768574, 0.44, 50, 100, 1, 90, 5000, 20
0, 10000, 97, 157, 136, 8571996, 7628342, 0.44, 50, 100, 1, 86, 5000, 20
1, 6645, 116, 137, 138, 5323366, 5367572, 0.44, 50, 100, 1, 48, 5000, 20
0, 10000, 107, 174, 163, 8400513, 7710028, 0.44, 50, 100, 1, 73, 5000, 20
0, 10000, 97, 166, 160, 7396604, 6824160, 0.44, 50, 100, 1, 88, 5000, 20
1, 7069, 99, 120, 122, 5887740, 5977973, 0.44, 50, 100, 1, 55, 5000, 20
0, 10000, 105, 172, 158, 8523476, 7711951, 0.44, 50, 100, 1, 80, 5000, 20
0, 10000, 95, 179, 159, 8183399, 7212259, 0.44, 50, 100, 1, 78, 5000, 20
1, 7196, 105, 127, 128, 6202672, 6245107, 0.44, 50, 100, 1, 57, 5000, 20
1, 7056, 115, 136, 140, 5651034, 5861644, 0.44, 50, 100, 1, 50, 5000, 20
0, 10000, 124, 185, 174, 7522232, 7015081, 0.44, 50, 100, 1, 90, 5000, 20
0, 10000, 100, 168, 157, 7647064, 7047691, 0.44, 50, 100, 1, 81, 5000, 20
0, 10000, 111, 184, 160, 8145042, 6943890, 0.44, 50, 100, 1, 76, 5000, 20
0, 10000, 91, 154, 143, 7917553, 7405359, 0.44, 50, 100, 1, 75, 5000, 20
1, 6584, 106, 127, 129, 5507798, 5635226, 0.44, 50, 100, 1, 55, 5000, 20
0, 10000, 95, 175, 165, 7337335, 6908777, 0.44, 50, 100, 1, 83, 5000, 20
1, 7396, 98, 121, 121, 5834906, 5866477, 0.44, 50, 100, 1, 58, 5000, 20
0, 10000, 87, 161, 147, 7345937, 6700516, 0.44, 50, 100, 1, 80, 5000, 20
0, 10000, 122, 190, 184, 7552372, 6989732, 0.44, 50, 100, 1, 85, 5000, 20
0, 10000, 107, 168, 152, 7593135, 6847708, 0.44, 50, 100, 1, 77, 5000, 20
1, 8334, 123, 154, 155, 7697370, 7719611, 0.44, 50, 100, 1, 70, 5000, 20
0, 10000, 94, 166, 157, 7381032, 6844274, 0.44, 50, 100, 1, 77, 5000, 20
1, 7103, 89, 110, 118, 6049255, 6481408, 0.44, 50, 100, 1, 49, 5000, 20
0, 10000, 114, 181, 164, 7415885, 6568228, 0.44, 50, 100, 1, 82, 5000, 20
0, 10000, 115, 178, 169, 6778611, 6132550, 0.44, 50, 100, 1, 83, 5000, 20
1, 6509, 96, 117, 118, 5803187, 5882611, 0.44, 50, 100, 1, 49, 5000, 20
1, 7098, 111, 132, 136, 6278851, 6484645, 0.44, 50, 100, 1, 56, 5000, 20
0, 10000, 97, 176, 157, 6779323, 5807335, 0.44, 50, 100, 1, 75, 5000, 20
0, 10000, 94, 167, 146, 7996432, 7134224, 0.44, 50, 100, 1, 78, 5000, 20
0, 10000, 88, 162, 154, 8252610, 7793713, 0.44, 50, 100, 1, 72, 5000, 20
0, 10000, 104, 177, 160, 7565685, 6827241, 0.44, 50, 100, 1, 83, 5000, 20
0, 10000, 119, 184, 181, 7031572, 6784123, 0.44, 50, 100, 1, 78, 5000, 20
1, 7344, 79, 100, 104, 6318537, 6612112, 0.44, 50, 100, 1, 58, 5000, 20
0, 10000, 97, 188, 159, 7505829, 6059593, 0.44, 50, 100, 1, 84, 5000, 20
