win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 12252, 97, 124, 126, 740975, 743351, 0.48, 75, 100, 1, 25, 7500, 10
1, 8666, 87, 98, 99, 774092, 781571, 0.48, 75, 100, 1, 21, 7500, 10
1, 9844, 97, 108, 114, 739103, 776903, 0.48, 75, 100, 1, 26, 7500, 10
0, 15000, 97, 162, 159, 795626, 772541, 0.48, 75, 100, 1, 39, 7500, 10
1, 12480, 104, 146, 149, 622082, 623678, 0.48, 75, 100, 1, 25, 7500, 10
1, 9475, 92, 103, 107, 704372, 731387, 0.48, 75, 100, 1, 17, 7500, 10
1, 9471, 85, 96, 105, 522309, 566595, 0.48, 75, 100, 1, 16, 7500, 10
1, 9609, 116, 130, 131, 597430, 600587, 0.48, 75, 100, 1, 16, 7500, 10
1, 9801, 89, 101, 103, 670760, 684342, 0.48, 75, 100, 1, 18, 7500, 10
0, 8689, 95, 114, 103, 512265, 463084, 0.48, 75, 100, 1, 13, 7500, 10
1, 8987, 121, 134, 135, 553897, 558480, 0.48, 75, 100, 1, 26, 7500, 10
1, 9120, 90, 103, 104, 615990, 618795, 0.48, 75, 100, 1, 15, 7500, 10
0, 9334, 107, 126, 116, 674541, 615294, 0.48, 75, 100, 1, 16, 7500, 10
1, 9359, 100, 111, 114, 622274, 638614, 0.48, 75, 100, 1, 20, 7500, 10
1, 9068, 94, 105, 105, 657524, 659012, 0.48, 75, 100, 1, 15, 7500, 10
1, 9197, 113, 129, 129, 607543, 608131, 0.48, 75, 100, 1, 23, 7500, 10
1, 9342, 103, 114, 115, 730510, 738644, 0.48, 75, 100, 1, 15, 7500, 10
1, 10411, 112, 125, 125, 740817, 752645, 0.48, 75, 100, 1, 19, 7500, 10
1, 9008, 116, 127, 129, 520626, 533905, 0.48, 75, 100, 1, 15, 7500, 10
0, 12666, 90, 127, 114, 912472, 836845, 0.48, 75, 100, 1, 28, 7500, 10
1, 9555, 116, 131, 131, 662910, 663480, 0.48, 75, 100, 1, 40, 7500, 10
0, 14649, 101, 155, 142, 948002, 881495, 0.48, 75, 100, 1, 32, 7500, 10
0, 15000, 118, 178, 169, 892480, 838110, 0.48, 75, 100, 1, 36, 7500, 10
1, 9092, 108, 119, 124, 548906, 576704, 0.48, 75, 100, 1, 15, 7500, 10
1, 9111, 109, 120, 122, 652280, 668888, 0.48, 75, 100, 1, 15, 7500, 10
1, 9386, 100, 111, 111, 663410, 664643, 0.48, 75, 100, 1, 17, 7500, 10
0, 9851, 87, 109, 97, 619225, 559068, 0.48, 75, 100, 1, 16, 7500, 10
