win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 11387, 104, 134, 136, 727114, 727973, 0.44, 75, 100, 1, 8, 7500, 20
1, 9859, 95, 115, 118, 686357, 696555, 0.44, 75, 100, 1, 7, 7500, 20
1, 13126, 112, 156, 160, 782408, 786187, 0.44, 75, 100, 1, 10, 7500, 20
0, 14280, 120, 169, 151, 949954, 819728, 0.44, 75, 100, 1, 12, 7500, 20
0, 14348, 103, 173, 150, 876428, 762055, 0.44, 75, 100, 1, 11, 7500, 20
0, 12396, 110, 159, 140, 783281, 674139, 0.44, 75, 100, 1, 11, 7500, 20
1, 11170, 96, 120, 128, 591309, 623303, 0.44, 75, 100, 1, 9, 7500, 20
1, 11452, 111, 142, 143, 664277, 665885, 0.44, 75, 100, 1, 10, 7500, 20
1, 10760, 114, 138, 140, 655542, 659484, 0.44, 75, 100, 1, 8, 7500, 20
0, 18168, 130, 217, 195, 1121280, 978412, 0.44, 75, 100, 1, 17, 7500, 20
1, 11139, 98, 121, 122, 693284, 696615, 0.44, 75, 100, 1, 10, 7500, 20
0, 16813, 108, 196, 170, 1043879, 914124, 0.44, 75, 100, 1, 16, 7500, 20
1, 16473, 107, 159, 167, 959142, 962071, 0.44, 75, 100, 1, 16, 7500, 20
0, 15725, 110, 186, 164, 869198, 759961, 0.44, 75, 100, 1, 13, 7500, 20
0, 18647, 105, 222, 203, 1047008, 936429, 0.44, 75, 100, 1, 18, 7500, 20
1, 11274, 113, 136, 142, 685057, 723325, 0.44, 75, 100, 1, 9, 7500, 20
0, 13109, 95, 151, 127, 894284, 764104, 0.44, 75, 100, 1, 12, 7500, 20
0, 21184, 109, 241, 217, 1145744, 1016610, 0.44, 75, 100, 1, 21, 7500, 20
1, 9458, 106, 127, 127, 569776, 570555, 0.44, 75, 100, 1, 9, 7500, 20
1, 10922, 112, 135, 136, 640764, 641916, 0.44, 75, 100, 1, 10, 7500, 20
1, 10547, 103, 125, 125, 657339, 660751, 0.44, 75, 100, 1, 8, 7500, 20
0, 18903, 109, 231, 212, 1066733, 954966, 0.44, 75, 100, 1, 17, 7500, 20
0, 14878, 107, 171, 149, 791009, 681868, 0.44, 75, 100, 1, 13, 7500, 20
0, 17646, 95, 195, 171, 1075982, 948034, 0.44, 75, 100, 1, 18, 7500, 20
0, 16470, 105, 202, 180, 872816, 771396, 0.44, 75, 100, 1, 16, 7500, 20
0, 21103, 100, 252, 229, 1195706, 1072965, 0.44, 75, 100, 1, 20, 7500, 20
1, 11555, 113, 139, 138, 824011, 826399, 0.44, 75, 100, 1, 9, 7500, 20
0, 15915, 114, 194, 176, 832560, 732039, 0.44, 75, 100, 1, 15, 7500, 20
0, 13053, 117, 167, 149, 802415, 695366, 0.44, 75, 100, 1, 10, 7500, 20
1, 11434, 101, 125, 125, 665436, 665688, 0.44, 75, 100, 1, 8, 7500, 20
0, 26487, 110, 320, 306, 1357329, 1239362, 0.44, 75, 100, 1, 28, 7500, 20
0, 12960, 111, 168, 146, 816306, 702309, 0.44, 75, 100, 1, 11, 7500, 20
1, 10524, 104, 127, 126, 685153, 691579, 0.44, 75, 100, 1, 8, 7500, 20
0, 15489, 105, 184, 167, 916972, 804594, 0.44, 75, 100, 1, 13, 7500, 20
0, 13151, 96, 155, 136, 773294, 666923, 0.44, 75, 100, 1, 11, 7500, 20
0, 13053, 95, 149, 128, 859828, 738558, 0.44, 75, 100, 1, 11, 7500, 20
1, 9912, 94, 116, 119, 558620, 574911, 0.44, 75, 100, 1, 7, 7500, 20
0, 20966, 106, 252, 226, 1142535, 1017065, 0.44, 75, 100, 1, 21, 7500, 20
1, 11048, 102, 126, 126, 678426, 680953, 0.44, 75, 100, 1, 8, 7500, 20
1, 12976, 78, 121, 124, 769191, 770367, 0.44, 75, 100, 1, 11, 7500, 20
0, 33770, 99, 404, 382, 1577118, 1446431, 0.44, 75, 100, 1, 36, 7500, 20
1, 11189, 99, 123, 123, 785269, 787583, 0.44, 75, 100, 1, 8, 7500, 20
0, 15042, 101, 171, 143, 925085, 796744, 0.44, 75, 100, 1, 13, 7500, 20
0, 22084, 111, 271, 247, 1176069, 1061053, 0.44, 75, 100, 1, 21, 7500, 20
0, 34112, 92, 399, 371, 1669145, 1528937, 0.44, 75, 100, 1, 34, 7500, 20
0, 21353, 107, 246, 226, 1104654, 988544, 0.44, 75, 100, 1, 20, 7500, 20
1, 9428, 88, 109, 110, 714352, 720682, 0.44, 75, 100, 1, 7, 7500, 20
1, 10665, 98, 120, 123, 605003, 607838, 0.44, 75, 100, 1, 9, 7500, 20
0, 18910, 114, 227, 196, 1122017, 991760, 0.44, 75, 100, 1, 17, 7500, 20
0, 20074, 101, 250, 232, 1029588, 928544, 0.44, 75, 100, 1, 19, 7500, 20
1, 11123, 94, 117, 118, 736509, 740281, 0.44, 75, 100, 1, 8, 7500, 20
0, 20401, 92, 224, 208, 1052467, 942918, 0.44, 75, 100, 1, 18, 7500, 20
0, 19270, 101, 218, 196, 1054512, 942768, 0.44, 75, 100, 1, 18, 7500, 20
1, 15802, 99, 173, 178, 844787, 845887, 0.44, 75, 100, 1, 14, 7500, 20
0, 11778, 93, 141, 118, 692636, 591909, 0.44, 75, 100, 1, 10, 7500, 20
1, 11279, 109, 132, 135, 733636, 754520, 0.44, 75, 100, 1, 9, 7500, 20
1, 11264, 110, 136, 136, 606979, 610175, 0.44, 75, 100, 1, 9, 7500, 20
1, 11270, 110, 134, 137, 654945, 678009, 0.44, 75, 100, 1, 9, 7500, 20
0, 13079, 93, 148, 125, 809613, 690468, 0.44, 75, 100, 1, 11, 7500, 20
