win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 4042, 49, 51, 51, 350936, 350976, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 3966, 57, 59, 60, 323668, 330112, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4198, 61, 63, 63, 307039, 307065, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 5027, 52, 55, 58, 335371, 355431, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4327, 62, 64, 64, 290217, 290266, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 5197, 60, 63, 63, 397359, 399373, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4080, 52, 54, 54, 258999, 259220, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 3931, 51, 53, 54, 295291, 301349, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4225, 61, 63, 64, 288225, 293997, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4174, 51, 53, 56, 328113, 347361, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4268, 51, 53, 54, 357622, 364433, 0.44, 75, 100, 1, 3, 3750, 1.9
0, 6295, 56, 76, 64, 420437, 352118, 0.44, 75, 100, 1, 4, 3750, 1.9
1, 4258, 60, 62, 63, 363825, 370399, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4349, 53, 56, 57, 285366, 290292, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4332, 57, 60, 61, 282713, 287723, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4191, 50, 52, 52, 289000, 289137, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4286, 63, 65, 65, 277929, 278010, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4292, 52, 54, 56, 291347, 302087, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4632, 62, 65, 67, 298360, 309272, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4711, 54, 56, 58, 339151, 350641, 0.44, 75, 100, 1, 4, 3750, 1.9
1, 4563, 55, 57, 59, 351683, 364609, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4305, 60, 63, 64, 289489, 294454, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4121, 59, 61, 64, 351180, 371911, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4076, 49, 51, 53, 281729, 292895, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4380, 58, 61, 61, 372115, 372225, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4191, 53, 55, 55, 306594, 306756, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4124, 55, 57, 57, 351950, 352290, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4177, 48, 50, 50, 353341, 353626, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4033, 44, 46, 46, 308549, 308551, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4118, 47, 49, 49, 323640, 323650, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4346, 57, 60, 62, 276739, 287500, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4250, 48, 50, 52, 316194, 328571, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4200, 52, 54, 56, 286887, 297430, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4318, 57, 59, 61, 316264, 328443, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4161, 60, 62, 62, 265682, 265745, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4409, 50, 52, 52, 314069, 314469, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4163, 47, 49, 49, 316324, 316673, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4056, 50, 52, 55, 285139, 302099, 0.44, 75, 100, 1, 2, 3750, 1.9
0, 9535, 52, 109, 97, 481927, 426575, 0.44, 75, 100, 1, 7, 3750, 1.9
0, 6946, 44, 75, 63, 385652, 328623, 0.44, 75, 100, 1, 5, 3750, 1.9
1, 4040, 48, 50, 50, 436304, 436384, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4241, 60, 62, 62, 246549, 246606, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4022, 53, 55, 55, 278132, 278415, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4528, 54, 57, 58, 341425, 346985, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4204, 61, 63, 63, 258879, 258927, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4325, 57, 59, 60, 351587, 358262, 0.44, 75, 100, 1, 2, 3750, 1.9
0, 5349, 60, 73, 63, 379235, 322411, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4246, 58, 60, 61, 320925, 327213, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4088, 51, 53, 53, 294469, 294739, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4790, 57, 65, 66, 270015, 273369, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4185, 58, 60, 60, 318939, 319193, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4632, 53, 55, 56, 342575, 348938, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4298, 54, 57, 58, 327800, 334587, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4705, 54, 56, 58, 227473, 236316, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4092, 49, 51, 51, 330973, 331366, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4328, 52, 54, 54, 343807, 343948, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4784, 57, 59, 60, 315713, 321127, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4474, 44, 48, 49, 385327, 391146, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4416, 48, 50, 51, 286921, 292317, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4594, 56, 58, 63, 337518, 371085, 0.44, 75, 100, 1, 3, 3750, 1.9
0, 9595, 49, 93, 81, 617387, 537586, 0.44, 75, 100, 1, 7, 3750, 1.9
1, 4045, 43, 45, 45, 247521, 247542, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 5069, 62, 65, 70, 320136, 347686, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 3998, 49, 51, 51, 297069, 297243, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4339, 55, 58, 58, 350497, 351069, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4393, 54, 56, 62, 331502, 369650, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4027, 47, 49, 49, 224162, 224334, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4128, 42, 44, 47, 239932, 253955, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4128, 51, 53, 53, 311488, 311641, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 3850, 56, 58, 58, 279853, 279863, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4038, 60, 62, 64, 281552, 292448, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4570, 61, 63, 65, 287607, 297373, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4392, 53, 57, 58, 275414, 279772, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4087, 51, 53, 55, 315012, 327507, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4215, 55, 57, 58, 286954, 292495, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 3860, 55, 57, 57, 231915, 232032, 0.44, 75, 100, 1, 2, 3750, 1.9
1, 4069, 48, 50, 50, 237645, 237723, 0.44, 75, 100, 1, 3, 3750, 1.9
1, 4201, 62, 64, 64, 315228, 315323, 0.44, 75, 100, 1, 3, 3750, 1.9
