win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 4457, 56, 59, 59, 284673, 284741, 0.44, 75, 100, 1, 2, 3750, 2
1, 4362, 49, 52, 52, 394732, 395498, 0.44, 75, 100, 1, 2, 3750, 2
0, 4801, 58, 72, 61, 337795, 282155, 0.44, 75, 100, 1, 3, 3750, 2
1, 4532, 55, 58, 59, 296657, 301898, 0.44, 75, 100, 1, 2, 3750, 2
1, 4409, 51, 54, 54, 332634, 333662, 0.44, 75, 100, 1, 2, 3750, 2
1, 4438, 57, 60, 61, 327788, 334119, 0.44, 75, 100, 1, 2, 3750, 2
1, 4333, 55, 58, 59, 284672, 289732, 0.44, 75, 100, 1, 2, 3750, 2
1, 5145, 50, 53, 55, 362249, 375070, 0.44, 75, 100, 1, 3, 3750, 2
1, 4388, 57, 59, 60, 302583, 308051, 0.44, 75, 100, 1, 2, 3750, 2
1, 4722, 53, 56, 57, 457599, 465349, 0.44, 75, 100, 1, 3, 3750, 2
1, 4323, 37, 39, 40, 290450, 295903, 0.44, 75, 100, 1, 2, 3750, 2
1, 4414, 65, 68, 68, 355316, 355590, 0.44, 75, 100, 1, 2, 3750, 2
1, 4198, 48, 51, 52, 268651, 274001, 0.44, 75, 100, 1, 2, 3750, 2
1, 5286, 59, 62, 66, 381689, 411256, 0.44, 75, 100, 1, 3, 3750, 2
1, 4675, 51, 54, 60, 335701, 375050, 0.44, 75, 100, 1, 3, 3750, 2
1, 4941, 59, 62, 62, 273620, 273648, 0.44, 75, 100, 1, 3, 3750, 2
1, 4281, 44, 47, 49, 275636, 286000, 0.44, 75, 100, 1, 2, 3750, 2
1, 4659, 58, 61, 67, 265558, 295953, 0.44, 75, 100, 1, 3, 3750, 2
1, 4091, 49, 51, 51, 268878, 268917, 0.44, 75, 100, 1, 2, 3750, 2
1, 4703, 59, 62, 65, 349491, 369236, 0.44, 75, 100, 1, 3, 3750, 2
1, 4340, 51, 54, 54, 270188, 270819, 0.44, 75, 100, 1, 3, 3750, 2
1, 4408, 51, 54, 56, 333997, 346255, 0.44, 75, 100, 1, 3, 3750, 2
1, 4138, 58, 61, 62, 272374, 277930, 0.44, 75, 100, 1, 2, 3750, 2
1, 4117, 52, 55, 55, 282576, 283056, 0.44, 75, 100, 1, 2, 3750, 2
1, 4017, 59, 62, 63, 290653, 296562, 0.44, 75, 100, 1, 2, 3750, 2
1, 4944, 51, 60, 61, 300950, 304444, 0.44, 75, 100, 1, 3, 3750, 2
1, 4627, 56, 59, 60, 288594, 294237, 0.44, 75, 100, 1, 3, 3750, 2
1, 5517, 50, 59, 60, 425408, 429896, 0.44, 75, 100, 1, 3, 3750, 2
1, 4589, 47, 50, 51, 472194, 480685, 0.44, 75, 100, 1, 3, 3750, 2
1, 4178, 45, 48, 49, 353727, 360051, 0.44, 75, 100, 1, 2, 3750, 2
0, 7023, 62, 86, 74, 492991, 424820, 0.44, 75, 100, 1, 5, 3750, 2
1, 4449, 58, 61, 67, 306988, 344360, 0.44, 75, 100, 1, 3, 3750, 2
1, 3918, 54, 56, 59, 253403, 268663, 0.44, 75, 100, 1, 2, 3750, 2
