win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 431, 4, 5, 5, 1024875, 620100, 0.44, 75, 500, 32, 30, 300, 2, 20, 12
0, 616, 3, 6, 4, 1364325, 663225, 0.44, 75, 500, 32, 45, 300, 2, 69, 63
0, 540, 1, 2, 3, 1116375, 1077525, 0.44, 75, 500, 32, 39, 300, 2, 27, 23
0, 618, 1, 2, 4, 1370475, 1254450, 0.44, 75, 500, 32, 48, 300, 2, 51, 42
0, 811, 4, 8, 9, 1306650, 1052250, 0.44, 75, 500, 32, 53, 300, 2, 46, 33
0, 681, 3, 4, 8, 1323975, 1032525, 0.44, 75, 500, 32, 52, 300, 2, 70, 56
0, 714, 8, 9, 9, 1550925, 1074450, 0.44, 75, 500, 32, 49, 300, 2, 33, 34
0, 666, 4, 6, 5, 1155900, 630525, 0.44, 75, 500, 32, 48, 300, 2, 9, 6
0, 849, 7, 10, 8, 1437525, 913500, 0.44, 75, 500, 32, 63, 300, 2, 37, 31
0, 961, 6, 8, 9, 1537200, 1266225, 0.44, 75, 500, 32, 68, 300, 2, 63, 49
0, 847, 6, 11, 7, 1524150, 794250, 0.44, 75, 500, 32, 67, 300, 2, 59, 46
0, 407, 2, 3, 3, 911250, 623625, 0.44, 75, 500, 32, 30, 300, 2, 16, 8
0, 964, 9, 17, 14, 1663200, 1180800, 0.44, 75, 500, 32, 73, 300, 2, 78, 43
0, 361, 0, 1, 2, 771525, 751650, 0.44, 75, 500, 32, 24, 300, 2, 48, 42
0, 1052, 4, 10, 7, 2070600, 1469625, 0.44, 75, 500, 32, 85, 300, 2, 31, 30
0, 1106, 4, 8, 9, 2017500, 1460175, 0.44, 75, 500, 32, 92, 300, 2, 14, 12
0, 1446, 6, 14, 11, 2203275, 1532025, 0.44, 75, 500, 32, 101, 300, 2, 47, 36
0, 548, 3, 5, 5, 1282950, 1134675, 0.44, 75, 500, 32, 46, 300, 2, 59, 56
0, 1483, 9, 10, 10, 3526050, 3319575, 0.44, 75, 500, 32, 123, 300, 2, 60, 36
0, 1528, 4, 14, 10, 2519400, 1680000, 0.44, 75, 500, 32, 121, 300, 2, 12, 5
0, 1023, 6, 7, 8, 2113725, 1816425, 0.44, 75, 500, 32, 76, 300, 2, 25, 15
0, 579, 5, 8, 6, 1215750, 903975, 0.44, 75, 500, 32, 41, 300, 2, 66, 56
0, 1792, 7, 17, 15, 2881500, 2361225, 0.44, 75, 500, 32, 146, 300, 2, 58, 45
0, 1242, 4, 10, 8, 2186550, 1478625, 0.44, 75, 500, 32, 93, 300, 2, 60, 46
0, 2037, 7, 15, 16, 3078150, 2365050, 0.44, 75, 500, 32, 154, 300, 2, 37, 29
0, 1903, 3, 12, 16, 2326200, 1965300, 0.44, 75, 500, 32, 149, 300, 2, 30, 27
0, 1353, 2, 7, 10, 2308050, 1882425, 0.44, 75, 500, 32, 96, 300, 2, 12, 11
0, 459, 5, 7, 6, 937500, 493500, 0.44, 75, 500, 32, 35, 300, 2, 9, 10
0, 1479, 4, 11, 11, 2446800, 1876875, 0.44, 75, 500, 32, 109, 300, 2, 51, 48
0, 1152, 5, 14, 12, 1992525, 1480050, 0.44, 75, 500, 32, 83, 300, 2, 54, 33
0, 549, 1, 2, 2, 1261650, 668025, 0.44, 75, 500, 32, 37, 300, 2, 28, 21
0, 2139, 5, 10, 15, 3472725, 2616375, 0.44, 75, 500, 32, 185, 300, 2, 57, 47
0, 1423, 9, 17, 14, 2419275, 1965525, 0.44, 75, 500, 32, 103, 300, 2, 28, 21
0, 2207, 9, 18, 17, 3442875, 2514750, 0.44, 75, 500, 32, 191, 300, 2, 14, 8
0, 542, 2, 3, 3, 851175, 403950, 0.44, 75, 500, 32, 38, 300, 2, 49, 40
0, 1107, 2, 7, 13, 1897125, 1524900, 0.44, 75, 500, 32, 85, 300, 2, 3, 8
0, 1841, 6, 22, 14, 2912100, 2054850, 0.44, 75, 500, 32, 161, 300, 2, 16, 11
1, 687, 5, 9, 9, 1031025, 1181250, 0.44, 75, 500, 32, 51, 300, 2, 51, 29
0, 787, 3, 8, 5, 1393575, 1086675, 0.44, 75, 500, 32, 66, 300, 2, 33, 28
0, 2229, 10, 27, 19, 3218775, 2364000, 0.44, 75, 500, 32, 183, 300, 2, 51, 38
0, 2021, 4, 8, 25, 2615100, 2254500, 0.44, 75, 500, 32, 152, 300, 2, 10, 17
0, 776, 5, 10, 7, 1391850, 948900, 0.44, 75, 500, 32, 63, 300, 2, 57, 40
0, 991, 5, 8, 6, 1809225, 633300, 0.44, 75, 500, 32, 81, 300, 2, 31, 27
0, 2357, 9, 21, 22, 3202875, 2649450, 0.44, 75, 500, 32, 176, 300, 2, 54, 51
0, 1714, 4, 10, 13, 2359050, 1680975, 0.44, 75, 500, 32, 131, 300, 2, 43, 35
0, 1940, 3, 8, 10, 3206325, 2737200, 0.44, 75, 500, 32, 149, 300, 2, 18, 22
0, 2978, 5, 24, 18, 4377825, 3740700, 0.44, 75, 500, 32, 245, 300, 2, 43, 30
0, 1638, 6, 14, 14, 2388525, 1778550, 0.44, 75, 500, 32, 123, 300, 2, 41, 33
0, 2222, 6, 29, 20, 3421200, 2755725, 0.44, 75, 500, 32, 169, 300, 2, 71, 45
0, 3115, 3, 16, 25, 4545450, 3768000, 0.44, 75, 500, 32, 253, 300, 2, 33, 28
0, 490, 5, 7, 6, 1059225, 504075, 0.44, 75, 500, 32, 34, 300, 2, 56, 49
0, 1081, 4, 17, 8, 1888875, 1357500, 0.44, 75, 500, 32, 85, 300, 2, 44, 31
0, 347, 2, 3, 3, 830850, 481275, 0.44, 75, 500, 32, 24, 300, 2, 42, 32
0, 1002, 4, 8, 8, 1846875, 1146675, 0.44, 75, 500, 32, 82, 300, 2, 23, 14
0, 846, 6, 7, 7, 1792200, 1116450, 0.44, 75, 500, 32, 62, 300, 2, 23, 19
0, 442, 1, 2, 2, 779775, 723600, 0.44, 75, 500, 32, 28, 300, 2, 69, 48
0, 623, 4, 10, 7, 1278375, 922125, 0.44, 75, 500, 32, 44, 300, 2, 25, 17
0, 1291, 3, 6, 12, 1927425, 1198500, 0.44, 75, 500, 32, 104, 300, 2, 58, 52
0, 826, 9, 12, 10, 1643325, 1082475, 0.44, 75, 500, 32, 63, 300, 2, 86, 46
0, 763, 5, 7, 6, 1362750, 653100, 0.44, 75, 500, 32, 61, 300, 2, 19, 17
0, 1310, 6, 14, 12, 2183325, 1437450, 0.44, 75, 500, 32, 107, 300, 2, 23, 13
0, 1137, 4, 8, 9, 1793250, 1551750, 0.44, 75, 500, 32, 94, 300, 2, 31, 29
0, 833, 5, 10, 8, 1540950, 1076325, 0.44, 75, 500, 32, 73, 300, 2, 55, 55
0, 690, 5, 8, 6, 1036425, 506625, 0.44, 75, 500, 32, 47, 300, 2, 11, 3
0, 1630, 8, 11, 15, 2740125, 2204175, 0.44, 75, 500, 32, 133, 300, 2, 25, 20
0, 703, 2, 5, 5, 1371825, 1060875, 0.44, 75, 500, 32, 58, 300, 2, 14, 15
0, 614, 4, 8, 5, 951825, 716850, 0.44, 75, 500, 32, 43, 300, 2, 9, 3
0, 1336, 6, 19, 10, 2289300, 1587450, 0.44, 75, 500, 32, 111, 300, 2, 43, 33
0, 629, 5, 12, 10, 1267950, 910500, 0.44, 75, 500, 32, 51, 300, 2, 67, 58
0, 557, 6, 8, 8, 1125075, 1012650, 0.44, 75, 500, 32, 42, 300, 2, 38, 23
0, 1178, 6, 13, 12, 2213775, 1602900, 0.44, 75, 500, 32, 106, 300, 2, 27, 26
0, 1364, 6, 9, 9, 2228175, 1291725, 0.44, 75, 500, 32, 108, 300, 2, 34, 16
0, 1026, 4, 10, 8, 2089500, 1450725, 0.44, 75, 500, 32, 84, 300, 2, 62, 50
0, 2310, 8, 18, 15, 4042350, 3198150, 0.44, 75, 500, 32, 199, 300, 2, 74, 60
0, 797, 7, 9, 9, 1613775, 1326000, 0.44, 75, 500, 32, 69, 300, 2, 42, 39
0, 554, 3, 4, 4, 1205400, 848250, 0.44, 75, 500, 32, 42, 300, 2, 43, 37
0, 2224, 4, 14, 22, 3536100, 2913225, 0.44, 75, 500, 32, 187, 300, 2, 64, 63
0, 899, 4, 6, 8, 1596300, 1415250, 0.44, 75, 500, 32, 76, 300, 2, 57, 64
0, 1456, 3, 16, 9, 2107800, 1561125, 0.44, 75, 500, 32, 113, 300, 2, 6, 4
