win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 2499, 3, 16, 15, 3654450, 1764525, 0.44, 75, 500, 32, 214, 300, 5, 53, 40
0, 3474, 11, 32, 14, 4903425, 3094425, 0.44, 75, 500, 32, 304, 300, 5, 12, 3
0, 4000, 4, 30, 22, 6303750, 4412250, 0.44, 75, 500, 32, 332, 300, 5, 48, 40
0, 4108, 8, 42, 36, 6228000, 4221825, 0.44, 75, 500, 32, 355, 300, 5, 59, 45
0, 4244, 8, 33, 31, 6839100, 5007975, 0.44, 75, 500, 32, 375, 300, 5, 62, 40
0, 4630, 2, 28, 22, 6628425, 4788975, 0.44, 75, 500, 32, 396, 300, 5, 24, 21
0, 4795, 5, 43, 29, 7449225, 5450250, 0.44, 75, 500, 32, 424, 300, 5, 81, 57
0, 5123, 2, 40, 28, 7315350, 5464575, 0.44, 75, 500, 32, 446, 300, 5, 46, 32
0, 5367, 7, 38, 23, 7713075, 5590350, 0.44, 75, 500, 32, 466, 300, 5, 9, 6
0, 5119, 6, 39, 36, 7755075, 5948700, 0.44, 75, 500, 32, 466, 300, 5, 65, 42
0, 5093, 10, 41, 27, 8163675, 6213900, 0.44, 75, 500, 32, 458, 300, 5, 38, 26
0, 5570, 9, 52, 42, 7854525, 5943750, 0.44, 75, 500, 32, 483, 300, 5, 28, 18
0, 5328, 6, 36, 48, 7884375, 5946975, 0.44, 75, 500, 32, 476, 300, 5, 41, 29
0, 5570, 4, 41, 27, 7732425, 5889375, 0.44, 75, 500, 32, 491, 300, 5, 31, 20
0, 5590, 8, 43, 40, 8447025, 6532800, 0.44, 75, 500, 32, 497, 300, 5, 35, 39
0, 5570, 7, 47, 39, 7689900, 5876700, 0.44, 75, 500, 32, 505, 300, 5, 20, 11
0, 5632, 9, 39, 39, 7934025, 6112200, 0.44, 75, 500, 32, 510, 300, 5, 54, 52
0, 6280, 4, 54, 29, 8410200, 6506850, 0.44, 75, 500, 32, 538, 300, 5, 37, 24
0, 5798, 8, 45, 48, 9021825, 7048125, 0.44, 75, 500, 32, 549, 300, 5, 29, 27
0, 6340, 5, 44, 40, 8908725, 6905100, 0.44, 75, 500, 32, 550, 300, 5, 61, 47
0, 6339, 5, 38, 49, 9015525, 7148400, 0.44, 75, 500, 32, 574, 300, 5, 54, 55
0, 6471, 7, 54, 37, 9370500, 7467375, 0.44, 75, 500, 32, 571, 300, 5, 95, 55
0, 6796, 5, 48, 46, 9222300, 7065450, 0.44, 75, 500, 32, 606, 300, 5, 46, 55
1, 1056, 6, 11, 9, 1881375, 2192475, 0.44, 75, 500, 32, 86, 300, 5, 26, 28
0, 1799, 8, 12, 9, 3456975, 1554900, 0.44, 75, 500, 32, 166, 300, 5, 24, 11
0, 2555, 10, 25, 16, 3885750, 1937100, 0.44, 75, 500, 32, 219, 300, 5, 34, 27
0, 5300, 4, 37, 46, 7486950, 5653275, 0.44, 75, 500, 32, 461, 300, 5, 30, 29
0, 7800, 7, 63, 47, 10817325, 9084225, 0.44, 75, 500, 32, 711, 300, 5, 59, 45
0, 3147, 3, 34, 12, 4671300, 2861925, 0.44, 75, 500, 32, 274, 300, 5, 17, 14
1, 947, 4, 10, 7, 1938150, 1991475, 0.44, 75, 500, 32, 76, 300, 5, 14, 15
0, 4471, 4, 42, 22, 6424575, 4374450, 0.44, 75, 500, 32, 394, 300, 5, 39, 25
0, 5203, 9, 48, 33, 7399350, 5528850, 0.44, 75, 500, 32, 468, 300, 5, 24, 16
0, 5872, 5, 44, 47, 8604825, 6737400, 0.44, 75, 500, 32, 507, 300, 5, 59, 59
0, 1362, 8, 18, 9, 2413575, 543300, 0.44, 75, 500, 32, 119, 300, 5, 28, 10
0, 4380, 3, 35, 27, 6702525, 4866300, 0.44, 75, 500, 32, 389, 300, 5, 35, 33
