win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 11804, 101, 107, 110, 1232408, 1269247, 0.4, 100, 100, 1, 246, 10000, 5
0, 13500, 96, 120, 111, 1061848, 986326, 0.4, 100, 100, 1, 309, 10000, 5
0, 13500, 117, 141, 129, 1119700, 997790, 0.4, 100, 100, 1, 235, 10000, 5
0, 13500, 97, 119, 106, 1276380, 1140930, 0.4, 100, 100, 1, 241, 10000, 5
1, 10631, 102, 108, 108, 1010977, 1011703, 0.4, 100, 100, 1, 189, 10000, 5
0, 13500, 124, 149, 140, 1291176, 1190790, 0.4, 100, 100, 1, 312, 10000, 5
0, 13500, 118, 132, 125, 1224805, 1147706, 0.4, 100, 100, 1, 289, 10000, 5
0, 13500, 106, 127, 114, 1372634, 1232038, 0.4, 100, 100, 1, 208, 10000, 5
1, 11330, 91, 97, 98, 1138116, 1148801, 0.4, 100, 100, 1, 209, 10000, 5
0, 13500, 111, 125, 123, 1315376, 1283413, 0.4, 100, 100, 1, 236, 10000, 5
0, 13500, 100, 133, 112, 1172161, 978127, 0.4, 100, 100, 1, 246, 10000, 5
0, 13500, 107, 131, 127, 1121894, 1076532, 0.4, 100, 100, 1, 232, 10000, 5
0, 13500, 91, 113, 104, 1380016, 1286418, 0.4, 100, 100, 1, 258, 10000, 5
1, 13116, 102, 123, 124, 1211301, 1215040, 0.4, 100, 100, 1, 141, 10000, 5
1, 11897, 101, 107, 107, 1058462, 1059255, 0.4, 100, 100, 1, 237, 10000, 5
1, 12135, 102, 108, 109, 962216, 969297, 0.4, 100, 100, 1, 153, 10000, 5
1, 11617, 103, 109, 110, 1024635, 1032794, 0.4, 100, 100, 1, 224, 10000, 5
0, 13500, 108, 130, 127, 1098178, 1066647, 0.4, 100, 100, 1, 174, 10000, 5
0, 13500, 88, 115, 103, 1169688, 1058395, 0.4, 100, 100, 1, 278, 10000, 5
0, 13500, 95, 115, 103, 1196500, 1083797, 0.4, 100, 100, 1, 154, 10000, 5
0, 13500, 95, 114, 110, 1114837, 1075545, 0.4, 100, 100, 1, 248, 10000, 5
0, 13500, 84, 104, 95, 1137040, 1056178, 0.4, 100, 100, 1, 256, 10000, 5
0, 13500, 97, 116, 112, 1284121, 1239197, 0.4, 100, 100, 1, 212, 10000, 5
1, 10967, 93, 99, 101, 1173014, 1194320, 0.4, 100, 100, 1, 107, 10000, 5
1, 11865, 109, 118, 119, 1198764, 1208806, 0.4, 100, 100, 1, 183, 10000, 5
1, 11931, 113, 119, 126, 1254761, 1336511, 0.4, 100, 100, 1, 96, 10000, 5
0, 13500, 116, 140, 128, 1144185, 1020615, 0.4, 100, 100, 1, 106, 10000, 5
0, 13500, 117, 140, 130, 1232445, 1118264, 0.4, 100, 100, 1, 108, 10000, 5
1, 10726, 104, 110, 111, 1056526, 1067219, 0.4, 100, 100, 1, 87, 10000, 5
0, 13500, 106, 127, 117, 1074580, 990903, 0.4, 100, 100, 1, 114, 10000, 5
0, 13500, 116, 140, 130, 1274882, 1155611, 0.4, 100, 100, 1, 113, 10000, 5
0, 13500, 104, 126, 122, 1104062, 1058522, 0.4, 100, 100, 1, 114, 10000, 5
0, 13500, 102, 132, 123, 1010564, 929735, 0.4, 100, 100, 1, 115, 10000, 5
0, 13500, 96, 120, 111, 1388813, 1282157, 0.4, 100, 100, 1, 112, 10000, 5
1, 10814, 96, 102, 102, 988565, 988887, 0.4, 100, 100, 1, 91, 10000, 5
0, 13500, 98, 124, 110, 1223945, 1094349, 0.4, 100, 100, 1, 116, 10000, 5
0, 13500, 106, 135, 119, 1104246, 963809, 0.4, 100, 100, 1, 116, 10000, 5
0, 13500, 96, 132, 113, 1273354, 1086403, 0.4, 100, 100, 1, 121, 10000, 5
1, 11178, 114, 120, 120, 981076, 982917, 0.4, 100, 100, 1, 98, 10000, 5
