win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
0, 13500, 93, 123, 105, 1338466, 1144571, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 106, 129, 122, 1193764, 1122103, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 103, 120, 116, 1172711, 1127346, 0.4, 100, 100, 1, 9, 10000, 5
1, 11089, 103, 109, 109, 1122731, 1122991, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 107, 126, 121, 1424032, 1356938, 0.4, 100, 100, 1, 9, 10000, 5
1, 12148, 92, 98, 100, 1023870, 1044262, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 102, 122, 114, 1408146, 1321139, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 64, 89, 76, 1144829, 1023355, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 98, 130, 120, 1135868, 1033728, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 104, 132, 118, 1240217, 1104580, 0.4, 100, 100, 1, 9, 10000, 5
1, 11006, 105, 110, 113, 1020519, 1049874, 0.4, 100, 100, 1, 6, 10000, 5
1, 12093, 96, 102, 102, 1156626, 1160624, 0.4, 100, 100, 1, 8, 10000, 5
0, 13500, 110, 140, 128, 1164658, 1043825, 0.4, 100, 100, 1, 9, 10000, 5
1, 11387, 109, 117, 117, 974073, 974313, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 74, 97, 95, 1225964, 1209118, 0.4, 100, 100, 1, 9, 10000, 5
1, 11926, 114, 122, 123, 1087846, 1093507, 0.4, 100, 100, 1, 8, 10000, 5
0, 13500, 106, 136, 126, 1084385, 992074, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 124, 152, 136, 1190218, 1013696, 0.4, 100, 100, 1, 10, 10000, 5
1, 11424, 99, 105, 106, 1039810, 1050387, 0.4, 100, 100, 1, 7, 10000, 5
1, 11167, 97, 103, 105, 996659, 1016219, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 88, 118, 101, 1249170, 1080926, 0.4, 100, 100, 1, 9, 10000, 5
1, 11911, 102, 111, 112, 976716, 982996, 0.4, 100, 100, 1, 7, 10000, 5
1, 12340, 112, 118, 119, 1005041, 1012677, 0.4, 100, 100, 1, 7, 10000, 5
1, 10899, 83, 89, 91, 935381, 953640, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 114, 141, 132, 1040084, 959015, 0.4, 100, 100, 1, 9, 10000, 5
1, 11013, 113, 119, 120, 1035876, 1045050, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 79, 114, 90, 1339544, 1100866, 0.4, 100, 100, 1, 9, 10000, 5
1, 11703, 97, 103, 105, 1085165, 1107153, 0.4, 100, 100, 1, 7, 10000, 5
1, 11313, 98, 103, 103, 1086719, 1086751, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 95, 124, 115, 1002431, 923548, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 106, 130, 121, 1183769, 1099591, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 107, 131, 123, 1280969, 1188869, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 105, 126, 112, 1285726, 1142192, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 105, 132, 119, 1413626, 1258316, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 99, 130, 124, 1154104, 1089534, 0.4, 100, 100, 1, 9, 10000, 5
1, 11670, 96, 102, 105, 1078151, 1108578, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 119, 140, 132, 1262892, 1176551, 0.4, 100, 100, 1, 9, 10000, 5
1, 10957, 107, 115, 116, 1079042, 1087643, 0.4, 100, 100, 1, 7, 10000, 5
1, 11022, 98, 104, 107, 1043763, 1074059, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 101, 124, 117, 1053660, 990818, 0.4, 100, 100, 1, 9, 10000, 5
1, 12371, 85, 98, 99, 1011874, 1014634, 0.4, 100, 100, 1, 8, 10000, 5
1, 10417, 105, 110, 109, 1064974, 1065244, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 90, 108, 100, 1416114, 1328595, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 97, 115, 108, 1374042, 1296361, 0.4, 100, 100, 1, 9, 10000, 5
1, 11571, 125, 131, 132, 1102041, 1110776, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 95, 121, 103, 1243594, 1068433, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 141, 162, 147, 1409065, 1230669, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 87, 115, 103, 1211615, 1090293, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 98, 123, 122, 1318348, 1289594, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 115, 141, 124, 1450488, 1248946, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 108, 127, 119, 1322981, 1219831, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 92, 114, 100, 1336344, 1192529, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 116, 136, 131, 1377029, 1317851, 0.4, 100, 100, 1, 9, 10000, 5
1, 11460, 107, 113, 113, 1015575, 1016957, 0.4, 100, 100, 1, 7, 10000, 5
1, 11334, 97, 103, 103, 1086805, 1088071, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 112, 134, 129, 1359196, 1291321, 0.4, 100, 100, 1, 9, 10000, 5
1, 11592, 105, 111, 112, 1054741, 1064648, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 94, 113, 106, 1567960, 1482914, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 88, 109, 104, 1264606, 1209082, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 107, 128, 118, 1330889, 1228880, 0.4, 100, 100, 1, 9, 10000, 5
1, 11687, 104, 110, 112, 1023106, 1045415, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 107, 133, 119, 1090020, 954240, 0.4, 100, 100, 1, 9, 10000, 5
1, 11157, 95, 101, 101, 972886, 973199, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 121, 147, 134, 1039066, 924128, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 111, 135, 132, 1116408, 1077785, 0.4, 100, 100, 1, 9, 10000, 5
1, 11164, 109, 115, 117, 994205, 1014897, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 101, 126, 117, 1180637, 1090309, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 88, 111, 100, 1074070, 982149, 0.4, 100, 100, 1, 9, 10000, 5
1, 12487, 114, 129, 130, 1110525, 1114073, 0.4, 100, 100, 1, 8, 10000, 5
1, 12402, 81, 89, 90, 1394521, 1399938, 0.4, 100, 100, 1, 8, 10000, 5
1, 12081, 107, 115, 116, 1098257, 1106577, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 109, 134, 116, 1550864, 1299806, 0.4, 100, 100, 1, 9, 10000, 5
1, 12325, 106, 112, 122, 1146108, 1253107, 0.4, 100, 100, 1, 8, 10000, 5
0, 13500, 102, 127, 113, 1310132, 1162805, 0.4, 100, 100, 1, 9, 10000, 5
1, 11824, 124, 130, 131, 1065912, 1077172, 0.4, 100, 100, 1, 7, 10000, 5
1, 12101, 103, 109, 118, 1222850, 1325965, 0.4, 100, 100, 1, 8, 10000, 5
1, 11959, 123, 129, 133, 1218052, 1265807, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 96, 118, 112, 1075944, 1020669, 0.4, 100, 100, 1, 9, 10000, 5
1, 11186, 107, 113, 114, 1077196, 1087683, 0.4, 100, 100, 1, 6, 10000, 5
0, 13500, 115, 155, 129, 1121691, 893017, 0.4, 100, 100, 1, 9, 10000, 5
1, 11338, 104, 110, 112, 1113523, 1135344, 0.4, 100, 100, 1, 7, 10000, 5
0, 13500, 113, 145, 126, 1276586, 1076358, 0.4, 100, 100, 1, 9, 10000, 5
0, 13500, 95, 119, 109, 1365189, 1249720, 0.4, 100, 100, 1, 9, 10000, 5
