win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
0, 13500, 108, 131, 124, 1068696, 1001727, 0.44, 100, 100, 1, 14, 10000, 5
1, 12585, 98, 111, 112, 929430, 933753, 0.44, 100, 100, 1, 12, 10000, 5
0, 13500, 102, 126, 117, 1160976, 1078708, 0.44, 100, 100, 1, 14, 10000, 5
1, 11043, 88, 94, 97, 988709, 1018878, 0.44, 100, 100, 1, 9, 10000, 5
1, 11451, 119, 128, 129, 1174569, 1182597, 0.44, 100, 100, 1, 11, 10000, 5
0, 13500, 97, 119, 113, 1141054, 1085265, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 94, 115, 112, 1232461, 1189130, 0.44, 100, 100, 1, 12, 10000, 5
1, 10963, 109, 114, 114, 1036379, 1037883, 0.44, 100, 100, 1, 9, 10000, 5
1, 11702, 88, 98, 99, 1121864, 1128543, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 115, 137, 131, 1176630, 1111916, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 109, 132, 125, 1130788, 1063392, 0.44, 100, 100, 1, 15, 10000, 5
0, 13500, 72, 89, 88, 1418749, 1398251, 0.44, 100, 100, 1, 13, 10000, 5
1, 11388, 100, 106, 110, 961616, 997805, 0.44, 100, 100, 1, 10, 10000, 5
1, 10945, 86, 91, 92, 1253247, 1263427, 0.44, 100, 100, 1, 9, 10000, 5
0, 13500, 90, 109, 99, 1223454, 1120178, 0.44, 100, 100, 1, 13, 10000, 5
1, 11114, 100, 106, 106, 1136762, 1137912, 0.44, 100, 100, 1, 9, 10000, 5
1, 12502, 104, 110, 111, 1054709, 1064861, 0.44, 100, 100, 1, 12, 10000, 5
1, 10976, 112, 118, 122, 1077991, 1123724, 0.44, 100, 100, 1, 9, 10000, 5
1, 11471, 94, 100, 100, 1196030, 1196321, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 111, 134, 124, 1186187, 1084933, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 92, 122, 111, 1159085, 1056189, 0.44, 100, 100, 1, 15, 10000, 5
0, 13500, 97, 117, 111, 1105785, 1048584, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 105, 124, 120, 1364471, 1311298, 0.44, 100, 100, 1, 15, 10000, 5
1, 11193, 113, 119, 120, 1067039, 1075322, 0.44, 100, 100, 1, 10, 10000, 5
1, 11178, 113, 119, 119, 936769, 937201, 0.44, 100, 100, 1, 10, 10000, 5
1, 10984, 100, 106, 107, 1004883, 1015118, 0.44, 100, 100, 1, 11, 10000, 5
0, 13500, 114, 145, 128, 1120785, 960625, 0.44, 100, 100, 1, 14, 10000, 5
1, 11141, 98, 104, 105, 1088332, 1097901, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 85, 100, 98, 1309363, 1286615, 0.44, 100, 100, 1, 14, 10000, 5
1, 11308, 111, 117, 120, 962526, 990054, 0.44, 100, 100, 1, 11, 10000, 5
0, 13500, 91, 114, 101, 1242443, 1110576, 0.44, 100, 100, 1, 16, 10000, 5
1, 11718, 78, 85, 86, 1084419, 1092495, 0.44, 100, 100, 1, 11, 10000, 5
1, 11609, 102, 108, 108, 965313, 965801, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 114, 135, 128, 1324558, 1248023, 0.44, 100, 100, 1, 13, 10000, 5
1, 11091, 105, 111, 112, 1154346, 1164043, 0.44, 100, 100, 1, 10, 10000, 5
1, 11341, 88, 94, 96, 767289, 782466, 0.44, 100, 100, 1, 9, 10000, 5
1, 11553, 111, 119, 120, 1195012, 1204171, 0.44, 100, 100, 1, 10, 10000, 5
1, 11557, 92, 100, 101, 1168039, 1177480, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 105, 125, 117, 1200600, 1116976, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 93, 118, 104, 1343693, 1203604, 0.44, 100, 100, 1, 12, 10000, 5
0, 13500, 98, 116, 111, 1135871, 1083693, 0.44, 100, 100, 1, 13, 10000, 5
0, 13500, 100, 132, 116, 1302429, 1134124, 0.44, 100, 100, 1, 14, 10000, 5
1, 10834, 110, 116, 117, 862602, 870316, 0.44, 100, 100, 1, 9, 10000, 5
1, 12634, 108, 126, 127, 962111, 967304, 0.44, 100, 100, 1, 12, 10000, 5
0, 13500, 100, 119, 116, 1189652, 1156216, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 84, 103, 97, 1248058, 1185996, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 107, 131, 125, 1058892, 1003905, 0.44, 100, 100, 1, 13, 10000, 5
1, 11634, 117, 123, 124, 1101514, 1115297, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 120, 143, 135, 877318, 815039, 0.44, 100, 100, 1, 12, 10000, 5
1, 11582, 96, 104, 104, 987528, 995815, 0.44, 100, 100, 1, 11, 10000, 5
0, 13500, 86, 111, 105, 1255751, 1193032, 0.44, 100, 100, 1, 13, 10000, 5
1, 10753, 106, 112, 113, 1088084, 1098104, 0.44, 100, 100, 1, 8, 10000, 5
0, 13500, 98, 124, 114, 1274088, 1175001, 0.44, 100, 100, 1, 14, 10000, 5
1, 12029, 107, 114, 115, 1150217, 1157741, 0.44, 100, 100, 1, 11, 10000, 5
1, 11716, 103, 109, 115, 850118, 905212, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 116, 133, 127, 1431686, 1348917, 0.44, 100, 100, 1, 13, 10000, 5
1, 13047, 95, 108, 109, 986037, 987502, 0.44, 100, 100, 1, 13, 10000, 5
1, 11005, 103, 109, 110, 1086606, 1096425, 0.44, 100, 100, 1, 9, 10000, 5
0, 13500, 97, 126, 116, 1221443, 1123878, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 107, 123, 118, 1233078, 1177700, 0.44, 100, 100, 1, 15, 10000, 5
1, 10521, 114, 119, 119, 910701, 911204, 0.44, 100, 100, 1, 9, 10000, 5
0, 13500, 107, 129, 123, 1141262, 1081382, 0.44, 100, 100, 1, 15, 10000, 5
1, 11550, 103, 109, 109, 1064025, 1064808, 0.44, 100, 100, 1, 11, 10000, 5
1, 11031, 107, 113, 114, 830027, 837307, 0.44, 100, 100, 1, 9, 10000, 5
1, 11191, 117, 123, 124, 1037161, 1048062, 0.44, 100, 100, 1, 10, 10000, 5
1, 12299, 111, 117, 123, 999192, 1065609, 0.44, 100, 100, 1, 14, 10000, 5
0, 13500, 109, 128, 126, 1344546, 1304781, 0.44, 100, 100, 1, 15, 10000, 5
1, 11240, 100, 106, 106, 1018317, 1020623, 0.44, 100, 100, 1, 12, 10000, 5
1, 11584, 107, 113, 116, 1186912, 1221472, 0.44, 100, 100, 1, 12, 10000, 5
1, 11732, 102, 108, 112, 965809, 1005531, 0.44, 100, 100, 1, 11, 10000, 5
1, 11228, 116, 122, 125, 882316, 910553, 0.44, 100, 100, 1, 10, 10000, 5
1, 11468, 105, 111, 114, 1115693, 1151995, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 100, 126, 112, 1282747, 1141853, 0.44, 100, 100, 1, 14, 10000, 5
1, 12126, 71, 77, 82, 1001978, 1056956, 0.44, 100, 100, 1, 13, 10000, 5
0, 13500, 106, 124, 122, 1293365, 1267614, 0.44, 100, 100, 1, 14, 10000, 5
1, 11532, 91, 97, 97, 1229212, 1231243, 0.44, 100, 100, 1, 11, 10000, 5
1, 11905, 123, 128, 134, 1211462, 1270839, 0.44, 100, 100, 1, 12, 10000, 5
0, 13500, 96, 114, 111, 1245445, 1211736, 0.44, 100, 100, 1, 14, 10000, 5
1, 10899, 102, 108, 108, 1022687, 1022957, 0.44, 100, 100, 1, 9, 10000, 5
1, 11058, 90, 96, 98, 847141, 863510, 0.44, 100, 100, 1, 9, 10000, 5
1, 10899, 116, 122, 122, 1129870, 1130246, 0.44, 100, 100, 1, 10, 10000, 5
1, 11381, 111, 121, 122, 1145558, 1151813, 0.44, 100, 100, 1, 10, 10000, 5
0, 13500, 112, 138, 128, 1211186, 1109451, 0.44, 100, 100, 1, 14, 10000, 5
1, 10823, 115, 120, 121, 904311, 921318, 0.44, 100, 100, 1, 11, 10000, 5
1, 10990, 101, 107, 108, 1013780, 1024641, 0.44, 100, 100, 1, 15, 10000, 5
