win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 5294, 121, 126, 127, 291039, 294384, 0.36, 50, 100, 1, 2, 5000, 5
1, 5642, 101, 106, 107, 236093, 238027, 0.36, 50, 100, 1, 2, 5000, 5
0, 6750, 98, 122, 113, 255835, 237445, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 100, 116, 112, 337127, 325872, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 78, 108, 101, 270467, 254687, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 106, 132, 118, 346293, 308903, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 114, 141, 131, 280998, 257490, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 106, 128, 112, 380727, 333972, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 92, 114, 102, 269881, 244080, 0.36, 50, 100, 1, 3, 5000, 5
1, 5687, 119, 124, 125, 284580, 287255, 0.36, 50, 100, 1, 2, 5000, 5
0, 6750, 111, 135, 129, 307818, 288721, 0.36, 50, 100, 1, 3, 5000, 5
1, 6042, 106, 111, 111, 263832, 263961, 0.36, 50, 100, 1, 2, 5000, 5
0, 6750, 103, 129, 114, 289543, 255596, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 116, 139, 123, 319934, 277264, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 106, 130, 118, 306703, 275952, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 123, 147, 137, 305538, 278414, 0.36, 50, 100, 1, 3, 5000, 5
1, 5738, 101, 109, 110, 264763, 266715, 0.36, 50, 100, 1, 2, 5000, 5
0, 6750, 93, 117, 108, 312762, 288282, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 119, 145, 129, 295219, 252398, 0.36, 50, 100, 1, 3, 5000, 5
1, 5550, 112, 117, 119, 218625, 223195, 0.36, 50, 100, 1, 2, 5000, 5
0, 6750, 95, 117, 113, 280557, 271627, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 105, 130, 125, 286215, 272702, 0.36, 50, 100, 1, 3, 5000, 5
1, 6533, 91, 109, 110, 229966, 230576, 0.36, 50, 100, 1, 3, 5000, 5
1, 5596, 89, 95, 96, 264757, 267007, 0.36, 50, 100, 1, 2, 5000, 5
0, 6750, 103, 119, 111, 321579, 300883, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 107, 130, 122, 329886, 308132, 0.36, 50, 100, 1, 3, 5000, 5
1, 5406, 107, 112, 115, 231149, 238131, 0.36, 50, 100, 1, 2, 5000, 5
0, 6750, 96, 121, 106, 281267, 248509, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 102, 125, 122, 265399, 257660, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 101, 119, 113, 310912, 294600, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 104, 125, 117, 266421, 248102, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 94, 116, 109, 266136, 247125, 0.36, 50, 100, 1, 3, 5000, 5
0, 6750, 102, 132, 114, 311849, 265017, 0.36, 50, 100, 1, 3, 5000, 5
1, 5360, 113, 118, 120, 277888, 283494, 0.36, 50, 100, 1, 2, 5000, 5
1, 5316, 89, 94, 96, 245675, 250652, 0.36, 50, 100, 1, 2, 5000, 5
0, 6750, 91, 112, 102, 317258, 291771, 0.36, 50, 100, 1, 3, 5000, 5
