win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
0, 12000, 103, 206, 176, 206, 176, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 105, 209, 181, 209, 181, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 115, 238, 201, 238, 201, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 105, 215, 193, 215, 193, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 112, 214, 193, 214, 193, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 104, 217, 208, 217, 208, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 104, 212, 183, 212, 183, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 94, 194, 165, 194, 165, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 106, 221, 199, 221, 199, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 102, 202, 185, 202, 185, 0.4, 50, 100, 1, 8, 5000, 20
1, 7224, 98, 118, 124, 118, 124, 0.4, 50, 100, 1, 4, 5000, 20
0, 12000, 109, 228, 184, 228, 184, 0.4, 50, 100, 1, 8, 5000, 20
1, 6877, 109, 129, 130, 129, 130, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 114, 218, 187, 218, 187, 0.4, 50, 100, 1, 8, 5000, 20
1, 7212, 98, 118, 121, 118, 121, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 111, 207, 188, 207, 188, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 102, 203, 181, 203, 181, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 97, 208, 187, 208, 187, 0.4, 50, 100, 1, 8, 5000, 20
1, 8237, 100, 135, 136, 135, 136, 0.4, 50, 100, 1, 4, 5000, 20
0, 12000, 100, 210, 185, 210, 185, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 83, 201, 157, 201, 157, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 109, 221, 188, 221, 188, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 93, 213, 194, 213, 194, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 107, 219, 184, 219, 184, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 98, 218, 193, 218, 193, 0.4, 50, 100, 1, 8, 5000, 20
1, 7240, 104, 124, 133, 124, 133, 0.4, 50, 100, 1, 4, 5000, 20
0, 12000, 73, 186, 130, 186, 130, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 93, 203, 174, 203, 174, 0.4, 50, 100, 1, 10, 5000, 20
0, 12000, 101, 216, 179, 216, 179, 0.4, 50, 100, 1, 10, 5000, 20
0, 12000, 98, 231, 191, 231, 191, 0.4, 50, 100, 1, 8, 5000, 20
1, 7745, 92, 122, 123, 122, 123, 0.4, 50, 100, 1, 4, 5000, 20
0, 12000, 109, 225, 196, 225, 196, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 103, 220, 180, 220, 180, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 114, 190, 179, 190, 179, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 105, 231, 184, 231, 184, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 115, 218, 198, 218, 198, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 103, 216, 195, 216, 195, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 99, 212, 168, 212, 168, 0.4, 50, 100, 1, 9, 5000, 20
1, 7111, 112, 133, 134, 133, 134, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 114, 212, 199, 212, 199, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 105, 217, 171, 217, 171, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 111, 215, 178, 215, 178, 0.4, 50, 100, 1, 8, 5000, 20
1, 10256, 102, 156, 157, 156, 157, 0.4, 50, 100, 1, 6, 5000, 20
0, 12000, 109, 202, 184, 202, 184, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 103, 222, 196, 222, 196, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 113, 218, 178, 218, 178, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 112, 231, 180, 231, 180, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 98, 206, 174, 206, 174, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 103, 213, 205, 213, 205, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 98, 201, 183, 201, 183, 0.4, 50, 100, 1, 8, 5000, 20
1, 7375, 99, 119, 124, 119, 124, 0.4, 50, 100, 1, 4, 5000, 20
0, 12000, 104, 206, 179, 206, 179, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 101, 223, 188, 223, 188, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 109, 215, 198, 215, 198, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 101, 204, 165, 204, 165, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 92, 219, 170, 219, 170, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 110, 214, 203, 214, 203, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 117, 223, 190, 223, 190, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 112, 227, 191, 227, 191, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 100, 210, 192, 210, 192, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 106, 199, 175, 199, 175, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 106, 210, 172, 210, 172, 0.4, 50, 100, 1, 8, 5000, 20
1, 7223, 102, 123, 124, 123, 124, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 120, 233, 187, 233, 187, 0.4, 50, 100, 1, 9, 5000, 20
