win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
0, 12000, 102, 211, 169, 562297, 432607, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 96, 205, 164, 486359, 397804, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 108, 230, 194, 479376, 363479, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 100, 209, 190, 438674, 375798, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 103, 213, 184, 428879, 346804, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 96, 203, 185, 433732, 371833, 0.4, 50, 100, 1, 10, 5000, 20
0, 12000, 108, 210, 195, 436538, 385363, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 103, 211, 165, 467736, 377445, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 88, 190, 172, 440195, 384407, 0.4, 50, 100, 1, 10, 5000, 20
0, 12000, 111, 204, 189, 441005, 405447, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 97, 200, 179, 436299, 373090, 0.4, 50, 100, 1, 9, 5000, 20
1, 6660, 108, 128, 129, 314967, 320351, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 104, 218, 185, 456783, 353893, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 112, 212, 189, 437352, 387969, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 97, 218, 185, 441500, 371245, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 94, 186, 169, 486556, 429467, 0.4, 50, 100, 1, 8, 5000, 20
1, 6633, 117, 137, 138, 307605, 312124, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 85, 205, 159, 438341, 345426, 0.4, 50, 100, 1, 8, 5000, 20
1, 6517, 101, 121, 121, 238696, 239604, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 94, 204, 186, 479424, 414863, 0.4, 50, 100, 1, 8, 5000, 20
1, 7938, 112, 146, 148, 297124, 297665, 0.4, 50, 100, 1, 4, 5000, 20
0, 12000, 118, 210, 185, 577254, 496050, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 110, 204, 191, 440979, 410321, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 104, 237, 181, 474323, 344535, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 116, 208, 202, 436402, 416130, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 94, 206, 185, 464116, 398678, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 94, 212, 170, 492080, 391718, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 98, 203, 170, 468034, 393935, 0.4, 50, 100, 1, 9, 5000, 20
0, 12000, 78, 185, 159, 451660, 402347, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 104, 217, 185, 513949, 416574, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 98, 209, 171, 483032, 384368, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 105, 211, 183, 469098, 387122, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 90, 203, 163, 471132, 375810, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 111, 216, 214, 407803, 368758, 0.4, 50, 100, 1, 8, 5000, 20
1, 6964, 80, 101, 103, 307313, 309262, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 105, 208, 183, 499399, 421825, 0.4, 50, 100, 1, 8, 5000, 20
0, 12000, 94, 200, 159, 516867, 426027, 0.4, 50, 100, 1, 8, 5000, 20
1, 6983, 94, 114, 115, 318181, 323525, 0.4, 50, 100, 1, 3, 5000, 20
0, 12000, 83, 207, 168, 502971, 406254, 0.4, 50, 100, 1, 8, 5000, 20
