win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
0, 6750, 98, 120, 110, 120, 110, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 109, 130, 128, 130, 128, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 91, 114, 102, 114, 102, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 93, 112, 113, 112, 113, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 115, 134, 128, 134, 128, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 104, 124, 111, 124, 111, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 95, 124, 113, 124, 113, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 110, 145, 129, 145, 129, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 94, 119, 108, 119, 108, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 115, 136, 132, 136, 132, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 113, 137, 128, 137, 128, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 104, 126, 113, 126, 113, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 98, 117, 117, 117, 117, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 115, 135, 135, 135, 135, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 108, 125, 123, 125, 123, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 103, 126, 118, 126, 118, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 107, 128, 117, 128, 117, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 108, 123, 123, 123, 123, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 99, 128, 109, 128, 109, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 93, 121, 112, 121, 112, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 113, 137, 131, 137, 131, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 115, 132, 136, 132, 136, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 97, 115, 109, 115, 109, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 99, 124, 115, 124, 115, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 109, 131, 120, 131, 120, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 98, 120, 112, 120, 112, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 110, 132, 129, 132, 129, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 99, 125, 110, 125, 110, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 109, 122, 127, 122, 127, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 109, 137, 130, 137, 130, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 101, 123, 120, 123, 120, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 101, 123, 113, 123, 113, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 117, 132, 131, 132, 131, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 88, 97, 98, 97, 98, 0.4, 50, 100, 1, 3, 5000, 5
0, 6750, 104, 126, 117, 126, 117, 0.4, 50, 100, 1, 3, 5000, 5
