win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
1, 6769, 102, 124, 125, 227002, 227487, 0.48, 50, 100, 1, 4, 5000, 20
1, 7461, 119, 143, 145, 292159, 300319, 0.48, 50, 100, 1, 5, 5000, 20
1, 7143, 107, 130, 131, 308138, 312246, 0.48, 50, 100, 1, 5, 5000, 20
1, 7128, 111, 133, 139, 294437, 309895, 0.48, 50, 100, 1, 5, 5000, 20
1, 6890, 89, 112, 112, 269102, 271280, 0.48, 50, 100, 1, 5, 5000, 20
1, 7491, 99, 122, 126, 273871, 281947, 0.48, 50, 100, 1, 5, 5000, 20
1, 7560, 109, 132, 134, 310864, 315092, 0.48, 50, 100, 1, 6, 5000, 20
1, 9498, 112, 170, 174, 300819, 300848, 0.48, 50, 100, 1, 8, 5000, 20
1, 7307, 96, 122, 122, 302545, 304206, 0.48, 50, 100, 1, 5, 5000, 20
0, 12000, 111, 224, 201, 434419, 377065, 0.48, 50, 100, 1, 12, 5000, 20
1, 8498, 108, 142, 143, 351659, 351724, 0.48, 50, 100, 1, 7, 5000, 20
0, 12000, 76, 172, 164, 472497, 439745, 0.48, 50, 100, 1, 11, 5000, 20
0, 12000, 97, 188, 184, 397049, 372290, 0.48, 50, 100, 1, 11, 5000, 20
1, 7917, 97, 131, 133, 297635, 298216, 0.48, 50, 100, 1, 6, 5000, 20
0, 12000, 85, 205, 185, 438509, 395819, 0.48, 50, 100, 1, 12, 5000, 20
1, 7998, 107, 137, 139, 302193, 303947, 0.48, 50, 100, 1, 6, 5000, 20
0, 12000, 92, 203, 188, 431980, 399266, 0.48, 50, 100, 1, 12, 5000, 20
1, 7326, 112, 136, 137, 276018, 277129, 0.48, 50, 100, 1, 6, 5000, 20
0, 12000, 100, 208, 210, 456867, 438193, 0.48, 50, 100, 1, 13, 5000, 20
0, 12000, 103, 221, 213, 381488, 354835, 0.48, 50, 100, 1, 12, 5000, 20
1, 10436, 93, 157, 162, 340540, 341653, 0.48, 50, 100, 1, 10, 5000, 20
1, 8143, 100, 131, 133, 355460, 356487, 0.48, 50, 100, 1, 7, 5000, 20
0, 12000, 102, 208, 189, 436064, 375375, 0.48, 50, 100, 1, 12, 5000, 20
1, 6811, 95, 117, 121, 258109, 266841, 0.48, 50, 100, 1, 5, 5000, 20
0, 12000, 88, 195, 184, 440339, 399027, 0.48, 50, 100, 1, 12, 5000, 20
1, 7085, 93, 116, 119, 330465, 339477, 0.48, 50, 100, 1, 6, 5000, 20
0, 12000, 88, 184, 166, 473223, 429023, 0.48, 50, 100, 1, 13, 5000, 20
1, 6830, 116, 137, 138, 290455, 293752, 0.48, 50, 100, 1, 5, 5000, 20
0, 12000, 107, 199, 182, 490699, 444204, 0.48, 50, 100, 1, 12, 5000, 20
1, 7656, 102, 127, 129, 344423, 345719, 0.48, 50, 100, 1, 6, 5000, 20
1, 6556, 105, 126, 129, 285463, 293594, 0.48, 50, 100, 1, 5, 5000, 20
0, 12000, 108, 223, 208, 412423, 377913, 0.48, 50, 100, 1, 12, 5000, 20
0, 12000, 95, 213, 184, 428955, 348320, 0.48, 50, 100, 1, 13, 5000, 20
0, 12000, 105, 221, 206, 426716, 381285, 0.48, 50, 100, 1, 12, 5000, 20
1, 7559, 104, 130, 132, 316130, 316697, 0.48, 50, 100, 1, 5, 5000, 20
1, 8867, 103, 151, 153, 291684, 292143, 0.48, 50, 100, 1, 7, 5000, 20
1, 6957, 113, 136, 138, 288315, 288538, 0.48, 50, 100, 1, 5, 5000, 20
0, 12000, 102, 196, 175, 452609, 398822, 0.48, 50, 100, 1, 12, 5000, 20
0, 12000, 93, 199, 206, 431589, 416125, 0.48, 50, 100, 1, 13, 5000, 20
0, 12000, 111, 203, 204, 404969, 390028, 0.48, 50, 100, 1, 11, 5000, 20
0, 12000, 114, 210, 216, 434511, 428147, 0.48, 50, 100, 1, 12, 5000, 20
0, 12000, 107, 215, 186, 484652, 430002, 0.48, 50, 100, 1, 11, 5000, 20
1, 7308, 108, 131, 139, 303663, 325623, 0.48, 50, 100, 1, 6, 5000, 20
0, 12000, 101, 189, 177, 406830, 384422, 0.48, 50, 100, 1, 11, 5000, 20
0, 12000, 99, 190, 181, 414256, 387887, 0.48, 50, 100, 1, 12, 5000, 20
1, 11573, 110, 207, 217, 355282, 356091, 0.48, 50, 100, 1, 14, 5000, 20
1, 7165, 107, 130, 132, 328491, 334089, 0.48, 50, 100, 1, 6, 5000, 20
0, 12000, 114, 200, 204, 415340, 395084, 0.48, 50, 100, 1, 12, 5000, 20
0, 12000, 109, 228, 225, 411969, 390323, 0.48, 50, 100, 1, 10, 5000, 20
1, 9099, 96, 146, 149, 360750, 361956, 0.48, 50, 100, 1, 8, 5000, 20
0, 12000, 85, 190, 172, 390152, 352705, 0.48, 50, 100, 1, 11, 5000, 20
0, 12000, 96, 200, 187, 416261, 382816, 0.48, 50, 100, 1, 12, 5000, 20
0, 12000, 105, 211, 198, 464001, 421625, 0.48, 50, 100, 1, 12, 5000, 20
0, 12000, 104, 209, 203, 406927, 363879, 0.48, 50, 100, 1, 11, 5000, 20
1, 7109, 99, 122, 122, 304329, 305405, 0.48, 50, 100, 1, 4, 5000, 20
0, 12000, 107, 194, 184, 430606, 398322, 0.48, 50, 100, 1, 11, 5000, 20
0, 12000, 97, 206, 185, 416711, 365523, 0.48, 50, 100, 1, 11, 5000, 20
1, 8863, 115, 154, 157, 350126, 351921, 0.48, 50, 100, 1, 7, 5000, 20
1, 6816, 80, 103, 105, 267283, 270641, 0.48, 50, 100, 1, 4, 5000, 20
0, 12000, 107, 207, 190, 451141, 407510, 0.48, 50, 100, 1, 11, 5000, 20
1, 8785, 91, 127, 130, 356056, 356699, 0.48, 50, 100, 1, 6, 5000, 20
1, 9229, 108, 144, 148, 344348, 345556, 0.48, 50, 100, 1, 7, 5000, 20
1, 6745, 90, 111, 114, 321453, 330725, 0.48, 50, 100, 1, 4, 5000, 20
0, 12000, 94, 195, 192, 427976, 403199, 0.48, 50, 100, 1, 8, 5000, 20
0, 12000, 107, 230, 211, 405448, 349115, 0.48, 50, 100, 1, 11, 5000, 20
1, 10043, 102, 168, 175, 395630, 396140, 0.48, 50, 100, 1, 9, 5000, 20
1, 7875, 79, 116, 117, 283091, 283258, 0.48, 50, 100, 1, 5, 5000, 20
0, 12000, 99, 184, 186, 439920, 422143, 0.48, 50, 100, 1, 9, 5000, 20
1, 6869, 88, 110, 113, 276801, 284903, 0.48, 50, 100, 1, 4, 5000, 20
0, 12000, 100, 220, 196, 430590, 365672, 0.48, 50, 100, 1, 10, 5000, 20
1, 6926, 106, 129, 130, 287582, 289181, 0.48, 50, 100, 1, 4, 5000, 20
1, 7424, 100, 126, 126, 307073, 307303, 0.48, 50, 100, 1, 6, 5000, 20
1, 7501, 108, 131, 135, 279345, 289805, 0.48, 50, 100, 1, 5, 5000, 20
1, 7331, 102, 126, 129, 262308, 262979, 0.48, 50, 100, 1, 5, 5000, 20
1, 7288, 101, 125, 129, 274038, 285355, 0.48, 50, 100, 1, 6, 5000, 20
0, 12000, 100, 209, 198, 385935, 349090, 0.48, 50, 100, 1, 11, 5000, 20
0, 12000, 98, 202, 179, 447764, 392215, 0.48, 50, 100, 1, 12, 5000, 20
1, 8179, 112, 138, 144, 315072, 330697, 0.48, 50, 100, 1, 7, 5000, 20
1, 7357, 111, 134, 141, 336842, 356696, 0.48, 50, 100, 1, 6, 5000, 20
0, 12000, 77, 191, 182, 421501, 388402, 0.48, 50, 100, 1, 13, 5000, 20
1, 6589, 108, 129, 129, 308747, 309012, 0.48, 50, 100, 1, 4, 5000, 20
1, 7583, 87, 109, 111, 335052, 339943, 0.48, 50, 100, 1, 5, 5000, 20
1, 7743, 101, 125, 128, 360602, 371935, 0.48, 50, 100, 1, 6, 5000, 20
1, 7457, 98, 121, 127, 304078, 316202, 0.48, 50, 100, 1, 4, 5000, 20
1, 7236, 119, 140, 144, 268316, 277154, 0.48, 50, 100, 1, 5, 5000, 20
1, 7256, 91, 114, 124, 324017, 350468, 0.48, 50, 100, 1, 4, 5000, 20
1, 6809, 86, 108, 117, 278041, 298941, 0.48, 50, 100, 1, 5, 5000, 20
1, 7473, 107, 130, 139, 307532, 332234, 0.48, 50, 100, 1, 4, 5000, 20
1, 7675, 107, 131, 142, 277274, 300005, 0.48, 50, 100, 1, 5, 5000, 20
1, 7912, 98, 138, 140, 356705, 357752, 0.48, 50, 100, 1, 5, 5000, 20
1, 7290, 104, 127, 127, 309327, 310546, 0.48, 50, 100, 1, 4, 5000, 20
1, 7430, 99, 122, 127, 264453, 275566, 0.48, 50, 100, 1, 4, 5000, 20
1, 7298, 107, 130, 138, 308733, 326586, 0.48, 50, 100, 1, 5, 5000, 20
0, 12000, 122, 216, 202, 426651, 386566, 0.48, 50, 100, 1, 12, 5000, 20
0, 12000, 108, 215, 194, 441975, 384690, 0.48, 50, 100, 1, 12, 5000, 20
0, 12000, 88, 183, 146, 495949, 413782, 0.48, 50, 100, 1, 12, 5000, 20
1, 7740, 91, 125, 125, 304499, 305962, 0.48, 50, 100, 1, 4, 5000, 20
0, 12000, 95, 195, 195, 411033, 395555, 0.48, 50, 100, 1, 11, 5000, 20
1, 8145, 120, 167, 169, 333676, 333775, 0.48, 50, 100, 1, 6, 5000, 40
0, 12000, 108, 211, 204, 421006, 384016, 0.48, 50, 100, 1, 11, 5000, 20
0, 12000, 61, 171, 170, 433978, 416465, 0.48, 50, 100, 1, 11, 5000, 20
1, 8758, 117, 162, 168, 300396, 311715, 0.48, 50, 100, 1, 7, 5000, 40
1, 8831, 90, 137, 140, 275036, 281078, 0.48, 50, 100, 1, 7, 5000, 40
1, 9546, 102, 155, 154, 344796, 345827, 0.48, 50, 100, 1, 8, 5000, 40
1, 8581, 98, 148, 150, 317620, 317630, 0.48, 50, 100, 1, 7, 5000, 40
1, 9482, 93, 140, 146, 385658, 390892, 0.48, 50, 100, 1, 10, 5000, 40
1, 10164, 94, 146, 161, 376240, 408136, 0.48, 50, 100, 1, 9, 5000, 40
1, 10092, 113, 164, 165, 395942, 397428, 0.48, 50, 100, 1, 10, 5000, 40
0, 19000, 104, 348, 329, 645820, 589006, 0.48, 50, 100, 1, 22, 5000, 40
1, 9366, 96, 156, 157, 340024, 341527, 0.48, 50, 100, 1, 8, 5000, 40
1, 10858, 100, 180, 188, 375722, 376397, 0.48, 50, 100, 1, 11, 5000, 40
1, 13445, 113, 246, 255, 441726, 441788, 0.48, 50, 100, 1, 15, 5000, 40
0, 19000, 96, 332, 341, 625757, 620122, 0.48, 50, 100, 1, 23, 5000, 40
0, 19000, 108, 346, 338, 598396, 551415, 0.48, 50, 100, 1, 20, 5000, 40
0, 19000, 94, 335, 319, 621914, 548227, 0.48, 50, 100, 1, 23, 5000, 40
0, 19000, 113, 350, 344, 580809, 544432, 0.48, 50, 100, 1, 23, 5000, 40
0, 19000, 112, 350, 336, 643749, 591730, 0.48, 50, 100, 1, 23, 5000, 40
0, 19000, 113, 336, 337, 671880, 627054, 0.48, 50, 100, 1, 22, 5000, 40
1, 9086, 92, 140, 143, 376751, 377919, 0.48, 50, 100, 1, 8, 5000, 40
0, 19000, 99, 341, 334, 611077, 570941, 0.48, 50, 100, 1, 22, 5000, 40
0, 19000, 96, 333, 312, 622813, 556296, 0.48, 50, 100, 1, 24, 5000, 40
1, 8807, 87, 137, 146, 321872, 347098, 0.48, 50, 100, 1, 9, 5000, 40
0, 19000, 97, 347, 336, 613362, 563961, 0.48, 50, 100, 1, 23, 5000, 40
0, 19000, 88, 336, 335, 581609, 573198, 0.48, 50, 100, 1, 24, 5000, 40
0, 19000, 98, 333, 331, 621513, 578541, 0.48, 50, 100, 1, 24, 5000, 40
1, 9404, 115, 168, 169, 314859, 316303, 0.48, 50, 100, 1, 9, 5000, 40
0, 19000, 95, 346, 348, 578381, 547110, 0.48, 50, 100, 1, 24, 5000, 40
1, 9117, 92, 142, 144, 366837, 367158, 0.48, 50, 100, 1, 8, 5000, 40
1, 9962, 93, 146, 158, 366723, 394768, 0.48, 50, 100, 1, 9, 5000, 40
1, 9629, 109, 164, 170, 297842, 321399, 0.48, 50, 100, 1, 9, 5000, 40
0, 19000, 122, 350, 344, 623651, 586453, 0.48, 50, 100, 1, 23, 5000, 40
1, 9326, 90, 140, 140, 333711, 340603, 0.48, 50, 100, 1, 9, 5000, 40
0, 19000, 109, 350, 348, 586585, 538583, 0.48, 50, 100, 1, 23, 5000, 40
0, 19000, 106, 359, 353, 606125, 533878, 0.48, 50, 100, 1, 27, 5000, 40
1, 8805, 101, 148, 151, 294729, 297990, 0.48, 50, 100, 1, 8, 5000, 40
0, 19000, 94, 330, 332, 646338, 620580, 0.48, 50, 100, 1, 24, 5000, 40
0, 19000, 96, 338, 331, 632436, 567275, 0.48, 50, 100, 1, 24, 5000, 40
1, 9490, 82, 136, 138, 400629, 402141, 0.48, 50, 100, 1, 9, 5000, 40
0, 19000, 84, 332, 326, 627044, 541930, 0.48, 50, 100, 1, 26, 5000, 40
0, 19000, 93, 315, 317, 615249, 587058, 0.48, 50, 100, 1, 23, 5000, 40
1, 9070, 98, 147, 152, 318113, 329401, 0.48, 50, 100, 1, 8, 5000, 40
1, 9189, 82, 132, 139, 352812, 363370, 0.48, 50, 100, 1, 8, 5000, 40
1, 14524, 101, 244, 254, 490191, 490859, 0.48, 50, 100, 1, 16, 5000, 40
1, 8781, 99, 148, 159, 316368, 347603, 0.48, 50, 100, 1, 10, 5000, 40
1, 9262, 95, 147, 148, 365957, 366697, 0.48, 50, 100, 1, 8, 5000, 40
0, 19000, 92, 318, 320, 632420, 587016, 0.48, 50, 100, 1, 23, 5000, 40
1, 9533, 115, 167, 169, 353599, 358436, 0.48, 50, 100, 1, 9, 5000, 40
1, 9962, 103, 166, 172, 364157, 364720, 0.48, 50, 100, 1, 9, 5000, 40
1, 8710, 93, 141, 142, 293518, 294597, 0.48, 50, 100, 1, 7, 5000, 40
1, 15550, 104, 267, 275, 491343, 491891, 0.48, 50, 100, 1, 18, 5000, 40
0, 19000, 104, 332, 327, 676425, 634873, 0.48, 50, 100, 1, 23, 5000, 40
0, 19000, 97, 347, 343, 580242, 536088, 0.48, 50, 100, 1, 23, 5000, 40
1, 9747, 92, 145, 147, 375805, 387732, 0.48, 50, 100, 1, 9, 5000, 40
1, 8843, 92, 139, 145, 313517, 319836, 0.48, 50, 100, 1, 8, 5000, 40
0, 19000, 104, 344, 334, 567604, 549485, 0.48, 50, 100, 1, 23, 5000, 40
1, 9925, 95, 151, 158, 337422, 365849, 0.48, 50, 100, 1, 9, 5000, 40
1, 8449, 105, 151, 156, 295357, 305092, 0.48, 50, 100, 1, 8, 5000, 40
