,kls=results&ty=por&q=0.4&ds=1.25&daa=20&scale=0.125,kls=results&ty=por&q=0.4&ds=2.5&daa=20&scale=0.25,kls=results&ty=por&q=0.4&ds=5&daa=20&scale=0.5,kls=results&ty=por&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=por&q=0.4&ds=20&daa=20&scale=2,kls=results&ty=trad&q=0.4&ds=10&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=10.0&daa=0&scale=1
0.1,,,,,,,0.8
0.125,0.8424444444444444,,,,,,
0.2,,,,,,,0.7040000000000001
0.25,0.6103333333333333,0.7016666666666667,,,,,
0.3,,,,,,,0.6348800000000001
0.375,0.4832222222222222,,,,,,
0.4,,,,,,,0.5795840000000001
0.5,0.402,0.5190555555555556,0.5160555555555556,,,,0.5331353600000002
0.6,,,,,,,0.49300373504000006
0.625,0.3332222222222222,,,,,,
0.7,,,,,,,0.4576879050752001
0.75,0.2902222222222222,0.40644444444444444,,,,,
0.8,,,,,,,0.4262063652208641
0.875,0.245,,,,,,
0.9,,,,,,,0.39787297935196175
1.0,,0.3312222222222222,0.3441666666666667,0.32055555555555554,,0.31772222222222224,0.3721840428308235
1.1,,,,,,,0.34875573272354554
1.125,0.195,,,,,,
1.2,,,,,,,0.32728688127978534
1.25,,0.282,,,,,
1.3,,,,,,,0.3075355379515259
1.375,0.14666666666666667,,,,,,
1.4,,,,,,,0.2893035287254403
1.5,,0.2411111111111111,0.2554444444444444,,,,0.27242589732757816
1.6,,,,,,,0.25676345539036216
1.625,0.12066666666666667,,,,,,
1.7,,,,,,,0.24219738438875127
1.75,,0.19922222222222222,,,,,
1.8,,,,,,,0.22862523352607378
1.875,0.09988888888888889,,,,,,
1.9,,,,,,,0.21595789272090815
2.0,,,0.197,0.15461111111111112,0.12877777777777777,0.13033333333333333,0.20411726257881646
2.1,,,,,,,0.19303443276581878
2.125,0.08333333333333333,,,,,,
2.2,,,,,,,0.18264823796963792
2.25,,0.15555555555555556,,,,,
2.3,,,,,,,0.1729040988517665
2.375,0.06833333333333333,,,,,,
2.4,,,,,,,0.16375308124541765
2.5,,,0.1592222222222222,,,,0.15515112469544978
2.6,,,,,,,0.14705840397324
2.625,0.059111111111111114,,,,,,
2.7,,,,,,,0.13943879615479016
2.75,,0.11222222222222222,,,,,
2.8,,,,,,,0.13225943234362847
2.9,,,,,,,0.12549031789310472
3.0,,,0.12688888888888888,0.09911111111111111,,0.059666666666666666,0.11910400853564496
3.1,,,,,,,0.11307533250220303
3.2,,,,,,,0.1073811507519069
3.25,,0.096,,,,,
3.3,,,,,,,0.10200014899787702
3.4,,,,,,,0.09691265643043057
3.5,,,0.10077777777777777,,,,0.0921004869901636
3.6,,,,,,,0.08754679979411673
3.7,,,,,,,0.08323597591519227
3.75,0.037,0.073,,,,,
3.8,,,,,,,0.07915350919309738
3.9,,,,,,,0.07528590914058642
4.0,,,,0.06533333333333333,0.035111111111111114,0.026555555555555554,0.07162061432159139
4.1,,,,,,,0.0681459148331841
4.2,,,,,,,0.06485088273295792
4.25,,0.062,,,,,
4.3,,,,,,,0.06172530942645771
4.4,,,,,,,0.05875964917284815
4.5,,,0.07211111111111111,,,,0.055944967986695016
4.6,,,,,,,0.053272897313973666
4.7,,,,,,,0.050735591944746083
4.75,,0.053,,,,,
4.8,,,,,,,0.04832569169618617
4.9,,,,,,,0.0460362864600542
5.0,,,,0.04577777777777778,,0.012777777777777779,0.04386088426017043
5.1,,,,,,,0.04179338200940097
5.2,,,,,,,0.039828038693375256
5.25,0.020444444444444446,0.04611111111111111,,,,,
5.3,,,,,,,0.03795945074060014
5.4,,,,,,,0.03618252936664046
5.5,,,0.052333333333333336,,,,0.034492479704296475
5.6,,,,,,,0.03288478155277219
5.7,,,,,,,0.031355171597179154
5.8,,,,,,,0.029899626965751658
5.9,,,,,,,0.028514350006186073
6.0,,,,0.02988888888888889,0.020444444444444446,0.0057777777777777775,0.027195754174843767
6.1,,,,,,,0.0259404509434058
6.2,,,,,,,0.02474523763714498
6.3,,,,,,,0.023607086127441
6.4,,,,,,,0.02252313230867542
6.5,,,0.04111111111111111,,,,0.021490666296301142
6.6,,,,,,,0.020507123288820872
6.7,,,,,,,0.01957007504169428
6.8,,,,,,,0.01867722190592469
6.9,,,,,,,0.01782638538830894
7.0,,,,0.02022222222222222,,0.003,0.01701550119412909
7.1,,,,,,,0.016242612716476423
7.2,,,,,,,0.015505864939469038
7.3,,,,,,,0.014803498725388664
7.4,,,,,,,0.014133845458265348
7.5,0.012666666666666666,0.025444444444444443,0.027444444444444445,,,,0.013495322018694855
7.6,,,,,,,0.012886426066720524
7.7,,,,,,,0.012305731611469084
7.8,,,,,,,0.011751884847915006
7.9,,,,,,,0.011223600242678877
8.0,,,,,0.009111111111111111,,0.010719656852165027
8.1,,,,,,,0.010238894857614755
8.2,,,,,,,0.009780212302814228
8.3,,,,,,,0.00934256202125816
8.4,,,,,,,0.008924948740544503
8.5,,,0.02822222222222222,,,,0.00852642635266343
8.6,,,,,,,0.008146095339664372
8.7,,,,,,,0.007783100344932348
8.8,,,,,,,0.007436627880994973
8.9,,,,,,,0.007105904165418453
9.0,,,,0.013222222222222222,,0.0005555555555555556,0.0067901930769309615
9.1,,,,,,,0.006488794224454919
9.2,,,,,,,0.006201041122222861
9.3,,,,,,,0.005926299464613538
9.4,,,,,,,0.005663965494767109
9.5,,,0.02288888888888889,,,,0.005413464461432871
9.6,,,,,,,0.005174249158863664
9.7,,,,,,,0.004945798544910063
9.8,,,,,,,0.0047276164327795245
9.9,,,,,,,0.004519230252214013
10.0,,,,,0.004888888888888889,,0.00432018987611027
10.5,,0.01622222222222222,0.015,,,,0.00345085633961828
11.0,,,,0.009555555555555555,,0.00044444444444444447,0.0027587628763555694
11.5,,,,,,,0.002207172587041506
12.0,,,,,0.003111111111111111,,0.00176712394987244
12.5,,,,,,,0.001415740909477048
13.0,,,,0.006333333333333333,,0.0,0.0011349227686801022
13.5,,,,,,,0.0009103248881473514
14.0,,,,,0.0022222222222222222,,0.0007305631342682251
14.5,,,,,,,0.0005865912152678288
15.0,,0.009111111111111111,0.009555555555555555,0.004666666666666667,,0.00011111111111111112,0.0004712121112164791
15.5,,,,,,,0.00037869385764488506
16.0,,,,,,,0.00030446678158646545
16.5,,,,,,,0.00024488448520232353
