,kls=results&ty=por&q=0.4&ds=1.25&daa=20&scale=0.25,kls=results&ty=por&q=0.4&ds=2.5&daa=20&scale=0.5,kls=results&ty=por&q=0.4&ds=5.0&daa=20&scale=1,kls=results&ty=por&q=0.4&ds=10.0&daa=20&scale=2,kls=results&ty=por&q=0.4&ds=20.0&daa=20&scale=4,kls=results&ty=trad&q=0.4&ds=5.0&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=5.0&daa=0&scale=1
0.2,,,,,,,0.8
0.25,0.8424444444444444,,,,,,
0.4,,,,,,,0.7040000000000001
0.5,0.6103333333333333,0.7016666666666667,,,,,
0.6,,,,,,,0.6348800000000001
0.75,0.4832222222222222,,,,,,
0.8,,,,,,,0.5795840000000001
1.0,0.402,0.5190555555555556,0.5160555555555556,,,0.5183333333333333,0.5331353600000002
1.2,,,,,,,0.49300373504000006
1.25,0.3332222222222222,,,,,,
1.4,,,,,,,0.4576879050752001
1.5,0.2902222222222222,0.40644444444444444,,,,,
1.6,,,,,,,0.4262063652208641
1.75,0.245,,,,,,
1.8,,,,,,,0.39787297935196175
2.0,,0.3312222222222222,0.3441666666666667,0.32055555555555554,,0.3174444444444444,0.3721840428308235
2.2,,,,,,,0.34875573272354554
2.25,0.195,,,,,,
2.4,,,,,,,0.32728688127978534
2.5,,0.282,,,,,
2.6,,,,,,,0.3075355379515259
2.75,0.14666666666666667,,,,,,
2.8,,,,,,,0.2893035287254403
3.0,,0.2411111111111111,0.2554444444444444,,,0.1981111111111111,0.27242589732757816
3.2,,,,,,,0.25676345539036216
3.25,0.12066666666666667,,,,,,
3.4,,,,,,,0.24219738438875127
3.5,,0.19922222222222222,,,,,
3.6,,,,,,,0.22862523352607378
3.75,0.09988888888888889,,,,,,
3.8,,,,,,,0.21595789272090815
4.0,,,0.197,0.15461111111111112,0.12877777777777777,0.12677777777777777,0.20411726257881646
4.2,,,,,,,0.19303443276581878
4.25,0.08333333333333333,,,,,,
4.4,,,,,,,0.18264823796963792
4.5,,0.15555555555555556,,,,,
4.6,,,,,,,0.1729040988517665
4.75,0.06833333333333333,,,,,,
4.8,,,,,,,0.16375308124541765
5.0,,,0.1592222222222222,,,0.08911111111111111,0.15515112469544978
5.2,,,,,,,0.14705840397324
5.25,0.059111111111111114,,,,,,
5.4,,,,,,,0.13943879615479016
5.5,,0.11222222222222222,,,,,
5.6,,,,,,,0.13225943234362847
5.8,,,,,,,0.12549031789310472
6.0,,,0.12688888888888888,0.09911111111111111,,0.05388888888888889,0.11910400853564496
6.2,,,,,,,0.11307533250220303
6.4,,,,,,,0.1073811507519069
6.5,,0.096,,,,,
6.6,,,,,,,0.10200014899787702
6.8,,,,,,,0.09691265643043057
7.0,,,0.10077777777777777,,,0.03855555555555556,0.0921004869901636
7.2,,,,,,,0.08754679979411673
7.4,,,,,,,0.08323597591519227
7.5,0.037,0.073,,,,,
7.6,,,,,,,0.07915350919309738
7.8,,,,,,,0.07528590914058642
8.0,,,,0.06533333333333333,0.035111111111111114,,0.07162061432159139
8.2,,,,,,,0.0681459148331841
8.4,,,,,,,0.06485088273295792
8.5,,0.062,,,,,
8.6,,,,,,,0.06172530942645771
8.8,,,,,,,0.05875964917284815
9.0,,,0.07211111111111111,,,0.019333333333333334,0.055944967986695016
9.2,,,,,,,0.053272897313973666
9.4,,,,,,,0.050735591944746083
9.5,,0.053,,,,,
9.6,,,,,,,0.04832569169618617
9.8,,,,,,,0.0460362864600542
10.0,,,,0.04577777777777778,,,0.04386088426017043
10.2,,,,,,,0.04179338200940097
10.4,,,,,,,0.039828038693375256
10.5,0.020444444444444446,0.04611111111111111,,,,,
10.6,,,,,,,0.03795945074060014
