,kls=results&ty=por&q=0.48&ds=5&daa=20&scale=1,kls=results&ty=por&q=0.48&ds=10&daa=20&scale=2,kls=results&ty=por&q=0.48&ds=20&daa=20&scale=4,kls=results&ty=trad&q=0.48&ds=5&daa=20&scale=1,kls=analytical&ty=trad&q=0.48&ds=5&daa=0&scale=1
0.2,,,,,0.96
0.4,,,,,0.940032
0.6,,,,,0.9250799616
0.8,,,,,0.9126398656511999
1.0,0.8392,,,0.8352777777777778,0.9017721978303282
1.2,,,,,0.8920069462332058
1.4,,,,,0.8830697879715192
1.6,,,,,0.8747842762207992
1.8,,,,,0.8670290372221252
2.0,0.7682,0.7524,,0.7568888888888889,0.8597163638623089
2.2,,,,,0.8527804394339903
2.4,,,,,0.8461703773460858
2.6,,,,,0.8398458699403788
2.8,,,,,0.8337743428309
3.0,0.7156,,,0.7546666666666667,0.8279290234743001
3.2,,,,,0.8222875888568584
3.4,,,,,0.8168311932948689
3.6,,,,,0.8115437534166341
3.8,,,,,0.8064114117748274
4.0,0.6998,0.6837,0.7303,0.7358888888888889,0.8014221274032052
4.2,,,,,0.796565358424493
4.4,,,,,0.7918318126130124
4.6,,,,,0.787213248932516
4.8,,,,,0.7827023178664868
5.0,0.6662,,,0.7077777777777777,0.7782924316563367
5.2,,,,,0.773977657871967
5.4,,,,,0.7697526313823124
5.6,,,,,0.7656124809803609
5.8,,,,,0.7615527677862188
6.0,0.6398,0.6428,,0.687,0.7575694331961706
6.2,,,,,0.753658754629045
6.4,,,,,0.7498173076876496
6.6,,,,,0.7460419336336462
6.8,,,,,0.7423297112910916
7.0,0.6174,,,0.6791111111111111,0.7386779326629146
7.2,,,,,0.7350840816774337
7.4,,,,,0.7315458155871949
7.6,,,,,0.7280609486262747
7.8,,,,,0.7246274375995154
8.0,,0.6056,0.6265,,0.7212433691315415
8.2,,,,,0.7179069483475967
8.4,,,,,0.7146164887943536
8.6,,,,,0.7113704034385142
8.8,,,,,0.7081671966055149
9.0,0.5818,,,0.627,0.7050054567409717
9.2,,,,,0.7018838498944425
9.4,,,,,0.6988011138392545
9.6,,,,,0.6957560527540685
9.8,,,,,0.6927475324019048
10.0,,0.5676,,,0.6897744757508719
10.2,,,,,0.6868358589880845
10.4,,,,,0.683930707884431
10.6,,,,,0.6810580944731385
10.8,,,,,0.6782171340096232
11.0,0.5436,,,0.5835555555555556,0.6754069821840234
11.2,,,,,0.672626832561187
11.4,,,,,0.6698759142258136
11.6,,,,,0.6671534896129877
11.8,,,,,0.6644588525065547
12.0,,0.5306,0.574,,0.6617913261897215
12.2,,,,,0.6591502617339511
12.4,,,,,0.6565350364137087
12.6,,,,,0.653945052235912
12.8,,,,,0.6513797345740943
13.0,0.5112,,,0.5526666666666666,0.6488385308982977
13.2,,,,,0.6463209095926125
13.4,,,,,0.6438263588530739
13.6,,,,,0.6413543856593331
13.8,,,,,0.6389045148141483
14.0,,0.538,,,0.6364762880452999
14.2,,,,,0.6340692631650391
14.4,,,,,0.6316830132826179
14.6,,,,,0.6293171260658601
14.8,,,,,0.6269712030480821
15.0,0.5016,,,0.5213333333333333,0.6246448589770037
15.2,,,,,0.6223377212025762
15.4,,,,,0.6200494291009168
15.6,,,,,0.6177796335317777
15.8,,,,,0.6155279963271917
16.0,,,0.5306,,0.6132941898091271
16.2,,,,,0.6110778963341641
16.4,,,,,0.6088788078633622
16.6,,,,,0.6066966255556336
16.8,,,,,0.6045310593830674
17.0,0.4596,,,0.4872222222222222,0.6023818277667743
17.2,,,,,0.6002486572319242
17.4,,,,,0.5981312820807556
17.6,,,,,0.5960294440824203
17.8,,,,,0.5939428921786183
18.0,,0.463,,,0.5918713822040464
18.2,,,,,0.5898146766207596
18.4,,,,,0.5877725442656057
18.6,,,,,0.5857447601099559
18.8,,,,,0.5837311050310034
19.0,0.4568,,,0.4568888888888889,0.5817313655939584
19.2,,,,,0.579745333844507
19.4,,,,,0.5777728071109518
19.6,,,,,0.5758135878154838
19.8,,,,,0.5738674832940751
20.0,,,0.4792,,0.5719343056245177
21.0,0.426,,,0.4498888888888889,0.5624560546048447
22.0,,0.441,,,0.5532752450267192
23.0,,,,,0.5443728551095336
24.0,,,0.4314,,0.5357318582910916
25.0,,,,,0.5273369376182384
26.0,,0.4146,,,0.5191742509012167
27.0,,,,,0.511231235999835
28.0,,,0.408,,0.5034964481475686
29.0,,,,,0.4959594230829354
30.0,0.368,0.4036,,0.3512222222222222,0.48861056114237367
31.0,,,,,0.4814410285100317
32.0,,,,,0.4744426726110008
33.0,,,,,0.46760794924155036
34.0,,0.3608,,,0.46092985949999243
35.0,,,,,0.45440189494892
36.0,,,0.3622,,0.44801798972857476
37.0,,,,,0.44177247857033175
38.0,,0.331,,,0.43566005984238443
39.0,,,,,0.42967576290692977
40.0,,,,,0.423814919187263
41.0,,,,,0.4180731364401211
42.0,0.3026,0.32,,0.26066666666666666,0.41244627580794746
43.0,,,,,0.4069304312910099
44.0,,,0.3222,,0.40152191133327075
45.0,,,,,0.39621722226073186
46.0,,,,,0.3910130533483972
52.0,,,0.2754,,
60.0,0.2256,0.262,0.2614,0.17022222222222222,
68.0,,,0.2288,,
76.0,,,0.2076,,
84.0,,,0.1986,,
120.0,,,0.1342,,
