,kls=results&ty=por&q=0.4&ds=1&daa=100&scale=1,kls=results&ty=por&q=0.4&ds=1.25&daa=100&scale=1.25,kls=results&ty=por&q=0.4&ds=1.5&daa=100&scale=1.5,kls=results&ty=por&q=0.4&ds=1.75&daa=100&scale=1.75,kls=results&ty=por&q=0.4&ds=1.9&daa=100&scale=1.9,kls=results&ty=por&q=0.4&ds=2&daa=100&scale=2.0,kls=results&ty=por&q=0.4&ds=2.25&daa=100&scale=2.25,kls=results&ty=por&q=0.4&ds=2.5&daa=100&scale=2.5,kls=results&ty=por&q=0.4&ds=2.75&daa=100&scale=2.75,kls=results&ty=por&q=0.4&ds=2.9&daa=100&scale=2.9,kls=results&ty=por&q=0.4&ds=3&daa=100&scale=3.0,kls=results&ty=trad&q=0.4&ds=1&daa=100&scale=1,kls=results&ty=trad&q=0.4&ds=3&daa=100&scale=3.0,kls=analytical&ty=trad&q=0.4&ds=1&daa=0&scale=1
1.0,0.846,,,,,,,,,,,0.8472727272727273,,0.8
1.25,,0.846,,,,,,,,,,,,
1.5,,,0.863,,,,,,,,,,,
1.75,,,,0.8415,,,,,,,,,,
1.9,,,,,0.8415,,,,,,,,,
2.0,0.6275,,,,,0.764,,,,,,0.7545454545454545,,0.7040000000000001
2.25,,,,,,,0.7195,,,,,,,
2.5,,0.6244444444444445,,,,,,0.7381111111111112,,,,,,
2.75,,,,,,,,,0.7315,,,,,
2.9,,,,,,,,,,0.706,,,,
3.0,0.488,,0.611,,,,,,,,0.686,0.6863636363636364,0.6786363636363636,0.6348800000000001
3.5,,,,0.599,,,,,,,,,,
3.75,,0.4981111111111111,,,,,,,,,,,,
3.8,,,,,0.586,,,,,,,,,
4.0,0.412,,,,,0.567,,,,,,0.6118181818181818,,0.5795840000000001
4.5,,,0.471,,,,0.551,,,,,,,
5.0,0.34,0.39755555555555555,,,,,,0.5332777777777777,,,,0.5618181818181818,,0.5331353600000002
5.25,,,,0.451,,,,,,,,,,
5.5,,,,,,,,,0.502,,,,,
5.699999999999999,,,,,0.446,,,,,,,,,
5.8,,,,,,,,,,0.483,,,,
6.0,0.283,,0.381,,,0.419,,,,,0.4915,0.48818181818181816,0.5186363636363637,0.49300373504000006
6.25,,0.3378888888888889,,,,,,,,,,,,
6.75,,,,,,,0.405,,,,,,,
7.0,0.242,,,0.384,,,,,,,,0.44272727272727275,,0.4576879050752001
7.5,,0.28633333333333333,0.312,,,,,0.4063333333333333,,,,,,
7.6,,,,,0.364,,,,,,,,,
8.0,,,,,,0.358,,,,,,,,0.4262063652208641
8.25,,,,,,,,,0.38,,,,,
8.7,,,,,,,,,,0.38,,,,
8.75,,0.243,,0.31,,,,,,,,,,
9.0,0.211,,0.265,,,,0.344,,,,0.398,0.38727272727272727,0.4009090909090909,0.39787297935196175
9.5,,,,,0.303,,,,,,,,,
10.0,,,,,,0.288,,0.329,,,,,,0.3721840428308235
10.5,,,0.246,0.258,,,,,,,,,,
11.0,0.149,,,,,,,,0.32,,,0.34545454545454546,,0.34875573272354554
11.25,,0.18222222222222223,,,,,0.285,,,,,,,
11.399999999999999,,,,,0.246,,,,,,,,,
11.6,,,,,,,,,,0.305,,,,
12.0,,,,,,0.245,,,,,0.302,,0.32545454545454544,0.32728688127978534
12.25,,,,0.227,,,,,,,,,,
12.5,,,,,,,,0.2723333333333333,,,,,,
13.0,0.121,,,,,,,,,,,0.2772727272727273,,0.3075355379515259
13.299999999999999,,,,,0.204,,,,,,,,,
13.5,,,0.169,,,,0.237,,,,,,,
13.75,,0.14255555555555555,,,,,,,0.25,,,,,
14.0,,,,,,0.236,,,,,,,,0.2893035287254403
14.5,,,,,,,,,,0.226,,,,
15.0,0.101,,,,,,,0.2238888888888889,,,0.24,0.2636363636363636,0.2509090909090909,0.27242589732757816
15.75,,,,0.153,,,0.197,,,,,,,
16.0,,,,,,,,,,,,,,0.25676345539036216
16.25,,0.11822222222222223,,,,,,,,,,,,
16.5,,,0.158,,,,,,0.222,,,,,
17.0,0.079,,,,,,,,,,,0.23,,0.24219738438875127
17.099999999999998,,,,,0.158,,,,,,,,,
17.4,,,,,,,,,,0.224,,,,
17.5,,,,,,,,0.19566666666666666,,,,,,
18.0,,,,,,0.175,,,,,0.19,,0.1990909090909091,0.22862523352607378
18.75,,0.08744444444444445,,,,,,,,,,,,
19.0,0.077,,,,,,,,,,,0.18454545454545454,,0.21595789272090815
19.25,,,,0.123,,,,,0.182,,,,,
19.5,,,0.1,,,,,,,,,,,
20.0,,,,,,,,,,,,,,0.20411726257881646
20.25,,,,,,,0.152,,,,,,,
20.3,,,,,,,,,,0.184,,,,
20.9,,,,,0.142,,,,,,,,,
21.0,0.053,,,,,,,,,,0.165,0.1618181818181818,0.17363636363636364,0.19303443276581878
21.25,,0.07677777777777778,,,,,,,,,,,,
22.0,,,,,,0.109,,,,,,,,0.18264823796963792
22.5,,,0.094,,,,,0.13766666666666666,,,,,,
22.75,,,,0.116,,,,,,,,,,
23.0,,,,,,,,,,,,,,0.1729040988517665
23.75,,0.065,,,,,,,,,,,,
24.0,,,,,,,,,,,,,,0.16375308124541765
24.7,,,,,0.097,,,,,,,,,
24.75,,,,,,,0.135,,0.136,,,,,
25.0,,,,,,,,,,,,,,0.15515112469544978
25.5,,,0.081,,,,,,,,,,,
26.0,,,,,,0.113,,,,,,,,0.14705840397324
26.099999999999998,,,,,,,,,,0.134,,,,
26.25,,0.05677777777777778,,0.096,,,,,,,,,,
27.0,,,,,,,,,,,0.141,,0.11090909090909092,0.13943879615479016
27.5,,,,,,,,0.11333333333333333,,,,,,
28.0,,,,,,,,,,,,,,0.13225943234362847
28.5,,,0.06,,0.083,,,,,,,,,
29.0,,,,,,,,,,,,,,0.12549031789310472
29.25,,,,,,,0.081,,,,,,,
29.75,,,,0.07,,,,,,,,,,
30.0,0.042,,,,,0.101,,,,,,0.09181818181818181,,0.11910400853564496
30.25,,,,,,,,,0.111,,,,,
31.0,,,,,,,,,,,,,,0.11307533250220303
31.5,,,0.047,,,,,,,,,,,
31.9,,,,,,,,,,0.09,,,,
32.0,,,,,,,,,,,,,,0.1073811507519069
32.3,,,,,0.071,,,,,,,,,
32.5,,,,,,,,0.08722222222222223,,,,,,
33.0,,,,,,,,,,,0.081,,0.06363636363636363,0.10200014899787702
33.25,,,,0.057,,,,,,,,,,
33.75,,,,,,,0.072,,,,,,,
34.0,,,,,,0.059,,,,,,,,0.09691265643043057
35.0,,,,,,,,,,,,,,0.0921004869901636
35.75,,,,,,,,,0.083,,,,,
36.0,,,,,,,,,,,,,,0.08754679979411673
36.1,,,,,0.069,,,,,,,,,
36.75,,,,0.056,,,,,,,,,,
37.0,,,,,,,,,,,,,,0.08323597591519227
37.5,,0.028666666666666667,,,,,,0.0661111111111111,,,,,,
37.699999999999996,,,,,,,,,,0.094,,,,
38.0,,,,,,0.061,,,,,,,,0.07915350919309738
38.25,,,,,,,0.064,,,,,,,
39.0,,,,,,,,,,,0.065,,0.05454545454545454,0.07528590914058642
39.9,,,,,0.042,,,,,,,,,
40.0,,,,,,,,,,,,,,0.07162061432159139
41.0,,,,,,,,,,,,,,0.0681459148331841
41.25,,,,,,,,,0.066,,,,,
42.0,0.019,,,,,0.033,,,,,,0.03909090909090909,,0.06485088273295792
42.5,,,,,,,,0.05577777777777778,,,,,,
42.75,,,,,,,0.063,,,,,,,
43.0,,,,,,,,,,,,,,0.06172530942645771
43.5,,,,,,,,,,0.067,,,,
44.0,,,,,,,,,,,,,,0.05875964917284815
45.0,,,0.026,,,,,,,,0.054,,0.02909090909090909,0.055944967986695016
46.0,,,,,,,,,,,,,,0.053272897313973666
46.75,,,,,,,,,0.059,,,,,
47.0,,,,,,,,,,,,,,0.050735591944746083
47.25,,,,,,,0.05,,,,,,,
47.5,,,,,,,,0.04733333333333333,,,,,,
48.0,,,,,,,,,,,,,,0.04832569169618617
49.0,,,,,,,,,,,,,,0.0460362864600542
49.3,,,,,,,,,,0.056,,,,
50.0,,,,,,,,,,,,,,0.04386088426017043
51.0,,,,,,,,,,,0.041,,0.02181818181818182,0.04179338200940097
52.0,,,,,,,,,,,,,,0.039828038693375256
52.25,,,,,,,,,0.037,,,,,
52.5,,0.016444444444444446,,0.027,,,,0.04111111111111111,,,,,,
53.0,,,,,,,,,,,,,,0.03795945074060014
54.0,,,,,,,,,,,,,,0.03618252936664046
55.0,,,,,,,,,,,,,,0.034492479704296475
55.1,,,,,,,,,,0.058,,,,
56.0,,,,,,,,,,,,,,0.03288478155277219
57.0,,,,,0.023,,,,,,0.041,,0.01818181818181818,0.031355171597179154
57.75,,,,,,,,,0.033,,,,,
58.0,,,,,,,,,,,,,,0.029899626965751658
59.0,,,,,,,,,,,,,,0.028514350006186073
60.0,0.009,,,,,0.031,,,,,,0.00909090909090909,,0.027195754174843767
60.9,,,,,,,,,,0.03,,,,
61.0,,,,,,,,,,,,,,0.0259404509434058
62.0,,,,,,,,,,,,,,0.02474523763714498
63.0,,,0.017,,,,,,,,0.032,,0.005454545454545455,0.023607086127441
64.0,,,,,,,,,,,,,,0.02252313230867542
65.0,,,,,,,,,,,,,,0.021490666296301142
66.0,,,,,,,,,,,,,,0.020507123288820872
67.0,,,,,,,,,,,,,,0.01957007504169428
67.5,,,,,,,0.008,,,,,,,
68.0,,,,,,,,,,,,,,0.01867722190592469
69.0,,,,,,,,,,,,,,0.01782638538830894
70.0,,,,,,,,,,,,,,0.01701550119412909
71.0,,,,,,,,,,,,,,0.016242612716476423
72.0,,,,,,,,,,,,,,0.015505864939469038
73.0,,,,,,,,,,,,,,0.014803498725388664
