,kls=results&ty=por&q=0.48&ds=1.0&daa=100&scale=1,kls=results&ty=por&q=0.48&ds=1.25&daa=100&scale=1.25,kls=results&ty=por&q=0.48&ds=1.5&daa=100&scale=1.5,kls=results&ty=por&q=0.48&ds=1.75&daa=100&scale=1.75,kls=results&ty=por&q=0.48&ds=1.9&daa=100&scale=1.9,kls=results&ty=por&q=0.48&ds=2.0&daa=100&scale=2.0,kls=results&ty=por&q=0.48&ds=2.25&daa=100&scale=2.25,kls=results&ty=por&q=0.48&ds=2.5&daa=100&scale=2.5,kls=results&ty=por&q=0.48&ds=2.75&daa=100&scale=2.75,kls=results&ty=por&q=0.48&ds=2.9&daa=100&scale=2.9,kls=results&ty=por&q=0.48&ds=3.0&daa=100&scale=3.0,kls=results&ty=trad&q=0.48&ds=1.0&daa=100&scale=1,kls=results&ty=trad&q=0.48&ds=3.0&daa=100&scale=3.0,kls=analytical&ty=trad&q=0.48&ds=1.0&daa=0&scale=1
1.0,0.949,,,,,,,,,,,0.9431818181818182,,0.96
1.25,,0.9517777777777777,,,,,,,,,,,,
1.5,,,0.9615,,,,,,,,,,,
1.75,,,,0.953,,,,,,,,,,
1.9,,,,,0.947,,,,,,,,,
2.0,0.8915,,,,,0.924,,,,,,0.9340909090909091,,0.940032
2.25,,,,,,,0.9185,,,,,,,
2.5,,0.8842777777777778,,,,,,0.9118333333333334,,,,,,
2.75,,,,,,,,,0.9005,,,,,
2.9,,,,,,,,,,0.9065,,,,
3.0,0.833,,0.8775,,,,,,,,0.886,0.8754545454545455,0.885,0.9250799616
3.5,,,,0.869,,,,,,,,,,
3.75,,0.8462222222222222,,,,,,,,,,,,
3.8,,,,,0.867,,,,,,,,,
4.0,0.824,,,,,0.861,,,,,,0.8754545454545455,,0.9126398656511999
4.5,,,0.829,,,,0.8535,,,,,,,
5.0,0.779,0.8044444444444444,,,,,,0.8509444444444444,,,,0.8418181818181818,,0.9017721978303282
5.25,,,,0.805,,,,,,,,,,
5.5,,,,,,,,,0.8375,,,,,
5.699999999999999,,,,,0.839,,,,,,,,,
5.8,,,,,,,,,,0.831,,,,
6.0,0.761,,0.789,,,0.837,,,,,0.835,0.8163636363636364,0.8172727272727273,0.8920069462332058
6.25,,0.7746666666666666,,,,,,,,,,,,
