,kls=results&ty=por&q=0.48&ds=5&daa=100&scale=1,kls=results&ty=por&q=0.48&ds=10&daa=100&scale=2,kls=results&ty=por&q=0.48&ds=20&daa=100&scale=4,kls=results&ty=trad&q=0.48&ds=5&daa=100&scale=1,kls=analytical&ty=trad&q=0.48&ds=5&daa=0&scale=1
1.0,0.8473333333333334,,,0.8432777777777778,0.9017721978303282
2.0,0.7946111111111112,0.7760555555555556,,0.7723333333333333,0.8597163638623089
3.0,0.7511111111111111,,,0.7561111111111111,0.8279290234743001
4.0,0.7192222222222222,0.6999444444444445,0.7329444444444444,0.7284444444444444,0.8014221274032052
5.0,0.6868888888888889,,,0.7054444444444444,0.7782924316563367
6.0,0.6656666666666666,0.6702222222222223,,0.6901111111111111,0.7575694331961706
7.0,0.6347777777777778,,,0.6576666666666666,0.7386779326629146
8.0,,0.6263333333333333,0.6394444444444445,,0.7212433691315415
9.0,0.6017777777777777,,,0.6168888888888889,0.7050054567409717
10.0,,0.5948888888888889,,,0.6897744757508719
11.0,0.5604444444444444,,,0.5817777777777777,0.6754069821840234
12.0,,0.5684444444444444,0.5897777777777777,,0.6617913261897215
13.0,0.5324444444444445,,,0.5376666666666666,0.6488385308982977
14.0,,0.5377777777777778,,,0.6364762880452999
15.0,0.5064444444444445,,,0.5166666666666667,0.6246448589770037
16.0,,,0.5321111111111111,,0.6132941898091271
17.0,0.4761111111111111,,,0.48088888888888887,0.6023818277667743
18.0,,0.5038888888888889,,,0.5918713822040464
19.0,0.4562222222222222,,,0.4638888888888889,0.5817313655939584
20.0,,,0.5043333333333333,,0.5719343056245177
21.0,0.44155555555555553,,,0.4428888888888889,0.5624560546048447
22.0,,0.4557777777777778,,,0.5532752450267192
23.0,,,,,0.5443728551095336
24.0,,,0.4613333333333333,,0.5357318582910916
25.0,,,,,0.5273369376182384
26.0,,0.435,,,0.5191742509012167
27.0,,,,,0.511231235999835
28.0,,,0.42877777777777776,,0.5034964481475686
29.0,,,,,0.4959594230829354
30.0,0.363,0.4001111111111111,,0.35744444444444445,0.48861056114237367
31.0,,,,,0.4814410285100317
34.0,,0.3768888888888889,,,
36.0,,,0.38711111111111113,,
38.0,,0.35,,,
42.0,,0.33566666666666667,,,
44.0,,,0.33266666666666667,,
45.0,0.2773333333333333,,,,
52.0,,,0.31366666666666665,,
60.0,0.21088888888888888,0.25766666666666665,0.26966666666666667,,
68.0,,,0.25633333333333336,,
76.0,,,0.2301111111111111,,
84.0,,,0.21611111111111111,,
120.0,,,0.1468888888888889,,
