,kls=results&ty=por&q=0.48&ds=2.0&daa=500&scale=0.2,kls=results&ty=por&q=0.48&ds=5.0&daa=500&scale=0.5,kls=results&ty=por&q=0.48&ds=10.0&daa=500&scale=1,kls=results&ty=por&q=0.48&ds=13.0&daa=500&scale=1.3,kls=results&ty=por&q=0.48&ds=16.0&daa=500&scale=1.6,kls=results&ty=por&q=0.48&ds=20.0&daa=500&scale=2.0,kls=analytical&ty=trad&q=0.48&ds=10.0&daa=0&scale=1
0.1,,,,,,,0.96
0.2,0.799,,,,,,0.940032
0.3,,,,,,,0.9250799616
0.4,0.6696666666666666,,,,,,0.9126398656511999
0.5,,0.6896666666666667,,,,,0.9017721978303282
0.6,,,,,,,0.8920069462332058
0.6000000000000001,0.5726666666666667,,,,,,
0.7,,,,,,,0.8830697879715192
0.8,0.5576666666666666,,,,,,0.8747842762207992
0.9,,,,,,,0.8670290372221252
1.0,0.507,0.5366666666666666,0.5766666666666667,,,,0.8597163638623089
1.1,,,,,,,0.8527804394339903
1.2,,,,,,,0.8461703773460858
1.2000000000000002,0.4806666666666667,,,,,,
1.3,,,,0.5653333333333334,,,0.8398458699403788
1.4,,,,,,,0.8337743428309
1.4000000000000001,0.456,,,,,,
1.5,,0.48333333333333334,,,,,0.8279290234743001
1.6,0.41633333333333333,,,,0.574,,0.8222875888568584
1.7,,,,,,,0.8168311932948689
1.8,,,,,,,0.8115437534166341
1.9,,,,,,,0.8064114117748274
2.0,,0.431,0.43966666666666665,,,0.5973333333333334,0.8014221274032052
2.1,,,,,,,0.796565358424493
2.2,0.39,,,,,,0.7918318126130124
2.3,,,,,,,0.787213248932516
2.4,,,,,,,0.7827023178664868
2.5,,0.39766666666666667,,,,,0.7782924316563367
2.6,,,,0.44633333333333336,,,0.773977657871967
2.7,,,,,,,0.7697526313823124
2.8,,,,,,,0.7656124809803609
2.9,,,,,,,0.7615527677862188
3.0,,0.394,0.36533333333333334,,,,0.7575694331961706
3.1,,,,,,,0.753658754629045
3.2,0.32666666666666666,,,,0.45266666666666666,,0.7498173076876496
3.3,,,,,,,0.7460419336336462
3.4,,,,,,,0.7423297112910916
3.5,,0.36666666666666664,,,,,0.7386779326629146
3.6,,,,,,,0.7350840816774337
3.7,,,,,,,0.7315458155871949
3.8,,,,,,,0.7280609486262747
