,kls=results&ty=por&q=0.3333333&ds=1.0&daa=500&scale=1.0,kls=results&ty=por&q=0.3333333&ds=1.41&daa=500&scale=1.41,kls=results&ty=por&q=0.3333333&ds=2.0&daa=500&scale=2.0,kls=results&ty=por&q=0.3333333&ds=3.0&daa=500&scale=3.0,kls=results&ty=por&q=0.3333333&ds=4.0&daa=500&scale=4.0,kls=results&ty=por&q=0.3333333&ds=5.0&daa=500&scale=5.0,kls=results&ty=por&q=0.3333333&ds=6.0&daa=500&scale=6.0,kls=results&ty=por&q=0.3333333&ds=7.0&daa=500&scale=7.0,kls=results&ty=por&q=0.3333333&ds=9.0&daa=500&scale=9.0,kls=results&ty=por&q=0.3333333&ds=15.0&daa=500&scale=15.0,kls=results&ty=por&q=0.3333333&ds=20.0&daa=500&scale=20.0,kls=results&ty=por&q=0.3333333&ds=30.0&daa=500&scale=30.0,kls=results&ty=por&q=0.3333333&ds=45.0&daa=500&scale=45.0,kls=results&ty=por&q=0.3333333&ds=60.0&daa=500&scale=60.0,kls=analytical&ty=trad&q=0.3333333&ds=1.0&daa=0&scale=1
1.0,0.717,,,,,,,,,,,,,,0.6666666
1.41,,0.712,,,,,,,,,,,,,
2.0,0.437,,0.581,,,,,,,,,,,,0.5185184296296319
2.82,,0.396,,,,,,,,,,,,,
3.0,0.292,,,0.436,,,,,,,,,,,0.4197529876543259
4.0,0.183,,0.356,,0.337,,,,,,,,,,0.34659340466393085
4.2299999999999995,,0.271,,,,,,,,,,,,,
5.0,0.134,,,,,0.283,,,,,,,,,0.2896915096276077
5.64,,0.191,,,,,,,,,,,,,
6.0,0.11,,0.23,0.258,,,0.224,,,,,,,,0.24416999587462518
7.0,0.098,,,,,,,0.183,,,,,,,0.207078393930479
7.05,,0.126,,,,,,,,,,,,,
8.0,0.094,,0.164,,0.166,,,,,,,,,,0.1764631049676627
8.459999999999999,,0.111,,,,,,,,,,,,,
9.0,,,,0.153,,,,,0.15,,,,,,0.15095036544095297
9.87,,0.078,,,,,,,,,,,,,
10.0,,,0.105,,,0.114,,,,,,,,,0.129532264193139
11.0,0.05,,,,,,,,,,,,,,0.11144586848819371
11.28,,0.071,,,,,,,,,,,,,
12.0,,,0.104,0.099,0.112,,0.083,,,,,,,,0.09609983653614795
13.0,,,,,,,,,,,,,,,0.08302729145284737
14.0,,,0.065,,,,,0.066,,,,,,,0.07185417655569082
15.0,,,,0.079,,0.073,,,,0.053,,,,,0.062277221408404415
15.51,,0.037,,,,,,,,,,,,,
16.0,0.025,,0.052,,0.071,,,,,,,,,,0.05404813443404233
17.0,,,,,,,,,,,,,,,0.04696197656042744
18.0,,,,0.05,,,0.049,,0.031,,,,,,0.040848428896711586
19.0,,,,,,,,,,,,,,,0.035565116365073424
20.0,,,,,0.046,0.034,,,,,0.018,,,,0.03099242504585742
21.0,,,,0.031,,,,0.039,,,,,,,0.027029426100686926
22.0,,,0.028,,,,,,,,,,,,0.023590633537134642
22.56,,0.02,,,,,,,,,,,,,
23.0,0.015,,,,,,,,,,,,,,0.020603399742400552
24.0,,,,0.036,0.039,,0.035,,,,,,,,0.018005805268163644
25.0,,,,,,0.023,,,,,,,,,0.015744936116593444
26.0,,,,,,,,,,,,,,,0.013775467976365752
27.0,,,,,,,,,0.01,,,,,,0.012058495837400485
28.0,,,,,0.025,,,0.011,,,,,,,0.010560561371307009
29.0,,,,,,,,,,,,,,,0.009252840871055823
30.0,,,,,,0.019,0.021,,,0.006,,0.006,,,0.008110464399219586
31.0,,,,,,,,,,,,,,,0.007111942792281445
32.0,0.009,,0.013,,0.031,,,,,,,,,,0.006238683796184863
32.43,,0.007,,,,,,,,,,,,,
33.0,,,,0.013,,,,,,,,,,,0.00547458221280539
34.0,,,,,,,,,,,,,,,0.0048056717692184225
35.0,,,,,,0.02,,0.005,,,,,,,0.004219828664911551
36.0,,,,,,,0.008,,0.003,,,,,,0.0037065185420415148
37.0,,,,,,,,,,,,,,,0.003256580061775871
38.0,,,,,,,,,,,,,,,0.002862039432140806
39.0,,,,,,,,,,,,,,,0.0025159511778354293
40.0,,,,,,0.017,,,,,0.0,,,,0.00221226121488316
41.0,,,,,,,,,,,,,,,0.0019456889273979927
42.0,,,,,,,0.01,0.003,,,,,,,0.0017116254671629694
43.0,,,,,,,,,,,,,,,0.0015060459303573026
44.0,,,,,0.007,,,,,,,,,,0.0013254334264319878
45.0,,,,,,,,,0.004,0.0,,,0.001,,0.001166713355160942
45.12,,0.003,,,,,,,,,,,,,
46.0,,,0.005,,,,,,,,,,,,0.0010271964599825045
47.0,,,,,,,,,,,,,,,0.0009045294375047419
48.0,,,,0.006,,,0.002,,,,,,,,0.0007966520614289818
49.0,,,,,,,,0.002,,,,,,,0.0007017599298104749
50.0,,,,,,,,,,,,,,,0.0006182720721528145
51.0,,,,,,,,,,,,,,,0.0005448027610874817
52.0,,,,,,,,,,,,,,,0.00048013696547466456
53.0,,,,,,,,,,,,,,,0.00042320896021741383
54.0,,,,,,,,,0.003,,,,,,0.00037308367507582485
55.0,,,,,,0.009,,,,,,,,,0.00032894042205544594
