 >> RESULTS (N=9000; 1/B_f=3000) <<

| PoR length | Avg. # of L-blocks mined | Group Size | Predicted Equiv (to GrpSz=1): $\text{Avg.} \cdot \text{Group Size}$ |
|-----|--------|-----|--------|
|   1 |   0.99 |   1 |   0.99 |
|   2 |   3.02 |   1 |   3.02 |
|   3 |   5.02 |   1 |   5.02 |
|   5 |   9.07 |   1 |   9.07 |
|   7 |  13.00 |   1 |  13.00 |
|   9 |  16.98 |   1 |  16.98 |
|  11 |  21.05 |   1 |  21.05 |
|-----|--------|-----|--------|
|   1 |   0.10 |  10 |   1.02 |
|   2 |   0.30 |  10 |   2.96 |
|   3 |   0.50 |  10 |   4.96 |
|   5 |   0.89 |  10 |   8.92 |
|   7 |   1.31 |  10 |  13.08 |
|   9 |   1.71 |  10 |  17.10 |
|  11 |   2.10 |  10 |  21.04 |
|-----|--------|-----|--------|
|   1 |   0.03 |  32 |   1.06 |
|   2 |   0.09 |  32 |   3.03 |
|   3 |   0.15 |  32 |   4.92 |
|   5 |   0.29 |  32 |   9.21 |
|   7 |   0.40 |  32 |  12.93 |
|   9 |   0.51 |  32 |  16.41 |
|  11 |   0.66 |  32 |  21.04 |
|-----|--------|-----|--------|
|   1 |   0.01 |  81 |   0.95 |
|   2 |   0.04 |  81 |   3.08 |
|   3 |   0.06 |  81 |   5.07 |
|   5 |   0.11 |  81 |   9.19 |
|   7 |   0.16 |  81 |  13.15 |
|   9 |   0.22 |  81 |  18.20 |
|  11 |   0.26 |  81 |  21.16 |
|-----|--------|-----|--------|
|   1 |   0.01 | 100 |   1.16 |
|   2 |   0.03 | 100 |   3.10 |
|   3 |   0.05 | 100 |   4.91 |
|   5 |   0.10 | 100 |   9.79 |
|   7 |   0.14 | 100 |  13.56 |
|   9 |   0.17 | 100 |  16.55 |
|  11 |   0.21 | 100 |  21.24 |
|-----|--------|-----|--------|
|   1 |   0.00 | 351 |   1.36 |
|   2 |   0.01 | 351 |   2.88 |
|   3 |   0.02 | 351 |   5.95 |
|   5 |   0.03 | 351 |   9.10 |
|   7 |   0.04 | 351 |  12.92 |
|   9 |   0.05 | 351 |  18.40 |
|  11 |   0.07 | 351 |  23.85 |


---------------------------------------------------


 >> RESULTS (N=9000; 1/B_f=3000) <<

| PoR length | Avg. # of L-blocks mined | Group Size | Predicted Equiv (to GrpSz=1): $\text{Avg.} \cdot \text{Group Size}$ |
|-----|--------|-----|--------|
|   1 |   0.99 |   1 |   0.99 |
|   2 |   2.99 |   1 |   2.99 |
|   3 |   5.00 |   1 |   5.00 |
|   5 |   8.96 |   1 |   8.96 |
|   7 |  12.95 |   1 |  12.95 |
|   9 |  17.08 |   1 |  17.08 |
|  11 |  21.11 |   1 |  21.11 |
|-----|--------|-----|--------|
|   1 |   0.49 |   2 |   0.98 |
|   2 |   1.50 |   2 |   2.99 |
|   3 |   2.51 |   2 |   5.03 |
|   5 |   4.49 |   2 |   8.99 |
|   7 |   6.42 |   2 |  12.84 |
|   9 |   8.49 |   2 |  16.98 |
|  11 |  10.53 |   2 |  21.07 |
|-----|--------|-----|--------|
|   1 |   0.10 |  10 |   1.03 |
|   2 |   0.30 |  10 |   3.05 |
|   3 |   0.50 |  10 |   5.00 |
|   5 |   0.91 |  10 |   9.09 |
|   7 |   1.31 |  10 |  13.06 |
|   9 |   1.69 |  10 |  16.90 |
|  11 |   2.12 |  10 |  21.20 |
|-----|--------|-----|--------|
|   1 |   0.03 |  32 |   0.98 |
|   2 |   0.10 |  32 |   3.09 |
|   3 |   0.15 |  32 |   4.69 |
|   5 |   0.28 |  32 |   8.82 |
|   7 |   0.41 |  32 |  13.18 |
|   9 |   0.54 |  32 |  17.32 |
|  11 |   0.67 |  32 |  21.43 |
|-----|--------|-----|--------|
|   1 |   0.01 |  81 |   0.99 |
|   2 |   0.04 |  81 |   3.00 |
|   3 |   0.06 |  81 |   5.20 |
|   5 |   0.11 |  81 |   8.91 |
|   7 |   0.16 |  81 |  13.10 |
|   9 |   0.20 |  81 |  16.57 |
|  11 |   0.27 |  81 |  22.11 |
|-----|--------|-----|--------|
|   1 |   0.01 | 100 |   1.05 |
|   2 |   0.03 | 100 |   3.40 |
|   3 |   0.05 | 100 |   5.07 |
|   5 |   0.09 | 100 |   9.42 |
|   7 |   0.13 | 100 |  12.58 |
|   9 |   0.16 | 100 |  16.40 |
|  11 |   0.21 | 100 |  21.29 |
|-----|--------|-----|--------|
|   1 |   0.00 | 351 |   0.93 |
|   2 |   0.01 | 351 |   3.27 |
|   3 |   0.02 | 351 |   5.49 |
|   5 |   0.03 | 351 |   9.30 |
|   7 |   0.04 | 351 |  12.88 |
|   9 |   0.05 | 351 |  17.74 |
|  11 |   0.06 | 351 |  22.57 |
