$k$ (B/s),PoRs TPS2,PoRTs TPS2,HOPoRs TPS2,HOPoRTs TPS2,OP TPS2,OPT TPS2,HO TPS2,HOT TPS2
100,20.057142857142853,29.781818181818178,33.042857142857144,52.36363636363636,31.88775510204082,51.65289256198346,83.70535714285714,213.06818181818178
200,161.01904761904763,237.1515151515151,264.3714285714286,419.57575757575756,255.10204081632656,413.22314049586765,669.6428571428571,1704.5454545454543
300,543.7571428571429,800.0000000000001,892.8000000000001,1415.9090909090908,860.9693877551022,1394.6280991735537,2260.0446428571427,5752.840909090908
400,1288.4380952380955,1897.2121212121208,2116.4,3356.6060606060605,2040.8163265306125,3305.7851239669412,5357.142857142857,13636.363636363634
500,2517.3333333333335,3704.999999999999,4133.428571428572,6555.757575757575,3985.9693877551026,6456.611570247933,10463.169642857143,26633.522727272724
600,4350.057142857143,6403.090909090908,7142.400000000001,11328.545454545454,6887.755102040817,11157.02479338843,18080.35714285714,46022.727272727265
700,6906.9,10167.39393939394,11342.5,17989.363636363636,10937.500000000002,17716.94214876033,28710.9375,73082.38636363635
800,10311.428571428572,15177.696969696966,16931.2,26852.848484848484,16326.5306122449,26446.28099173553,42857.142857142855,109090.90909090907
900,14681.44285714286,21610.09090909091,24106.757142857146,38234.181818181816,23246.173469387755,37654.95867768594,61021.205357142855,155326.70454545453
1000,20138.666666666668,29643.939393939392,33068.14285714286,52446.96969696969,31887.75510204082,51652.89256198346,83705.35714285714,213068.1818181818
1100,26805.84761904763,39455.99999999999,44014.45714285715,69807.66666666666,42442.602040816324,68749.99999999999,111411.83035714287,283593.74999999994
1200,34800.45714285714,51224.727272727265,57142.80000000001,90628.36363636363,55102.04081632654,89256.19834710743,144642.85714285713,368181.8181818181
1300,44245.99523809524,65128.03030303029,72651.42857142858,115227.27272727272,70057.39795918368,113481.40495867768,183900.66964285716,468110.79545454535
1400,55263.13333333333,81342.96969696968,90740,143914.9090909091,87500.00000000001,141735.53719008263,229687.5,584659.0909090908
1500,67969.64285714286,100049.09090909091,111607.07142857143,177010.45454545453,107621.17346938777,174328.5123966942,282505.58035714284,719105.1136363636
1600,82491.42857142858,121421.57575757573,135449.6,214824.24242424237,130612.2448979592,211570.24793388424,342857.14285714284,872727.2727272726
1700,98945.82857142857,145642.0909090909,162465.84285714285,257674.66666666663,156664.54081632657,253770.6611570248,411244.4196428572,1046803.9772727273
1800,117451.54285714288,172883.45454545453,192856.37142857144,305873.45454545453,185969.38775510204,301239.66942148755,488169.64285714284,1242613.6363636362
1900,138137.50952380954,203329.9393939394,226818.74285714288,359737.36363636365,218718.11224489802,354287.19008264464,574135.0446428572,1461434.659090909
2000,161116.4761904762,237151.51515151514,264550,419579.99999999994,255102.04081632657,413223.1404958677,669642.8571428572,1704545.4545454544
2100,186510.8,274535.5454545454,306248.4000000001,485715.99999999994,295312.5,478357.43801652885,775195.3125,1973224.4318181816
2200,214446.78095238103,315648.66666666657,352115.6571428572,558461.3333333333,339540.8163265306,549999.9999999999,891294.642857143,2268749.9999999995
2300,245037.61904761908,360681.8181818181,402347.87142857147,637331.393939394,387978.3163265307,628460.7438016529,1018443.080357143,2592400.568181818
2400,278408.5714285715,409798.5454545454,457142.4000000001,720896,440816.3265306123,714049.5867768595,1157142.857142857,2945454.545454545
2500,314681.78571428574,463191.66666666657,516697.5,809115.1515151515,498246.17346938775,807076.4462809917,1307896.205357143,3329190.3409090904
2600,353971.8,521024.2424242423,581216.2571428572,901988.8484848484,560459.1836734695,907851.2396694215,1471205.3571428573,3744886.363636363
2700,396407.3142857144,583488,650892.8571428572,999517.0909090908,627646.6836734695,1016683.8842975206,1647572.5446428573,4193821.0227272725
2800,442105.06666666665,650747.9999999999,725811.2,1101699.8787878787,700000.0000000001,1133884.297520661,1837500,4677272.727272727
2900,491181.56190476206,722993.7272727273,804761.6,1208537.212121212,777710.4591836736,1259762.3966942148,2041489.9553571432,5196519.886363636
3000,543769.5714285716,800392.7272727273,887369.1428571428,1320029.090909091,860969.3877551021,1394628.0991735535,2260044.6428571427,5752840.909090909
3100,599979.1666666669,883131.7575757577,973633.8285714287,1436175.515151515,949968.112244898,1538791.3223140496,2493666.2946428573,6347514.204545454
3200,659931.4285714286,971381.3333333333,1063555.657142857,1556976.484848485,1044897.9591836736,1692561.983471074,2742857.1428571427,6981818.181818181
3300,723757.8857142857,1065324.9999999998,1157134.6285714286,1685692.8000000003,1145950.2551020407,1856250,3008119.4196428573,7657031.25
3400,791566.6285714286,1165136.7272727273,1254370.7428571428,1821830.0363636366,1253316.3265306125,2030165.2892561983,3289955.3571428577,8374431.818181818
3500,863483.8333333334,1270996.3636363635,1355264,1965075,1367187.5,2214617.7685950412,3588867.1875000005,9135298.295454545
3600,939634.8000000002,1383081.8181818181,1459814.4,2115587.781818182,1487755.1020408163,2409917.3553719004,3905357.1428571427,9940909.09090909
3700,1020129.9952380953,1501568.7575757573,1568021.942857143,2273561.1999999997,1615210.4591836736,2616373.9669421487,4239927.455357143,10792542.613636361
3800,1105100.0761904763,1626639.5151515151,1680612.4285714286,2439168.1818181816,1749744.8979591841,2834297.520661157,4593080.357142857,11691477.272727272
3900,1194662.8571428573,1758465.090909091,1800103.5000000002,2612586.6,1891549.7448979595,3063997.9338842975,4965318.080357144,12638991.477272728
4000,1288931.8095238097,1896572.121212121,1925100.0000000002,2794005.818181818,2040816.3265306125,3305785.1239669416,5357142.857142857,13636363.636363635
4100,1388042.7,2039404.6060606055,2055725.357142857,2983588.6363636362,2197735.9693877553,3559969.0082644625,5769056.919642857,14684872.159090908
4200,1492104.6000000003,2186891.6363636362,2192110,3181535.89090909,2362500,3826859.5041322308,6201562.5,15785795.454545453
4300,1601235.638095238,2339033.212121212,2334375.8095238092,3388007.5272727273,2535299.7448979598,4106766.5289256196,6655161.830357144,16940411.931818184
4400,1715574.2476190482,2495829.333333333,2482641.3333333335,3603193.6,2716326.5306122447,4399999.999999999,7130357.142857144,18149999.999999996
4500,1835222.5714285716,2657279.9999999995,2637030.0000000005,3827272.0909090913,2905771.68367347,4706869.834710744,7627650.669642857,19415838.068181816
