k, N1, "N1 w/o PoRs", T1
100.0,9.0,8.928571428571429,462.59999999999997
133.0,12.0,11.875,818.4000000000001
167.0,15.0,14.910714285714286,1290.0
200.0,19.0,17.857142857142858,1850.6000000000001
233.0,22.0,20.803571428571427,2512.4
267.0,25.0,23.839285714285715,3300.0
300.0,28.0,26.785714285714285,4166.400000000001
333.0,31.0,29.732142857142858,5133.6
367.0,34.0,32.767857142857146,6235.6
400.0,37.0,35.714285714285715,7407.4
433.0,40.0,38.660714285714285,8680.0
467.0,43.0,41.69642857142857,10096.4
500.0,46.0,44.642857142857146,11573.6
533.0,49.0,47.589285714285715,13151.599999999999
567.0,53.0,50.625,14882.400000000001
600.0,56.0,53.57142857142857,16665.600000000002
633.0,59.0,56.517857142857146,18549.600000000002
667.0,62.0,59.55357142857143,20596.4
700.0,65.0,62.5,22685.0
733.0,68.0,65.44642857142857,24874.4
767.0,71.0,68.48214285714286,27235.600000000002
800.0,74.0,71.42857142857143,29629.6
833.0,77.0,74.375,32124.400000000005
867.0,80.0,77.41071428571429,34800.0
900.0,83.0,80.35714285714286,37499.4
933.0,86.0,83.30357142857143,40299.6
967.0,90.0,86.33928571428571,43290.0
1000.0,93.0,89.28571428571429,46295.4
1033.0,96.0,92.23214285714286,49401.600000000006
1067.0,99.0,95.26785714285714,52707.6
1100.0,102.0,98.21428571428571,56018.4
1133.0,105.0,101.16071428571429,59430.0
1167.0,108.0,104.19642857142857,63050.399999999994
1200.0,111.0,107.14285714285714,66666.6
1233.0,114.0,110.08928571428571,70383.59999999999
1267.0,117.0,113.125,74318.40000000001
1300.0,120.0,116.07142857142857,78240.0
1333.0,123.0,119.01785714285714,82262.40000000001
1367.0,127.0,122.05357142857143,86512.40000000001
1400.0,130.0,125.0,90740.0
1433.0,133.0,127.94642857142857,95068.4
1467.0,136.0,130.98214285714286,99633.6
1500.0,139.0,133.92857142857142,104166.6
1533.0,142.0,136.875,108800.40000000001
1567.0,145.0,139.91071428571428,113680.0
1600.0,148.0,142.85714285714286,118518.4
1633.0,151.0,145.80357142857142,123457.6
1667.0,154.0,148.83928571428572,128651.60000000002
1700.0,157.0,151.78571428571428,133795.4
1733.0,160.0,154.73214285714286,139040.0
1767.0,164.0,157.76785714285714,144549.6
1800.0,167.0,160.71428571428572,149999.4
1833.0,170.0,163.66071428571428,155550.0
1867.0,173.0,166.69642857142858,161374.4
1900.0,176.0,169.64285714285714,167129.6
1933.0,179.0,172.58928571428572,172985.6
1967.0,182.0,175.625,179124.4
2000.0,185.0,178.57142857142858,185185.0
2033.0,188.0,181.51785714285714,191346.4
2067.0,191.0,184.55357142857142,197799.60000000003
2100.0,194.0,187.5,204165.6
2133.0,197.0,190.44642857142858,210632.40000000002
2167.0,201.0,193.48214285714286,217401.59999999998
2200.0,204.0,196.42857142857142,224073.6
2233.0,207.0,199.375,230846.40000000002
2267.0,210.0,202.41071428571428,237930.0
2300.0,213.0,205.35714285714286,244907.4
2333.0,216.0,208.30357142857142,251985.59999999998
2367.0,219.0,211.33928571428572,259383.6
2400.0,222.0,214.28571428571428,266666.4
2433.0,225.0,217.23214285714286,274050.0
2467.0,228.0,220.26785714285714,281762.39999999997
2500.0,231.0,223.21428571428572,289350.6
2533.0,235.0,226.16071428571428,297040.0
2567.0,238.0,229.19642857142858,305068.39999999997
2600.0,241.0,232.14285714285714,312962.6
2633.0,244.0,235.08928571428572,320957.60000000003
2667.0,247.0,238.125,329300.4
2700.0,250.0,241.07142857142858,337500.0
2733.0,253.0,244.01785714285714,345800.39999999997
2767.0,256.0,247.05357142857142,354457.6
2800.0,256.0,250.0,362905.6
2833.0,256.0,252.94642857142858,371353.6
2867.0,256.0,255.98214285714286,380057.6
2900.0,256.0,258.92857142857144,388505.6
2933.0,256.0,261.875,396953.6
2967.0,256.0,264.9107142857143,405657.6
3000.0,256.0,267.85714285714283,414105.6
3033.0,256.0,270.80357142857144,422553.6
3067.0,256.0,273.8392857142857,431257.6
3100.0,256.0,276.7857142857143,439705.6
3133.0,256.0,279.73214285714283,448153.6
3167.0,256.0,282.76785714285717,456857.6
3200.0,256.0,285.7142857142857,465305.6
3233.0,256.0,288.6607142857143,473753.6
3267.0,256.0,291.69642857142856,482457.6
3300.0,256.0,294.64285714285717,490905.6
3333.0,256.0,297.5892857142857,499353.6
3367.0,256.0,300.625,508057.6
3400.0,256.0,303.57142857142856,516505.6
3433.0,256.0,306.51785714285717,524953.6
3467.0,256.0,309.55357142857144,533657.6
3500.0,256.0,312.5,542105.6
3533.0,256.0,315.44642857142856,550553.6
3567.0,256.0,318.48214285714283,559257.6
3600.0,256.0,321.42857142857144,567705.6
3633.0,256.0,324.375,576153.6
3667.0,256.0,327.4107142857143,584857.6
3700.0,256.0,330.35714285714283,593305.6
3733.0,256.0,333.30357142857144,601753.6
3767.0,256.0,336.3392857142857,610457.6
3800.0,267.0,339.2857142857143,619173.0
3833.0,269.0,342.23214285714283,628025.3333333333
3867.0,271.0,345.26785714285717,637211.3333333333
3900.0,273.0,348.2142857142857,646191.0
3933.0,275.0,351.1607142857143,655233.3333333334
3967.0,277.0,354.19642857142856,664615.3333333334
4000.0,279.0,357.14285714285717,673785.0
4033.0,281.0,360.0892857142857,683017.3333333334
4067.0,283.0,363.125,692595.3333333333
4100.0,285.0,366.07142857142856,701955.0
4133.0,286.0,369.01785714285717,711377.3333333334
4167.0,288.0,372.05357142857144,721152.0
4200.0,290.0,375.0,730703.3333333334
4233.0,292.0,377.94642857142856,740317.3333333334
4267.0,294.0,380.98214285714283,750288.0
4300.0,296.0,383.92857142857144,760029.3333333333
4333.0,298.0,386.875,769833.3333333334
4367.0,300.0,389.9107142857143,780000.0
4400.0,302.0,392.85714285714283,789931.3333333334
4433.0,304.0,395.80357142857144,799925.3333333333
4467.0,306.0,398.8392857142857,810288.0
4500.0,308.0,401.7857142857143,820409.3333333334
4533.0,310.0,404.73214285714283,830593.3333333333
4567.0,312.0,407.76785714285717,841152.0
4600.0,313.0,410.7142857142857,851464.3333333333
4633.0,315.0,413.6607142857143,861840.0
4667.0,317.0,416.69642857142856,872595.3333333334
4700.0,319.0,419.64285714285717,883098.3333333335
