k, N1, "N1 w/o PoRs", T1
10000.0,625.0,892.8571428571429,3383166.6666666665
20000.0,1023.0,1785.7142857142858,12235557.4
30000.0,1535.0,2678.5714285714284,26887980.999999996
40000.0,2047.0,3571.4285714285716,47229885.13333333
50000.0,2559.0,4464.285714285715,73261269.80000001
60000.0,3071.0,5357.142857142857,104982135.0
70000.0,3583.0,6250.0,142392480.73333332
80000.0,4095.0,7142.857142857143,185492307.0
90000.0,4607.0,8035.714285714285,234281613.8
100000.0,5119.0,8928.57142857143,288760401.1333333
110000.0,5631.0,9821.42857142857,348928669.0
120000.0,5887.0,10714.285714285714,410581358.1333334
130000.0,6399.0,11607.142857142857,481843846.8
140000.0,6911.0,12500.0,558795816.0
150000.0,7423.0,13392.857142857143,641437265.7333333
160000.0,7935.0,14285.714285714286,729768196.0000001
170000.0,8447.0,15178.57142857143,823788606.8000001
180000.0,8959.0,16071.42857142857,923498498.1333334
190000.0,9471.0,16964.285714285714,1028897869.9999999
200000.0,9983.0,17857.14285714286,1139986722.4
210000.0,10239.0,18750.0,1248859703.8
220000.0,10751.0,19642.85714285714,1371042777.0
230000.0,11263.0,20535.714285714286,1498915330.7333333
240000.0,11775.0,21428.571428571428,1632477365.0
250000.0,12287.0,22321.428571428572,1771728879.8000002
260000.0,12799.0,23214.285714285714,1916669875.1333332
270000.0,13311.0,24107.14285714286,2067300350.9999998
280000.0,13823.0,25000.0,2223620307.4
290000.0,14335.0,25892.85714285714,2385629744.3333335
300000.0,14847.0,26785.714285714286,2553328661.8
310000.0,15103.0,27678.571428571428,2714826675.7333336
320000.0,15615.0,28571.428571428572,2893619814.0000005
330000.0,16127.0,29464.285714285714,3078102432.7999997
340000.0,16639.0,30357.14285714286,3268274532.133333
350000.0,17151.0,31250.0,3464136112.0000005
360000.0,17663.0,32142.85714285714,3665687172.3999996
370000.0,18175.0,33035.71428571428,3872927713.333333
380000.0,18687.0,33928.57142857143,4085857734.8000007
390000.0,19199.0,34821.42857142857,4304477236.799999
400000.0,19455.0,35714.28571428572,4513195543.0
410000.0,19967.0,36607.142857142855,4742909265.8
420000.0,20479.0,37500.0,4978312469.133333
430000.0,20991.0,38392.857142857145,5219405153.0
440000.0,21503.0,39285.71428571428,5466187317.4
450000.0,22015.0,40178.57142857143,5718658962.333334
460000.0,22527.0,41071.42857142857,5976820087.799999
470000.0,23039.0,41964.28571428572,6240670693.799999
480000.0,23551.0,42857.142857142855,6510210780.333333
490000.0,24063.0,43750.0,6785440347.400001
500000.0,24319.0,44642.857142857145,7046783686.133333
510000.0,24831.0,45535.71428571428,7333107473.999999
520000.0,25343.0,46428.57142857143,7625120742.4
530000.0,25855.0,47321.42857142857,7922823491.333334
540000.0,26367.0,48214.28571428572,8226215720.799999
550000.0,26879.0,49107.142857142855,8535297430.799998
560000.0,27391.0,50000.0,8850068621.333334
570000.0,27903.0,50892.857142857145,9170529292.4
580000.0,28415.0,51785.71428571428,9496679444.0
590000.0,28671.0,52678.57142857143,9805243075.0
600000.0,29183.0,53571.42857142857,10142487447.400002
610000.0,29695.0,54464.28571428572,10485421300.333334
620000.0,30207.0,55357.142857142855,10834044633.8
630000.0,30719.0,56250.0,11188357447.800001
640000.0,31231.0,57142.857142857145,11548359742.333332
650000.0,31743.0,58035.71428571428,11914051517.400002
660000.0,32255.0,58928.57142857143,12285432773.0
670000.0,32767.0,59821.42857142857,12662503509.133335
680000.0,33279.0,60714.28571428572,13045263725.800001
690000.0,33535.0,61607.142857142855,13406452389.333334
700000.0,34047.0,62500.0,13800306826.8
710000.0,34559.0,63392.857142857145,14199850744.800001
720000.0,35071.0,64285.71428571428,14605084143.333334
730000.0,35583.0,65178.57142857143,15016007022.4
740000.0,36095.0,66071.42857142857,15432619382.0
750000.0,36607.0,66964.28571428571,15854921222.133333
760000.0,37119.0,67857.14285714286,16282912542.800001
770000.0,37631.0,68750.0,16716593344.000002
780000.0,37887.0,69642.85714285714,17125002299.8
790000.0,38399.0,70535.71428571429,17569777321.8
800000.0,38911.0,71428.57142857143,18020241824.333336
810000.0,39423.0,72321.42857142857,18476395807.4
820000.0,39935.0,73214.28571428571,18938239271.0
830000.0,40447.0,74107.14285714286,19405772215.13333
840000.0,40959.0,75000.0,19878994639.800003
850000.0,41471.0,75892.85714285714,20357906545.0
860000.0,41983.0,76785.71428571429,20842507930.73333
870000.0,42495.0,77678.57142857143,21332798797.000004
880000.0,42751.0,78571.42857142857,21793832785.333332
890000.0,43263.0,79464.28571428571,22295217872.4
900000.0,43775.0,80357.14285714286,22802292440.0
910000.0,44287.0,81250.0,23315056488.133335
920000.0,44799.0,82142.85714285714,23833510016.800003
930000.0,45311.0,83035.71428571429,24357653026.0
940000.0,45823.0,83928.57142857143,24887485515.733334
950000.0,46335.0,84821.42857142857,25423007486.000004
960000.0,46847.0,85714.28571428571,25964218936.8
970000.0,47103.0,86607.14285714286,26472473217.399994
980000.0,47615.0,87500.0,27024778889.0
990000.0,48127.0,88392.85714285714,27582774041.133335
1000000.0,48639.0,89285.71428571429,28146458673.800003
1010000.0,49151.0,90178.57142857143,28715832787.0
1020000.0,49663.0,91071.42857142857,29290896380.733334
1030000.0,50175.0,91964.28571428571,29871649454.999996
1040000.0,50687.0,92857.14285714286,30458092009.800003
1050000.0,51199.0,93750.0,31050224045.13334
1060000.0,51711.0,94642.85714285714,31648045561.000004
1070000.0,51967.0,95535.71428571429,32208924874.133335
1080000.0,52479.0,96428.57142857143,32817840610.800003
1090000.0,52991.0,97321.42857142857,33432445828.0
1100000.0,53503.0,98214.28571428571,34052740525.73333
1110000.0,54015.0,99107.14285714286,34678724704.0
1120000.0,54527.0,100000.0,35310398362.8
1130000.0,55039.0,100892.85714285714,35947761502.13334
1140000.0,55551.0,101785.71428571429,36590814122.0
1150000.0,56063.0,102678.57142857143,37239556222.4
1160000.0,56319.0,103571.42857142857,37847655827.8
1170000.0,56831.0,104464.28571428571,38507492149.0
1180000.0,57343.0,105357.14285714286,39173017950.73333
1190000.0,57855.0,106250.0,39844233233.0
1200000.0,58367.0,107142.85714285714,40521137995.8
1210000.0,58879.0,108035.71428571429,41203732239.13332
1220000.0,59391.0,108928.57142857143,41892015963.00001
1230000.0,59903.0,109821.42857142857,42585989167.4
1240000.0,60415.0,110714.28571428571,43285651852.333336
1250000.0,60927.0,111607.14285714286,43991004017.8
1260000.0,61183.0,112500.0,44651728655.73333
1270000.0,61695.0,113392.85714285714,45368175042.0
1280000.0,62207.0,114285.71428571429,46090310908.8
1290000.0,62719.0,115178.57142857143,46818136256.13333
1300000.0,63231.0,116071.42857142857,47551651084.00001
1310000.0,63743.0,116964.28571428571,48290855392.4
1320000.0,64255.0,117857.14285714286,49035749181.33333
1330000.0,64767.0,118750.0,49786332450.8
1340000.0,65279.0,119642.85714285714,50542605200.8
1350000.0,65535.0,120535.71428571429,51250550130.99999
1360000.0,65791.0,121428.57142857143,51962477431.333336
1370000.0,65791.0,122321.42857142857,52620387431.333336
1380000.0,65791.0,123214.28571428571,53278297431.333336
1390000.0,65791.0,124107.14285714286,53936207431.333336
1400000.0,65791.0,125000.0,54594117431.333336
1410000.0,65791.0,125892.85714285714,55252027431.333336
1420000.0,65791.0,126785.71428571429,55909937431.333336
1430000.0,68851.0,127678.57142857143,56569776316.06667
1440000.0,69270.0,128571.42857142857,57260383020.0
1450000.0,69689.0,129464.28571428571,57955179668.066666
1460000.0,70108.0,130357.14285714286,58654166260.26666
1470000.0,70527.0,131250.0,59357342796.6
1480000.0,70946.0,132142.85714285713,60064709277.066666
1490000.0,71365.0,133035.7142857143,60776265701.666664
1500000.0,71784.0,133928.57142857142,61492012070.40001
1510000.0,72203.0,134821.42857142858,62211948383.26668
1520000.0,72622.0,135714.2857142857,62936074640.266685
1530000.0,73041.0,136607.14285714287,63664390841.4
1540000.0,73460.0,137500.0,64396896986.66668
1550000.0,73879.0,138392.85714285713,65133593076.06667
1560000.0,74298.0,139285.7142857143,65874479109.600006
1570000.0,74717.0,140178.57142857142,66619555087.26667
1580000.0,75136.0,141071.42857142858,67368821009.06667
1590000.0,75555.0,141964.2857142857,68122276874.99999
1600000.0,75974.0,142857.14285714287,68879922685.06667
1610000.0,76393.0,143750.0,69641758439.26666
1620000.0,76812.0,144642.85714285713,70407784137.6
1630000.0,77231.0,145535.7142857143,71177999780.06667
1640000.0,77650.0,146428.57142857142,71952405366.66667
1650000.0,78069.0,147321.42857142858,72731000897.4
1660000.0,78488.0,148214.2857142857,73513786372.26666
1670000.0,78907.0,149107.14285714287,74300761791.26666
1680000.0,79326.0,150000.0,75091927154.40001
1690000.0,79745.0,150892.85714285713,75887282461.66667
1700000.0,80164.0,151785.7142857143,76686827713.06667
1710000.0,80583.0,152678.57142857142,77490562908.60002
1720000.0,81002.0,153571.42857142858,78298488048.26666
1730000.0,81421.0,154464.2857142857,79110603132.06665
1740000.0,81840.0,155357.14285714287,79926908160.0
1750000.0,82259.0,156250.0,80747403132.06665
1760000.0,82678.0,157142.85714285713,81572088048.26666
1770000.0,83097.0,158035.7142857143,82400962908.59999
1780000.0,83516.0,158928.57142857142,83234027713.06667
1790000.0,83935.0,159821.42857142858,84071282461.66666
1800000.0,84354.0,160714.2857142857,84912727154.4
1810000.0,84773.0,161607.14285714287,85758361791.26666
1820000.0,85192.0,162500.0,86608186372.26666
1830000.0,85611.0,163392.85714285713,87462200897.40001
1840000.0,86030.0,164285.7142857143,88320405366.66667
1850000.0,86449.0,165178.57142857142,89182799780.06667
