k, N1, "N1 w/o PoRs", T1
100.0,12.0,11.363636363636363,576.0
133.0,15.0,15.113636363636363,1020.0
167.0,19.0,18.977272727272727,1608.6666666666667
200.0,23.0,22.727272727272727,2307.666666666667
233.0,27.0,26.477272727272727,3132.0
267.0,31.0,30.34090909090909,4112.666666666667
300.0,35.0,34.09090909090909,5191.666666666666
333.0,38.0,37.84090909090909,6396.666666666667
367.0,42.0,41.70454545454545,7770.0
400.0,46.0,45.45454545454545,9230.666666666668
433.0,50.0,49.20454545454545,10816.666666666666
467.0,54.0,53.06818181818182,12582.0
500.0,58.0,56.81818181818182,14422.666666666666
533.0,61.0,60.56818181818182,16388.666666666668
567.0,65.0,64.43181818181819,18546.666666666668
600.0,69.0,68.18181818181819,20769.0
633.0,73.0,71.93181818181819,23116.666666666668
667.0,77.0,75.79545454545455,25666.666666666668
700.0,81.0,79.54545454545455,28269.0
733.0,85.0,83.29545454545455,30996.666666666664
767.0,88.0,87.1590909090909,33938.66666666667
800.0,92.0,90.9090909090909,36922.66666666667
833.0,96.0,94.6590909090909,40032.0
867.0,100.0,98.52272727272727,43366.666666666664
900.0,104.0,102.27272727272727,46730.666666666664
933.0,108.0,106.02272727272727,50220.0
967.0,112.0,109.88636363636364,53946.66666666667
1000.0,115.0,113.63636363636364,57691.666666666664
1033.0,119.0,117.38636363636364,61562.66666666667
1067.0,123.0,121.25,65682.0
1100.0,127.0,125.0,69807.66666666666
1133.0,131.0,128.75,74058.66666666667
1167.0,135.0,132.61363636363637,78570.0
1200.0,138.0,136.36363636363637,83076.0
1233.0,142.0,140.11363636363637,87708.66666666666
1267.0,146.0,143.97727272727272,92612.66666666667
1300.0,150.0,147.72727272727272,97500.0
1333.0,154.0,151.47727272727272,102512.66666666667
1367.0,158.0,155.3409090909091,107808.66666666667
1400.0,162.0,159.0909090909091,113076.0
1433.0,165.0,162.8409090909091,118470.0
1467.0,169.0,166.70454545454547,124158.66666666669
1500.0,173.0,170.45454545454547,129807.66666666667
1533.0,177.0,174.20454545454547,135582.0
1567.0,181.0,178.0681818181818,141662.66666666666
1600.0,185.0,181.8181818181818,147691.66666666666
1633.0,188.0,185.5681818181818,153846.6666666667
1667.0,192.0,189.4318181818182,160320.0
1700.0,196.0,193.1818181818182,166730.66666666666
1733.0,200.0,196.9318181818182,173266.66666666666
1767.0,204.0,200.79545454545453,180132.0
1800.0,208.0,204.54545454545453,186922.66666666666
1833.0,212.0,208.29545454545453,193838.6666666667
1867.0,215.0,212.1590909090909,201096.66666666666
1900.0,219.0,215.9090909090909,208269.0
1933.0,223.0,219.6590909090909,215566.66666666666
1967.0,227.0,223.52272727272728,223216.6666666667
2000.0,231.0,227.27272727272728,230769.0
2033.0,235.0,231.02272727272728,238446.6666666667
2067.0,238.0,234.88636363636363,246488.6666666667
2100.0,242.0,238.63636363636363,254422.66666666666
2133.0,246.0,242.38636363636363,262482.0
2167.0,250.0,246.25,270916.6666666666
2200.0,254.0,250.0,279230.6666666666
2233.0,256.0,253.75,287658.6666666667
2267.0,256.0,257.6136363636364,296362.6666666667
2300.0,256.0,261.3636363636364,304810.6666666667
2333.0,256.0,265.1136363636364,313258.6666666667
2367.0,256.0,268.97727272727275,321962.6666666667
2400.0,256.0,272.72727272727275,330410.6666666667
2433.0,256.0,276.47727272727275,338858.6666666667
2467.0,256.0,280.34090909090907,347562.6666666667
2500.0,256.0,284.09090909090907,356010.6666666667
2533.0,256.0,287.84090909090907,364458.6666666667
2567.0,256.0,291.70454545454544,373162.6666666667
2600.0,256.0,295.45454545454544,381610.6666666667
2633.0,256.0,299.20454545454544,390058.6666666667
2667.0,256.0,303.0681818181818,398762.6666666667
2700.0,256.0,306.8181818181818,407210.6666666667
2733.0,256.0,310.5681818181818,415658.6666666667
2767.0,256.0,314.4318181818182,424362.6666666667
2800.0,256.0,318.1818181818182,432810.6666666667
2833.0,256.0,321.9318181818182,441258.6666666667
2867.0,256.0,325.79545454545456,449962.6666666667
2900.0,256.0,329.54545454545456,458410.6666666667
2933.0,256.0,333.29545454545456,466858.6666666667
2967.0,256.0,337.15909090909093,475562.6666666667
3000.0,256.0,340.90909090909093,484010.6666666667
3033.0,256.0,344.65909090909093,492458.6666666667
3067.0,256.0,348.52272727272725,501162.6666666667
3100.0,256.0,352.27272727272725,509610.6666666667
3133.0,256.0,356.02272727272725,518058.6666666667
3167.0,256.0,359.8863636363636,526762.6666666667
3200.0,256.0,363.6363636363636,535210.6666666667
3233.0,267.0,367.3863636363636,543825.6
3267.0,270.0,371.25,552960.0
3300.0,272.0,375.0,561897.6000000001
3333.0,274.0,378.75,570906.4000000001
3367.0,276.0,382.6136363636364,580262.4
3400.0,278.0,386.3636363636364,589415.6000000001
3433.0,281.0,390.1136363636364,598642.4
3467.0,283.0,393.97727272727275,608223.6
3500.0,285.0,397.72727272727275,617595.0
3533.0,287.0,401.47727272727275,627037.6000000001
3567.0,289.0,405.34090909090907,636840.4000000001
3600.0,292.0,409.09090909090907,646429.6000000001
3633.0,294.0,412.84090909090907,656090.4
3667.0,296.0,416.70454545454544,666118.3999999999
3700.0,298.0,420.45454545454544,675923.6
3733.0,300.0,424.20454545454544,685800.0
3767.0,303.0,428.0681818181818,696051.6000000001
3800.0,305.0,431.8181818181818,706075.0
3833.0,307.0,435.5681818181818,716169.6000000001
3867.0,309.0,439.4318181818182,726644.4
3900.0,311.0,443.1818181818182,736883.4
3933.0,314.0,446.9318181818182,747194.4
3967.0,316.0,450.79545454545456,757894.4000000001
4000.0,318.0,454.54545454545456,768351.6
4033.0,320.0,458.29545454545456,778880.0
4067.0,322.0,462.15909090909093,789801.6000000001
4100.0,325.0,465.90909090909093,800475.0
4133.0,327.0,469.65909090909093,811221.6000000001
4167.0,329.0,473.52272727272725,822368.4
4200.0,331.0,477.27272727272725,833259.3999999999
4233.0,333.0,481.02272727272725,844221.6
4267.0,336.0,484.8863636363636,855590.4
4300.0,338.0,488.6363636363636,866699.6000000001
4333.0,340.0,492.3863636363636,877880.0
4367.0,342.0,496.25,889473.6000000001
4400.0,344.0,500.0,900798.4
4433.0,346.0,503.75,912194.3999999999
4467.0,349.0,507.6136363636364,924012.4000000001
4500.0,351.0,511.3636363636364,935555.4000000001
4533.0,353.0,515.1136363636364,947169.6
4567.0,355.0,518.9772727272727,959210.0
4600.0,357.0,522.7272727272727,970968.6000000001
4633.0,360.0,526.4772727272727,982800.0
4667.0,362.0,530.3409090909091,995065.6000000001
4700.0,364.0,534.0909090909091,1007042.4
4733.0,366.0,537.8409090909091,1019090.4
4767.0,368.0,541.7045454545455,1031577.6
4800.0,371.0,545.4545454545455,1043771.4
4833.0,373.0,549.2045454545455,1056037.5999999999
4867.0,375.0,553.0681818181819,1068750.0
4900.0,377.0,556.8181818181819,1081160.5999999999
4933.0,379.0,560.5681818181819,1093642.4000000001
4967.0,382.0,564.4318181818181,1106577.6
5000.0,384.0,568.1818181818181,1119206.4
5033.0,386.0,571.9318181818181,1131906.4
5067.0,388.0,575.7954545454545,1145065.5999999999
5100.0,390.0,579.5454545454545,1157910.0
5133.0,392.0,583.2954545454545,1170825.6
5167.0,395.0,587.1590909090909,1184210.0
5200.0,397.0,590.9090909090909,1197272.6
5233.0,399.0,594.6590909090909,1210406.4
5267.0,401.0,598.5227272727273,1224012.4
5300.0,403.0,602.2727272727273,1237290.5999999999
5333.0,406.0,606.0227272727273,1250642.4000000001
5367.0,408.0,609.8863636363636,1264473.6
