k, N1, "N1 w/o PoRs", T1
10000.0,966.0,1136.3636363636363,5096422.799999999
20000.0,1791.0,2272.7272727272725,19269727.200000003
30000.0,2559.0,3409.090909090909,42362197.79999999
40000.0,3327.0,4545.454545454545,74355788.40000002
50000.0,4095.0,5681.818181818182,115250499.0
60000.0,4863.0,6818.181818181818,165046329.6
70000.0,5375.0,7954.545454545455,221105283.33333334
80000.0,6143.0,9090.90909090909,288296313.93333334
90000.0,6911.0,10227.272727272728,364388464.5333333
100000.0,7679.0,11363.636363636364,449381735.1333333
110000.0,8447.0,12500.0,543276125.7333333
120000.0,9215.0,13636.363636363636,646071636.3333334
130000.0,9983.0,14772.727272727272,757768266.9333334
140000.0,10751.0,15909.09090909091,878366017.5333333
150000.0,11519.0,17045.454545454544,1007864888.1333333
160000.0,12287.0,18181.81818181818,1146264878.7333333
170000.0,13055.0,19318.18181818182,1293565989.3333333
180000.0,13823.0,20454.545454545456,1449768219.9333334
190000.0,14591.0,21590.909090909092,1614871570.533333
200000.0,15359.0,22727.272727272728,1788876041.1333332
210000.0,16127.0,23863.636363636364,1971781631.7333336
220000.0,16895.0,25000.0,2163588342.3333335
230000.0,17663.0,26136.363636363636,2364296172.933333
240000.0,18431.0,27272.727272727272,2573905123.5333333
250000.0,19199.0,28409.090909090908,2792415194.1333327
260000.0,19967.0,29545.454545454544,3019826384.7333336
270000.0,20735.0,30681.81818181818,3256138695.3333335
280000.0,21503.0,31818.18181818182,3501352125.9333334
290000.0,22271.0,32954.545454545456,3755466676.5333333
300000.0,23039.0,34090.90909090909,4018482347.1333327
310000.0,23807.0,35227.27272727273,4290399137.7333336
320000.0,24575.0,36363.63636363636,4571217048.333333
330000.0,25343.0,37500.0,4860936078.933333
340000.0,26111.0,38636.36363636364,5159556229.533334
350000.0,26879.0,39772.72727272727,5467077500.133333
360000.0,27647.0,40909.09090909091,5783499890.733334
370000.0,28415.0,42045.454545454544,6108823401.333334
380000.0,29183.0,43181.818181818184,6443048031.933333
390000.0,29951.0,44318.181818181816,6786173782.533334
400000.0,30719.0,45454.545454545456,7138200653.133333
410000.0,31487.0,46590.90909090909,7499128643.733334
420000.0,32255.0,47727.27272727273,7868957754.333333
